image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std
32,1024,hadamard_paired,0.001,0.05,0.005,10,0.0004864346105023287,4.485196826981966e-05,0.7993548065423965,0.08248647903292991
32,1024,hadamard_paired,0.001,0.05,0.01,20,0.0007664646371267736,7.302114279996205e-05,0.7292715072631836,0.0980813936220708
32,1024,hadamard_paired,0.001,0.05,0.02,41,0.0013598338235169649,0.00013204413879089734,0.6227024018764495,0.1186714768644089
32,1024,hadamard_paired,0.001,0.05,0.05,102,0.0032036992255598308,0.00030574327021398316,0.4351962238550186,0.17052629666070426
32,1024,hadamard_paired,0.001,0.05,0.1,205,0.006028933264315128,0.0005602581225717354,0.28504609446972606,0.24300457142461923
32,1024,hadamard_paired,0.001,0.05,0.2,410,0.011147929029539228,0.0008795850375936686,0.1407083734869957,0.3501348947265211
32,1024,hadamard_paired,0.001,0.15,0.005,10,0.0005249272842775099,0.00013085290658562893,0.9646454215049743,0.023001145516268785
32,1024,hadamard_paired,0.001,0.15,0.01,20,0.000840602301468607,0.0002144304480503667,0.9453901529312134,0.033741514525863804
32,1024,hadamard_paired,0.001,0.15,0.02,41,0.0015093786816578359,0.0003863688054691645,0.9080184251070023,0.05177636043558369
32,1024,hadamard_paired,0.001,0.15,0.05,102,0.0035971047356724737,0.0008861405732270874,0.8083652198314667,0.09333107991781635
32,1024,hadamard_paired,0.001,0.15,0.1,205,0.0068293472984805705,0.0016087423705406089,0.6810979679226875,0.1525735456925111
32,1024,hadamard_paired,0.001,0.15,0.2,410,0.01277307141572237,0.0024922474849080906,0.4887609101831913,0.24926978100150798
32,1024,hadamard_paired,0.001,0.3,0.005,10,0.000661387774744071,0.00025662201359935637,0.9879470258951187,0.009222643465211558
32,1024,hadamard_paired,0.001,0.3,0.01,20,0.0011011615162715316,0.000416863499657583,0.9801636785268784,0.014787280591082136
32,1024,hadamard_paired,0.001,0.3,0.02,41,0.002024409780278802,0.000749662361365016,0.964245730638504,0.025722243858631894
32,1024,hadamard_paired,0.001,0.3,0.05,102,0.004877762321848422,0.0016849315409221664,0.9178068816661835,0.05263169009614492
32,1024,hadamard_paired,0.001,0.3,0.1,205,0.00934866990428418,0.0029925612327990738,0.8494894951581955,0.09125008598552446
32,1024,hadamard_paired,0.001,0.3,0.2,410,0.01766068018041551,0.004486501278820506,0.7226394385099411,0.1593282198816263
32,1024,hadamard_paired,0.001,0.5,0.005,10,0.0009856620337814093,0.0004182654474133655,0.993156087398529,0.005247685897650998
32,1024,hadamard_paired,0.001,0.5,0.01,20,0.0017184017167892307,0.0006711780329531852,0.9881291717290879,0.008805080712989653
32,1024,hadamard_paired,0.001,0.5,0.02,41,0.0032384093501605093,0.001204351717320149,0.9777135491371155,0.016392889223699178
32,1024,hadamard_paired,0.001,0.5,0.05,102,0.007817555870860814,0.002651920233524322,0.947224161028862,0.035458783163275866
32,1024,hadamard_paired,0.001,0.5,0.1,205,0.015091937268152833,0.004672021691092995,0.900391834974289,0.0645613758253605
32,1024,hadamard_paired,0.001,0.5,0.2,410,0.02866618297994137,0.007211984776646909,0.8102053433656693,0.11217996726565946
32,1024,hadamard_paired,0.003,0.05,0.005,10,0.0004920217659673653,4.582750171543317e-05,0.8701000988483429,0.047745395440675395
32,1024,hadamard_paired,0.003,0.05,0.01,20,0.0007784133224049584,7.661605150864503e-05,0.8128447145223617,0.061221378541074144
32,1024,hadamard_paired,0.003,0.05,0.02,41,0.0013858198537491262,0.00013768740959755046,0.7158185333013535,0.0791230776583127
32,1024,hadamard_paired,0.003,0.05,0.05,102,0.003281675430480391,0.00033422119021187414,0.5168820649385453,0.1264270487282379
