image_size,num_pixels,frame_factor,num_frames,basis,sigma_delta,seed,object,delta_recon_mse,delta_recon_rel_mse
32,1024,1.0,1024,random_uniform,0.1,0,2,0.8576467071325351,5.321803516337935
32,1024,1.0,1024,random_uniform,0.1,0,3,0.6592933840511993,4.457500604933226
32,1024,1.0,1024,random_uniform,0.1,0,4,0.7659299619503152,3.947986588627189
32,1024,1.0,1024,random_uniform,0.1,1,0,0.8958043383543811,4.756960148348568
32,1024,1.0,1024,random_uniform,0.1,1,1,0.4133888936071539,2.697266241146292
32,1024,1.0,1024,random_uniform,0.1,1,2,0.7877369179840197,4.888004658809622
32,1024,1.0,1024,random_uniform,0.1,1,3,0.6362868733274716,4.301952956573304
32,1024,1.0,1024,random_uniform,0.1,1,4,0.8365582493793423,4.312040151484929
32,1024,1.0,1024,random_uniform,0.1,2,0,1.178351113467429,6.257358942717279
32,1024,1.0,1024,random_uniform,0.1,2,1,0.47398323669144726,3.0926302156826226
32,1024,1.0,1024,random_uniform,0.1,2,2,0.8479703001796086,5.261760218649807
32,1024,1.0,1024,random_uniform,0.1,2,3,0.6849094934671244,4.63069182143822
32,1024,1.0,1024,random_uniform,0.1,2,4,0.720517932207824,3.7139102457600535
32,1024,1.0,1024,random_uniform,0.1,3,0,1.144009530205665,6.074995969004174
32,1024,1.0,1024,random_uniform,0.1,3,1,0.4559696317144969,2.9750956390719456
32,1024,1.0,1024,random_uniform,0.1,3,2,0.9726423598960106,6.035365714094579
32,1024,1.0,1024,random_uniform,0.1,3,3,0.6915430530325556,4.675541499125072
32,1024,1.0,1024,random_uniform,0.1,3,4,0.7740653022540283,3.9899202065929806
32,1024,2.0,2048,random_uniform,0.01,0,0,0.004846902350055344,0.03651124054143795
32,1024,2.0,2048,random_uniform,0.01,0,1,0.0023080702377998273,0.021132995126610626
32,1024,2.0,2048,random_uniform,0.01,0,2,0.003929335392147214,0.03245424628680174
32,1024,2.0,2048,random_uniform,0.01,0,3,0.003330899170768833,0.0233119648672156
32,1024,2.0,2048,random_uniform,0.01,0,4,0.0038850719335967497,0.02591963421997812
32,1024,2.0,2048,random_uniform,0.01,1,0,0.005213591985873231,0.039273477642675664
32,1024,2.0,2048,random_uniform,0.01,1,1,0.002409510477215289,0.022061795320859782
32,1024,2.0,2048,random_uniform,0.01,1,2,0.004173339395031788,0.03446959117703624
32,1024,2.0,2048,random_uniform,0.01,1,3,0.003120053939636911,0.02183632229487295
32,1024,2.0,2048,random_uniform,0.01,1,4,0.003828331116436972,0.02554108235497763
32,1024,2.0,2048,random_uniform,0.01,2,0,0.005461895653052721,0.04114392484069029
32,1024,2.0,2048,random_uniform,0.01,2,1,0.002204128890398247,0.020181294458183462
32,1024,2.0,2048,random_uniform,0.01,2,2,0.0044995419688500975,0.037163853084850346
32,1024,2.0,2048,random_uniform,0.01,2,3,0.003119675659235959,0.021833674823735324
32,1024,2.0,2048,random_uniform,0.01,2,4,0.003774859443274335,0.025184340901229913
32,1024,2.0,2048,random_uniform,0.01,3,0,0.005312399292299409,0.04001778340161809
32,1024,2.0,2048,random_uniform,0.01,3,1,0.002275208376781283,0.0208321075984138
32,1024,2.0,2048,random_uniform,0.01,3,2,0.0038632741383371515,0.03190861503184412
32,1024,2.0,2048,random_uniform,0.01,3,3,0.003114349879199066,0.021796401285646836
32,1024,2.0,2048,random_uniform,0.01,3,4,0.0037472138727964173,0.024999900796429362
32,1024,2.0,2048,random_uniform,0.02,0,0,0.02324702166602636,0.17511753664907573
32,1024,2.0,2048,random_uniform,0.02,0,1,0.007620106813903935,0.06977070174259163
32,1024,2.0,2048,random_uniform,0.02,0,2,0.016358140573201157,0.13510964831807987
32,1024,2.0,2048,random_uniform,0.02,0,3,0.013644143897244726,0.09549127333757938
32,1024,2.0,2048,random_uniform,0.02,0,4,0.015383719155428495,0.10263397441972937
32,1024,2.0,2048,random_uniform,0.02,1,0,0.02052703883689156,0.15462817247981664
32,1024,2.0,2048,random_uniform,0.02,1,1,0.00997180325227182,0.09130314410824128
32,1024,2.0,2048,random_uniform,0.02,1,2,0.01726564748564445,0.1426051787078426
32,1024,2.0,2048,random_uniform,0.02,1,3,0.014028198770964867,0.09817915827922423
32,1024,2.0,2048,random_uniform,0.02,1,4,0.016673727869202442,0.11124039267223518
32,1024,2.0,2048,random_uniform,0.02,2,0,0.019710790557201437,0.14847945415852415
32,1024,2.0,2048,random_uniform,0.02,2,1,0.009505187821804822,0.08703075176221789
32,1024,2.0,2048,random_uniform,0.02,2,2,0.018937277013564065,0.15641196051318684
32,1024,2.0,2048,random_uniform,0.02,2,3,0.014188230373926084,0.09929917149926265
32,1024,2.0,2048,random_uniform,0.02,2,4,0.017453137550939357,0.1164402999592613
32,1024,2.0,2048,random_uniform,0.02,3,0,0.021044919680576247,0.15852931813738463
32,1024,2.0,2048,random_uniform,0.02,3,1,0.00931609362672574,0.08529938040374228
32,1024,2.0,2048,random_uniform,0.02,3,2,0.015611462202044997,0.12894247719724364
32,1024,2.0,2048,random_uniform,0.02,3,3,0.01274857955997738,0.08922348698429608
32,1024,2.0,2048,random_uniform,0.02,3,4,0.015256129915844473,0.10178275043290311
32,1024,2.0,2048,random_uniform,0.05,0,0,0.14007939208236475,1.0552043366747874
32,1024,2.0,2048,random_uniform,0.05,0,1,0.0549634078786934,0.5032522025627701
32,1024,2.0,2048,random_uniform,0.05,0,2,0.11276028403945584,0.9313407139792238
32,1024,2.0,2048,random_uniform,0.05,0,3,0.07306723291900499,0.5113756614732174
32,1024,2.0,2048,random_uniform,0.05,0,4,0.0957611694975173,0.6388799302243763
32,1024,2.0,2048,random_uniform,0.05,1,0,0.1324676004149958,0.9978654557882255
32,1024,2.0,2048,random_uniform,0.05,1,1,0.05851626601114675,0.5357826396218469
32,1024,2.0,2048,random_uniform,0.05,1,2,0.10428067421379056,0.8613035910988223
32,1024,2.0,2048,random_uniform,0.05,1,3,0.08679638398043486,0.6074618744722361
32,1024,2.0,2048,random_uniform,0.05,1,4,0.10366167909914899,0.691588946305872
32,1024,2.0,2048,random_uniform,0.05,2,0,0.136725825367417,1.029942247167286
32,1024,2.0,2048,random_uniform,0.05,2,1,0.05658257085517965,0.5180774720588538
32,1024,2.0,2048,random_uniform,0.05,2,2,0.10874073182697197,0.8981413241467044
32,1024,2.0,2048,random_uniform,0.05,2,3,0.07990419922115208,0.5592255392577801
32,1024,2.0,2048,random_uniform,0.05,2,4,0.1035895670893403,0.691107844038255
32,1024,2.0,2048,random_uniform,0.05,3,0,0.13666741011034922,1.0295022107588638
32,1024,2.0,2048,random_uniform,0.05,3,1,0.05782219262734592,0.5294276122933219
32,1024,2.0,2048,random_uniform,0.05,3,2,0.11675336696069878,0.9643214813702261
32,1024,2.0,2048,random_uniform,0.05,3,3,0.08374447813989527,0.586102500295717
32,1024,2.0,2048,random_uniform,0.05,3,4,0.1081138370031912,0.7212919495796168
32,1024,2.0,2048,random_uniform,0.1,0,0,0.5082005197650064,3.82822472588334
32,1024,2.0,2048,random_uniform,0.1,0,1,0.2349916474392254,2.151614478102398
32,1024,2.0,2048,random_uniform,0.1,0,2,0.418197034732131,3.454087830916896
