sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.05,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.0896421403933089,-0.129810970133839,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.1,agc,random_uniform,hadamard_paired,,not_reached,-1.6216527046982083,-10.127400976698372,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.7648173443253192,-9.784275776149308,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.5409206549397787,-2.798189330699813,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,agc,dct_paired,hadamard_paired,,not_reached,-1.0754834664273467,-2.2721662275821157,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,agc,srht_paired,hadamard_paired,0.001,left_censored,13.239969335824163,0.6823849736960899,7,,0.001,0.001,upper_bound,0.001,1.0
0.1,none,random_uniform,hadamard_paired,,not_reached,-2.171067539158104,-21.772910949039545,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,none,random_binary,hadamard_paired,,not_reached,-1.2880477970180897,-20.600914639831288,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,none,fourier_fourstep,hadamard_paired,,not_reached,-0.9748729574087224,-14.01015028241802,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,none,dct_paired,hadamard_paired,,not_reached,-0.3522589202679214,-2.327973866053977,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,none,srht_paired,hadamard_paired,0.1,observed,0.128181228863168,-0.1825247307646051,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-1.2308618290565845,-3.0099475931132886,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.1097536010593174,0.014429120095329,7,,0.001,0.001,upper_bound,0.001,1.0
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-2.5116797224581937,-26.271275122916705,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-1.337179749268662,-26.37357972350521,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.7480821585493498,-21.53189686541928,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.5897490046840763,-3.007882720051967,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0829734406434621,0.0147112439803862,7,,0.001,0.001,upper_bound,0.001,1.0
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-2.4468205764248694,-23.48768057003112,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-1.7328275704491265,-23.422050594663027,7,1.0,,1.0,lower_bound,0.001,1.0
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.9592000682580296,-18.553758378906537,7,1.0,,1.0,lower_bound,0.001,1.0
