correction,challenger,baseline,law,fit_kind,observed_points,left_censored_points,not_reached_points,fit_status,n,intercept,intercept_se,r2,rmse_log10,sigma_a_exponent,sigma_a_exponent_se
agc,dct_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,fourier_fourstep,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,random_binary,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,random_uniform,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,srht_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,5,0,censored_only_endpoint,5,,,,,,
none,dct_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
none,fourier_fourstep,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
none,random_binary,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
none,random_uniform,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
none,srht_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,3,2,0,ok,5,-3.7169946664100313,0.40490620373659203,0.8703277181920308,0.2849887903130666,-2.1020450299271025,0.46845033820703097
pairwise,dct_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
