object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,theory_rel_mse,target_energy
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0001,9.469612558137322e-05,1.0,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0003,0.00022764033856036435,1.0,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.001,0.0011520487946055278,1.0,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.003,0.0026576674828897883,1.0,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.01,0.01164639077211705,1.0,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0001,0.00014754960009380082,1.0,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0003,0.00030790522765457913,1.0,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.001,0.0011770391873424505,1.0,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.003,0.002491458106895731,1.0,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.01,0.010188297284929763,1.0,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.0001,9.778401328490273e-05,1.0,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.0003,0.00025696943635965345,1.0,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.001,0.0009233636577414919,1.0,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.003,0.005117360905497605,1.0,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.01,0.012750585359934109,1.0,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.0001,8.961465684455517e-05,1.0,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.0003,0.00029481005454836653,1.0,0.0003,0.06494319704508411
