epoch,train_mse,val_mse
1.0,0.5133152703444163,0.4032630920410156
2.0,0.37806595613559085,0.21062909066677094
3.0,0.13588305562734604,0.0928078331053257
4.0,0.10372775172193845,0.06390894949436188
5.0,0.07791140923897426,0.05804971419274807
6.0,0.05998281575739384,0.0464218333363533
7.0,0.0523530263453722,0.04454507306218147
8.0,0.048021761079629265,0.03048401139676571
9.0,0.04047110117971897,0.02534302417188883
10.0,0.033745997585356236,0.021817991510033607
11.0,0.029543408503135044,0.020710295997560024
12.0,0.02616733747224013,0.02360708173364401
13.0,0.030978875545163948,0.031124114990234375
14.0,0.030773406848311424,0.02161775715649128
15.0,0.027097890774408977,0.02099577523767948
16.0,0.021827794301013153,0.018658597022294998
17.0,0.02120140101760626,0.01756953075528145
18.0,0.020594173731903236,0.018880697898566723
19.0,0.020903220244993765,0.017143440432846546
20.0,0.01909079635515809,0.01749824360013008
21.0,0.0208641371379296,0.016449937596917152
22.0,0.018324484738210838,0.024836892262101173
23.0,0.02118136299153169,0.017545679584145546
24.0,0.017528769249717396,0.016974677331745625
25.0,0.019095824876179297,0.023889279924333096
26.0,0.021501215019573767,0.015228835865855217
27.0,0.01983290460581581,0.015329181216657162
28.0,0.017470585803190868,0.01725112833082676
29.0,0.016748401802033186,0.01563201565295458
30.0,0.01525168182949225,0.01944147888571024
