config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,fixed_init_seed,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240701,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240700,4.705306529998779,9.070032119750977,0.10988152027130127,0.004685699939727783,0.9740428844495653,5.377020835876465,0.05043085664510727,0.13633553683757782,0.07556798309087753,0.0,0.6034047603607178,0.6034047603607178,0.07903126627206802,0.012372546829283237,0.0051613557152450085,0.16129031777381897,0.24609375,1.8612167835235596,0.00023144506849348545,0.05019941180944443,0.004356748424470425,0.00037168883136473596,0.4011984169483185
cfg0001,1,1,20240702,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240701,5.78663444519043,9.1198148727417,0.14327171444892883,0.004685699939727783,0.9740428844495653,7.835089206695557,0.01695314794778824,0.2861715257167816,0.07358205318450928,0.054095059633255005,0.522545337677002,0.46845027804374695,0.07699184119701385,0.010706334374845028,0.0050293635576963425,0.32258063554763794,0.2266845703125,1.7835582494735718,0.00023003225214779377,0.016723114997148514,0.004302266985177994,0.0007398028392344713,0.21763314306735992
cfg0002,2,2,20240703,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240702,8.47139835357666,4.374638080596924,0.17158034443855286,0.004685699939727783,0.9740428844495653,8.555207252502441,0.015521179884672165,0.7412412166595459,0.1236284151673317,0.4333316683769226,1.0,0.5666683316230774,0.08769109100103378,0.015630323439836502,0.014643063768744469,0.8064516186714172,0.2147216796875,1.9273189306259155,0.0002255766885355115,0.015295603312551975,0.004322829190641642,0.0014528452884405851,0.21723325550556183
cfg0003,3,3,20240704,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240703,8.756182670593262,4.479020118713379,0.17341139912605286,0.004685699939727783,0.9740428844495653,9.346064567565918,0.02968679554760456,0.7302690744400024,0.1172495186328888,0.4085654616355896,1.0,0.5914345383644104,0.08493833988904953,0.016060657799243927,0.013578596524894238,0.8064516186714172,0.21319580078125,1.8290951251983643,0.00022685423027724028,0.029459942132234573,0.00437356298789382,8.569807687308639e-05,0.301652729511261
cfg0004,4,4,20240705,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240704,8.504605293273926,4.165133476257324,0.16719581186771393,0.004685699939727783,0.9740428844495653,8.504605293273926,0.024498945102095604,0.7564311027526855,0.12065794318914413,0.4432942271232605,1.0,0.5567057728767395,0.08726906031370163,0.015052839182317257,0.013634813018143177,0.8387097120285034,0.2127685546875,1.8911901712417603,0.00022784886823501438,0.024271097034215927,0.004292943514883518,0.001052727922797203,0.27401041984558105
cfg0005,5,5,20240706,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240705,7.641297340393066,3.0679807662963867,0.109485924243927,0.004685699939727783,0.9740428844495653,8.097701072692871,0.04519297555088997,0.8347433805465698,0.09411264210939407,0.5578537583351135,1.0,0.4421462416648865,0.05911731719970703,0.006916521117091179,0.0068716793321073055,0.8709677457809448,0.2437744140625,1.7906041145324707,0.0002263602800667286,0.04496661573648453,0.0043101063929498196,0.001604994642548263,0.3827000856399536
cfg0006,6,6,20240707,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240706,9.086565971374512,3.9474258422851562,0.15992595255374908,0.004685699939727783,0.9740428844495653,9.086565971374512,0.033525511622428894,0.7734861373901367,0.12019981443881989,0.45229285955429077,1.0,0.5477071404457092,0.07856209576129913,0.013551624491810799,0.012769589200615883,0.8387097120285034,0.21832275390625,1.8498457670211792,0.00022601449745707214,0.03329949826002121,0.0042816391214728355,0.00043306039879098535,0.32718396186828613
cfg0007,7,7,20240708,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240707,6.49896240234375,9.339639663696289,0.13938823342323303,0.004685699939727783,0.9740428844495653,7.278187274932861,0.01888451911509037,0.2491416484117508,0.07539314776659012,0.009002864360809326,0.4786947965621948,0.4696919322013855,0.06890274584293365,0.010088029317557812,0.005486670415848494,0.25806450843811035,0.249755859375,1.6436909437179565,0.00022506531968247145,0.018659453839063644,0.004182365722954273,0.001768557820469141,0.23747693002223969
cfg0008,8,8,20240709,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240708,8.362658500671387,4.820938587188721,0.17093244194984436,0.004685699939727783,0.9740428844495653,9.067736625671387,0.009291883558034897,0.7015805244445801,0.11433873325586319,0.3829808235168457,1.0,0.6170191764831543,0.08711519837379456,0.014972927048802376,0.012940801680088043,0.774193525314331,0.21282958984375,1.8688806295394897,0.00022662756964564323,0.009065255522727966,0.004331863950937986,0.0030488893389701843,0.1660589873790741
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240709,9.36478328704834,7.604989528656006,0.17761966586112976,0.004685699939727783,0.9740428844495653,9.36478328704834,0.004609980154782534,0.48401591181755066,0.0962432399392128,0.19731120765209198,0.7772225141525269,0.5799112915992737,0.07717011868953705,0.01315503753721714,0.00948994979262352,0.5483871102333069,0.21185302734375,1.5311923027038574,0.00022707547759637237,0.0043829046189785,0.004365459084510803,0.0008950062328949571,0.09509405493736267
