rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames,above_floor,above_floor_candidates,best_sub_floor_basis,best_sub_floor_correction,best_sub_floor_psnr_mean,best_sub_floor_rel_mse_mean,scope,candidate_count,above_floor_rel_mse
1.0,0.05,srht_paired,reference_k2,19.163355067879458,2.151947219702837,0.139073843705461,0.0206386394102875,2048,1025,3073,True,54,,,,,all_non_oracle,60,0.5
1.0,0.1,srht_paired,reference_k2,14.67584039223757,1.9824342463184124,0.3887819680156214,0.0411311748721758,2048,1025,3073,True,24,,,,,all_non_oracle,60,0.5
1.0,0.15,sub_floor,noise_floor,12.878376193917958,1.8539081272208864,0.5864163662615364,0.042946699616893,2048,1025,3073,False,0,srht_paired,reference_k2,12.878376193917958,0.5864163662615364,all_non_oracle,60,0.5
1.0,0.3,sub_floor,noise_floor,11.25057429690088,1.690725694884296,0.8512116914244515,0.0261171659986934,2048,1025,3073,False,0,srht_paired,reference_k2,11.25057429690088,0.8512116914244515,all_non_oracle,60,0.5
1.0,0.5,sub_floor,noise_floor,10.794904091337589,1.637874739498787,0.9450512924657596,0.0147924254390257,2048,1025,3073,False,0,srht_paired,reference_k2,10.794904091337589,0.9450512924657596,all_non_oracle,60,0.5
3.0,0.05,srht_paired,reference_k2,17.303541666093114,2.1065816236583608,0.2130705692391559,0.029148831765575,2048,1025,3073,True,51,,,,,all_non_oracle,60,0.5
3.0,0.1,sub_floor,noise_floor,13.44213660286828,1.907264872040172,0.5155541669194431,0.0445051702568191,2048,1025,3073,False,0,srht_paired,reference_k2,13.44213660286828,0.5155541669194431,all_non_oracle,60,0.5
3.0,0.15,sub_floor,noise_floor,12.079437242915231,1.78721497385152,0.704060073743426,0.0390835947474624,2048,1025,3073,False,0,srht_paired,reference_k2,12.079437242915231,0.704060073743426,all_non_oracle,60,0.5
3.0,0.3,sub_floor,noise_floor,10.969660729760784,1.662933331511083,0.9078963381182176,0.0204721912927184,2048,1025,3073,False,0,srht_paired,reference_k2,10.969660729760784,0.9078963381182176,all_non_oracle,60,0.5
3.0,0.5,sub_floor,noise_floor,10.693751609509018,1.637791750967598,0.967257284817002,0.0102184287812892,2048,0,2048,False,0,srht_paired,pairwise,10.693751609509018,0.967257284817002,all_non_oracle,60,0.5
10.0,0.05,srht_paired,reference_k2,17.075580034975303,2.0998096789870844,0.2244991164927792,0.0303081392032573,2048,1025,3073,True,51,,,,,all_non_oracle,60,0.5
10.0,0.1,sub_floor,noise_floor,13.30266161670222,1.897822938190083,0.5322667850145326,0.0446009259007646,2048,1025,3073,False,0,srht_paired,reference_k2,13.30266161670222,0.5322667850145326,all_non_oracle,60,0.5
10.0,0.15,sub_floor,noise_floor,11.99381463151581,1.7798206801643957,0.7179999572964252,0.0383958114611856,2048,1025,3073,False,0,srht_paired,reference_k2,11.99381463151581,0.7179999572964252,all_non_oracle,60,0.5
10.0,0.3,sub_floor,noise_floor,10.941299656415554,1.6604256688925465,0.9138292539548922,0.0198987548289968,2048,1025,3073,False,0,srht_paired,reference_k2,10.941299656415554,0.9138292539548922,all_non_oracle,60,0.5
10.0,0.5,sub_floor,noise_floor,10.686609470287928,1.6369161595178938,0.9688462313741492,0.0099378151686306,2048,0,2048,False,0,srht_paired,pairwise,10.686609470287928,0.9688462313741492,all_non_oracle,60,0.5
