rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames,above_floor,above_floor_candidates,best_sub_floor_basis,best_sub_floor_correction,best_sub_floor_psnr_mean,best_sub_floor_rel_mse_mean,scope,candidate_count,above_floor_rel_mse
1.0,0.15,sub_floor,noise_floor,12.25568424254524,1.8235201717732088,0.6762957504322107,0.04165753584796,2048,0,2048,False,0,srht_paired,pairwise,12.25568424254524,0.6762957504322107,equal_frame_non_oracle,33,0.5
1.0,0.3,sub_floor,noise_floor,11.070706935928618,1.6881251536635646,0.887082374038145,0.0227919988809307,2048,0,2048,False,0,srht_paired,pairwise,11.070706935928618,0.887082374038145,equal_frame_non_oracle,33,0.5
1.0,0.5,sub_floor,noise_floor,10.75874663325474,1.6460320649405715,0.9529240655225604,0.0129717546709864,2048,0,2048,False,0,srht_paired,pairwise,10.75874663325474,0.9529240655225604,equal_frame_non_oracle,33,0.5
3.0,0.05,srht_paired,pairwise,16.332412487801086,2.0936125856365204,0.2662490758829589,0.0348771894890392,2048,0,2048,True,29,,,,,equal_frame_non_oracle,33,0.5
3.0,0.1,sub_floor,noise_floor,12.890236412449278,1.8864522194842013,0.5849819679916609,0.0451968118569837,2048,0,2048,False,0,srht_paired,pairwise,12.890236412449278,0.5849819679916609,equal_frame_non_oracle,33,0.5
3.0,0.15,sub_floor,noise_floor,11.771076682634275,1.775685465305884,0.7555874722000309,0.0365163725963853,2048,0,2048,False,0,srht_paired,pairwise,11.771076682634275,0.7555874722000309,equal_frame_non_oracle,33,0.5
3.0,0.3,sub_floor,noise_floor,10.91010828050926,1.6686711157950218,0.920374983202634,0.0180555001241325,2048,0,2048,False,0,srht_paired,pairwise,10.91010828050926,0.920374983202634,equal_frame_non_oracle,33,0.5
3.0,0.5,sub_floor,noise_floor,10.693751609509018,1.637791750967598,0.967257284817002,0.0102184287812892,2048,0,2048,False,0,srht_paired,pairwise,10.693751609509018,0.967257284817002,equal_frame_non_oracle,33,0.5
10.0,0.05,srht_paired,pairwise,16.173605938334443,2.0880304463688995,0.2761141910877225,0.0357704812605492,2048,0,2048,True,29,,,,,equal_frame_non_oracle,33,0.5
10.0,0.1,sub_floor,noise_floor,12.80077593149566,1.8793681876645336,0.597072209302213,0.045001996158425,2048,0,2048,False,0,srht_paired,pairwise,12.80077593149566,0.597072209302213,equal_frame_non_oracle,33,0.5
10.0,0.15,sub_floor,noise_floor,11.718433447683942,1.770375912016323,0.7647497213686684,0.0358430299275,2048,0,2048,False,0,srht_paired,pairwise,11.718433447683942,0.7647497213686684,equal_frame_non_oracle,33,0.5
10.0,0.3,sub_floor,noise_floor,10.892873993454298,1.6666345378226777,0.924023711674415,0.0175555351622825,2048,0,2048,False,0,srht_paired,pairwise,10.892873993454298,0.924023711674415,equal_frame_non_oracle,33,0.5
10.0,0.5,sub_floor,noise_floor,10.686609470287928,1.6369161595178938,0.9688462313741492,0.0099378151686306,2048,0,2048,False,0,srht_paired,pairwise,10.686609470287928,0.9688462313741492,equal_frame_non_oracle,33,0.5
