object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,4,2048,9.434005737304688,0.16426636278629303,0.034464728936840834,0.006745859485759509
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,8,2048,9.434005737304688,0.16426636278629303,0.023660144424369166,0.0033729297428797544
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,16,2048,9.434005737304688,0.16426636278629303,0.02259912919727312,0.0016864648714398772
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,32,2048,9.434005737304688,0.16426636278629303,0.02893738282548087,0.0008432324357199386
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,64,2048,9.434005737304688,0.16426636278629303,0.03888214913209939,0.0004216162178599693
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,128,2048,9.434005737304688,0.16426636278629303,0.055589818279469225,0.00021080810892998465
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,256,2048,9.434005737304688,0.16426636278629303,0.07740119764946553,0.00010540405446499233
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,512,2048,9.434005737304688,0.16426636278629303,0.09982930028072402,5.270202723249616e-05
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,0,1024,2048,9.434005737304688,0.16426636278629303,0.12337076886364806,2.635101361624808e-05
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,4,2048,9.434005737304688,0.16426636278629303,0.03366017140469715,0.006745859485759509
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,8,2048,9.434005737304688,0.16426636278629303,0.02279928143869259,0.0033729297428797544
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,16,2048,9.434005737304688,0.16426636278629303,0.0211721146827771,0.0016864648714398772
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,32,2048,9.434005737304688,0.16426636278629303,0.026948825046917077,0.0008432324357199386
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,64,2048,9.434005737304688,0.16426636278629303,0.036719103214032746,0.0004216162178599693
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,128,2048,9.434005737304688,0.16426636278629303,0.05186562658286704,0.00021080810892998465
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,256,2048,9.434005737304688,0.16426636278629303,0.07409689461899603,0.00010540405446499233
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,512,2048,9.434005737304688,0.16426636278629303,0.1016455219442819,5.270202723249616e-05
digit_0,synthetic_digit,37.05977431431953,hadamard_paired,hadamard_ordered,0.001,0.1,1,1024,2048,9.434005737304688,0.16426636278629303,0.12354195429421512,2.635101361624808e-05
