rho,sigma_a,srht_best_correction,srht_best_psnr,ordered_best_correction,ordered_best_psnr,best_random_variant,best_random_correction,best_random_psnr,srht_minus_ordered_db,srht_minus_best_random_db,srht_gap_to_best_srht_ablation_db,best_srht_ablation
1.0,0.3,pairwise,11.032951991081982,pairwise,11.042370926878345,random_binary,agc,10.711395196181513,-0.009418935796363215,0.3215567949004683,-0.0133614693862949,sign_only
1.0,0.5,pairwise,10.730486215794256,pairwise,10.738452008285238,random_binary,agc,10.606070592326425,-0.007965792490981727,0.12441562346783108,-0.007975238882668378,sign_only
10.0,0.3,pairwise,10.865347869063646,pairwise,10.86846302098062,random_binary,none,10.71445962788801,-0.0031151519169743125,0.15088824117563604,-0.01423576847830077,sign_only
10.0,0.5,pairwise,10.66660441872605,pairwise,10.670173538774591,random_binary,agc,10.607548271433489,-0.003569120048540597,0.059056147292562144,-0.008508278862832341,sign_only
