epoch,train_mse,val_mse
1.0,0.012064529379131272,0.01380576565861702
2.0,0.013039843994192779,0.013771136291325092
3.0,0.01266786246560514,0.013793009333312511
4.0,0.012694994453340769,0.013717381283640862
5.0,0.012160019250586629,0.013573427684605122
6.0,0.012410586001351476,0.013307275250554085
7.0,0.012091759126633406,0.013028983026742935
8.0,0.011217747814953327,0.012722587212920189
9.0,0.01104641635902226,0.012207506224513054
10.0,0.01037471171002835,0.011143987067043781
11.0,0.00909806409617886,0.009799028746783733
12.0,0.008512654807418585,0.008452746085822582
13.0,0.007801951840519905,0.008437057957053185
14.0,0.0072467580903321505,0.0063401334919035435
15.0,0.006101632141508162,0.006146776024252176
16.0,0.005333844441338442,0.005425667390227318
17.0,0.005302319070324302,0.00496095884591341
18.0,0.004922664957121015,0.004913513548672199
19.0,0.004792342631844804,0.004255909007042646
20.0,0.0041290378430858254,0.003928330726921558
