epoch,train_mse,val_mse
1.0,0.0657013485377485,0.07180217405160268
2.0,0.06393600026653572,0.07008001705010732
3.0,0.06435116990046068,0.06349775940179825
4.0,0.055447221140969886,0.05750785768032074
5.0,0.045844484459270134,0.04367762990295887
6.0,0.032519067976285114,0.03161120476822058
7.0,0.02323557004671205,0.028309112414717674
8.0,0.02040467258881439,0.024344695111115772
9.0,0.019086578183553436,0.026240454365809757
10.0,0.014712205347181722,0.022560186684131622
11.0,0.015845762904394756,0.018894961414237816
12.0,0.014522254721007564,0.02032025996595621
13.0,0.013275472531941805,0.01786709576845169
14.0,0.012131909374147654,0.014397891548772654
15.0,0.012331061615523968,0.014004715407888094
16.0,0.010489547424103048,0.013183115671078363
17.0,0.008511298526586457,0.012060842476785183
18.0,0.008017599413340742,0.012919324760635694
19.0,0.00785600040531294,0.00978333099434773
20.0,0.006999720014970411,0.010092957876622677
