source_import,config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0000,0,0,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.005,7.333508968353271,7.3663740158081055,0.1904127597808838,0.0046856999397277,0.9740428844495652,7.623622894287109,0.0016590125160291,0.5096043348312378,0.1066507324576377,0.1609165519475937,0.8942662477493286,0.7333496809005737,0.0972309187054634,0.0172519758343696,0.0111769810318946,0.5806452035903931,0.21331787109375,1.7805988788604736,0.0002275468723382,0.001431465614587,0.0040757302194833,0.0542621128261089,4.2021998524433e-05,0.0597730837762355
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard1of5,cfg0001,0,1,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.01,7.279221057891846,7.380917072296143,0.1920476555824279,0.0046856999397277,0.9740428844495652,7.67158317565918,0.0016348140779882,0.5095491409301758,0.1077979803085327,0.1588693559169769,0.8956133723258972,0.7367440462112427,0.099350482225418,0.0176837034523487,0.0114102708175778,0.5806452035903931,0.21343994140625,1.808696746826172,0.0002275475417263,0.0014072665944695,0.0040739863179624,0.05424365401268,4.336483107181266e-05,0.0592498853802681
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0002,0,2,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.015,7.223763465881348,7.395557880401611,0.1936835795640945,0.0046856999397277,0.9740428844495652,7.710860252380371,0.0016112375305965,0.5094892978668213,0.1089562773704528,0.1568432301282882,0.8968498110771179,0.7400065660476685,0.1015013456344604,0.018127741292119,0.0116386311128735,0.5806452035903931,0.21368408203125,1.8346126079559328,0.0002275490405736,0.0013836885336786,0.0040721762925386,0.0542247965931892,4.474467277759686e-05,0.0587349832057952
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0003,0,3,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.02,7.167824745178223,7.410254001617432,0.1953148245811462,0.0046856999397277,0.9740428844495652,7.741768836975098,0.0015881124418228,0.5094248056411743,0.1101230382919311,0.1548082828521728,0.8979142904281616,0.7431060075759888,0.1036806926131248,0.0185830499976873,0.0118844537064433,0.5806452035903931,0.21380615234375,1.865492820739746,0.0002275477309012,0.0013605647254735,0.0040702675469219,0.0542056709527969,4.6190358261810616e-05,0.0582287460565567
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0004,0,4,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.062,5,6,0.05,0.005,7.860602855682373,7.364849090576172,0.1885234415531158,0.0046856999397277,0.9740428844495652,8.000412940979004,0.0017568585462868,0.5090656280517578,0.1051656380295753,0.1729205697774887,0.8690543174743652,0.6961337327957153,0.0922920033335685,0.0163337662816047,0.0109609421342611,0.5806452035903931,0.21307373046875,1.7127041816711426,0.0002275421429658,0.0015293164178729,0.00437041092664,0.054238386452198,4.385509600979276e-05,0.0619197189807891
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0005,1,5,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.062,5,6,0.05,0.01,7.803014755249023,7.379531383514404,0.1901857852935791,0.0046856999397277,0.9740428844495652,8.011213302612305,0.0017314066644757,0.5090163946151733,0.1062988117337226,0.1703045964241027,0.8708117008209229,0.7005071043968201,0.0943483710289001,0.0167418420314788,0.0111869880929589,0.5806452035903931,0.21319580078125,1.7421424388885498,0.0002275418082717,0.0015038648853078,0.0043693464249372,0.0542205497622489,4.530849400907755e-05,0.0613827183842659
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard1of5,cfg0006,1,6,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.062,5,6,0.05,0.015,7.745025634765625,7.394289970397949,0.191845491528511,0.0046856999397277,0.9740428844495652,8.089242935180664,0.0017067556036636,0.5089629292488098,0.1074400097131729,0.1681806594133377,0.8722519278526306,0.7040712833404541,0.0964348465204238,0.0171593688428401,0.011412214487791,0.5806452035903931,0.2132568359375,1.7671982049942017,0.0002275414299219,0.0014792141737416,0.0043681822717189,0.0542024224996566,4.676832031691447e-05,0.0608554407954216
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0007,1,7,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.062,5,6,0.05,0.02,7.686338424682617,7.409353256225586,0.1934999972581863,0.0046856999397277,0.9740428844495652,8.158068656921387,0.0016826016362756,0.5088856816291809,0.1085871532559394,0.1657179892063141,0.8736489415168762,0.7079309225082397,0.0985444262623786,0.0175867136567831,0.0116546647623181,0.5806452035903931,0.21343994140625,1.793715000152588,0.0002275433216709,0.0014550583437085,0.0043670730665326,0.054184041917324,4.8231268010567874e-05,0.060334924608469
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0008,1,8,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.064,5,6,0.05,0.005,8.27691650390625,7.360658168792725,0.1863404959440231,0.0046856999397277,0.9740428844495652,8.40951919555664,0.0018467140616849,0.5085638761520386,0.1038071811199188,0.193924531340599,0.8488443493843079,0.6549198031425476,0.0880898758769035,0.015568153001368,0.0107499407604336,0.5806452035903931,0.21258544921875,1.6497416496276855,0.000227539014304,0.0016191750764846,0.0046486435458064,0.0542149655520916,4.576396167976782e-05,0.0638229846954345
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0009,1,9,20240710,stripe_target,1,scgi_ured,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.064,5,6,0.05,0.01,8.221040725708008,7.375442981719971,0.1880295276641845,0.0046856999397277,0.9740428844495652,8.438474655151367,0.001820474397391,0.508521318435669,0.1049275398254394,0.1917986273765564,0.8508464097976685,0.6590477824211121,0.0900730639696121,0.0159546267241239,0.0109729235991835,0.5806452035903931,0.21270751953125,1.6810953617095947,0.0002275385922985,0.0015929357614368,0.0046479776501655,0.0541976392269134,4.723614983959124e-05,0.0632799118757247
