source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0134,1,7.314590930938721,7.314590930938721,7.109480381011963,7.109480381011963,0.1929389238357544,31,0.0005,0.55,0.5,0.13,24,3,0.1,nlm,3,0.06,5,6,0.05,0.015
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0013,1,7.31336498260498,7.31336498260498,7.250726699829102,7.250726699829102,0.1918426305055618,31,0.00045,0.55,0.5,0.13,24,3,0.08,nlm,3,0.06,5,6,0.05,0.01
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0109,1,7.311763286590576,7.311763286590576,7.345324516296387,7.345324516296387,0.1917219012975692,31,0.0005,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.01
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0122,1,7.292562484741211,7.292562484741211,7.234289169311523,7.234289169311523,0.1931273341178894,31,0.0005,0.55,0.5,0.13,24,3,0.08,nlm,3,0.06,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard1of5,cfg0001,1,7.279221057891846,7.279221057891846,7.380917072296143,7.380917072296143,0.1920476555824279,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.01
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard1of5,cfg0026,1,7.278414726257324,7.278414726257324,7.136936664581299,7.136936664581299,0.1933012902736663,31,0.00045,0.55,0.5,0.13,24,3,0.1,nlm,3,0.06,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0135,1,7.259757041931152,7.259757041931152,7.124200820922852,7.124200820922852,0.1945667862892151,31,0.0005,0.55,0.5,0.13,24,3,0.1,nlm,3,0.06,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0014,1,7.258002758026123,7.258002758026123,7.26494026184082,7.26494026184082,0.1934722065925598,31,0.00045,0.55,0.5,0.13,24,3,0.08,nlm,3,0.06,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0110,1,7.256101608276367,7.256101608276367,7.360842704772949,7.360842704772949,0.1933616548776626,31,0.0005,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.015
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0123,1,7.236927509307861,7.236927509307861,7.249333381652832,7.249333381652832,0.1947604417800903,31,0.0005,0.55,0.5,0.13,24,3,0.08,nlm,3,0.06,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0027,1,7.224052906036377,7.224052906036377,7.150614738464356,7.150614738464356,0.1949204802513122,31,0.00045,0.55,0.5,0.13,24,3,0.1,nlm,3,0.06,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0002,1,7.223763465881348,7.223763465881348,7.395557880401611,7.395557880401611,0.1936835795640945,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.015
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0015,1,7.203052520751953,7.203052520751953,7.279207229614258,7.279207229614258,0.1950997412204742,31,0.00045,0.55,0.5,0.13,24,3,0.08,nlm,3,0.06,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard1of5,cfg0111,1,7.200609683990479,7.200609683990479,7.376513481140137,7.376513481140137,0.194999098777771,31,0.0005,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0003,1,7.167824745178223,7.167824745178223,7.410254001617432,7.410254001617432,0.1953148245811462,31,0.00045,0.55,0.5,0.13,24,3,0.06,nlm,3,0.06,5,6,0.05,0.02
