object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns,streaming
letter_A,handcrafted,raw,13.51447582244873,10.72953987121582,0.8336093425750732,30.451210021972656,34.68000030517578,0.08751822085505306,9280.140344963644,-1.949264515133109e-05,0.00010552730964263901,1.3099064943844496e-08,128.0,2097152,True
letter_A,handcrafted,minmax,13.514477729797363,21.711294174194336,0.1589520275592804,21.731353759765625,34.68000030517578,-0.09337626038624618,1.1602955002847202,0.0,0.9999200701713562,0.15600857138633728,128.0,2097152,True
stripe_target,handcrafted,raw,27.332340240478516,6.722483158111572,0.5501179099082947,19.80524253845215,31.33765411376953,0.21260860665556297,21821.90859144744,-1.6027717720135115e-05,4.222394636599347e-05,4.532751063379692e-09,128.0,2097152,True
stripe_target,handcrafted,minmax,27.33234214782715,18.929523468017578,0.4315892159938812,19.153623580932617,31.33765411376953,-0.1371467844636147,1.2713807655410245,0.0,0.9998283386230469,0.27517664432525635,128.0,2097152,True
letter_L,handcrafted,raw,40.09872055053711,10.561423301696777,0.853529691696167,30.768295288085938,34.74188232421875,0.0876467978230327,9265.199851845791,-1.9581917513278313e-05,0.00010717792611103505,2.631637130434683e-08,128.0,2097152,True
letter_L,handcrafted,minmax,40.09871292114258,21.65045928955078,0.14061306416988373,21.651010513305664,34.74188232421875,-0.09378358273089901,1.1745479103054808,0.0,0.9999211430549622,0.15467585623264313,128.0,2097152,True
ring,handcrafted,raw,33.5456657409668,8.824409484863281,0.7679240107536316,25.888328552246094,33.154258728027344,0.13071492745885527,13545.063120556257,-1.8223121514893137e-05,7.09702362655662e-05,2.868847559511778e-08,128.0,2097152,True
ring,handcrafted,minmax,33.54566192626953,20.158231735229492,0.20676350593566895,20.16268539428711,33.154258728027344,-0.11611840116511755,1.2082650715326142,0.0,0.9998879432678223,0.20460902154445648,128.0,2097152,True
heldout_0,mnist,raw,6.390338897705078,11.803587913513184,0.7195139527320862,26.88657569885254,35.46282196044922,0.09753167627298671,10103.826536588464,-1.6958430933300406e-05,9.291726019000635e-05,8.207763357859221e-09,128.0,2097152,True
heldout_0,mnist,minmax,6.3903398513793945,23.743206024169922,0.25512027740478516,23.957515716552734,35.46282196044922,-0.07381336817985393,1.110265932640787,0.0,0.9999090433120728,0.15440262854099274,128.0,2097152,True
heldout_1,mnist,raw,7.091849327087402,9.332903861999512,0.695375382900238,23.200284957885742,33.239219665527344,0.14419785531716,14848.286989245393,-1.6708163457224146e-05,6.241746450541541e-05,2.527774611849054e-08,128.0,2097152,True
heldout_1,mnist,minmax,7.091849327087402,21.349849700927734,0.25806450843811035,21.373008728027344,33.239219665527344,-0.10388975082602597,1.175028527182827,0.0,0.999873697757721,0.2114526778459549,128.0,2097152,True
heldout_2,mnist,raw,6.911992073059082,9.357990264892578,0.6902363300323486,23.08890151977539,33.28105545043945,0.14500406852615727,14862.690497472346,-1.658426299400162e-05,6.227114499779418e-05,2.3135093840664922e-08,128.0,2097152,True
heldout_2,mnist,minmax,6.911992073059082,21.533605575561523,0.2650194764137268,21.554462432861328,33.28105545043945,-0.10148269951930963,1.1721521352638782,0.0,0.9998732209205627,0.2105790078639984,128.0,2097152,True
heldout_3,mnist,raw,6.49660062789917,11.09006404876709,0.724524199962616,26.095062255859375,34.8788948059082,0.10821465101482716,11152.611195988147,-1.732432247081306e-05,8.383923704968765e-05,-3.21856319374092e-09,128.0,2097152,True
heldout_3,mnist,minmax,6.4966020584106445,22.72805404663086,0.24597102403640747,22.907379150390625,34.8788948059082,-0.08499678010750483,1.1283493442801922,0.0,0.9999011754989624,0.1712018847465515,128.0,2097152,True
letter_A,handcrafted,raw,14.062102317810059,10.729540824890137,0.8336093425750732,30.89210319519043,37.88686752319336,0.08757296045081109,9301.071619561697,-1.6309080820064992e-05,0.00010436434240546077,7.1843224702661246e-09,256.0,4194304,True
