sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,max_margin_db_above_floor,min_margin_db_above_floor,points,above_floor_points,sub_floor_points,rho_min,rho_max,above_floor_rho_min,above_floor_rho_max,above_floor_rel_mse
0.5,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.010911112148543012,-8.279222923964735,-0.9252705824905476,-8.279222923964735,9,4,5,0.001,10.0,0.001,0.03,0.5
0.5,reference_k2,dct_paired,hadamard_paired,,not_reached,-0.04528315392126814,-2.9460156500068706,-1.701560572090532,-2.9460156500068706,9,4,5,0.001,10.0,0.001,0.03,0.5
0.5,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.05162605052998259,0.02395457089211206,0.05162605052998259,0.025549122405145397,9,4,5,0.001,10.0,0.001,0.03,0.5
0.5,reference_k32,random_uniform,hadamard_paired,,not_reached,-0.04902880724887382,-12.218084281056274,-5.093728723458252,-12.218084281056274,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k32,random_binary,hadamard_paired,,not_reached,-0.016348527381889966,-11.11195319439144,-4.610736046362408,-11.11195319439144,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,0.011197914092878847,-6.599287266783733,-2.3912236445610695,-6.599287266783733,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.01543978192942319,-2.7422243672703495,-1.806907019592888,-2.7422243672703495,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k32,srht_paired,hadamard_paired,,not_reached,0.0658530919865914,-0.08993799408431613,-0.015662250573043934,-0.08993799408431613,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k8,random_uniform,hadamard_paired,,not_reached,-0.04613946403291713,-11.205191875276444,-4.755923653733156,-11.205191875276444,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k8,random_binary,hadamard_paired,,not_reached,-0.003602138667574195,-10.543880505398889,-3.6721059156885563,-10.543880505398889,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.00044776125078094253,-6.795567410352735,-2.352175808579746,-6.795567410352735,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.023306513383287708,-2.8719183613265997,-2.0111431109562794,-2.8719183613265997,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,reference_k8,srht_paired,hadamard_paired,0.0012981946489576052,observed,0.07779955383679038,-0.005203649394481147,0.04723404607140225,-0.005203649394481147,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-0.04710363946720442,-12.412547173652124,-4.803002747503172,-12.412547173652124,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,scgi_proxy,random_binary,hadamard_paired,,not_reached,0.006445365623001464,-11.322755796159905,-4.461996847033193,-11.322755796159905,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-0.007012144899329442,-5.952338112847549,-2.3466117670711792,-5.952338112847549,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-0.029437660371710805,-2.6036745004245496,-1.6353129163467024,-2.6036745004245496,9,3,6,0.001,10.0,0.001,0.01,0.5
0.5,scgi_proxy,srht_paired,hadamard_paired,0.002745170868204766,observed,0.16710464189262808,-0.0582148681798067,0.10798541155488728,-0.0582148681798067,9,3,6,0.001,10.0,0.001,0.01,0.5
