object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns,streaming
letter_A,handcrafted,raw,10.474519729614258,32.119873046875,0.990498423576355,41.628997802734375,41.13533020019531,0.0011527916246840031,107.39151016711085,-0.0004082896339241415,0.007343049626797438,-2.0929317088302923e-06,4.0,65536,True
letter_A,handcrafted,minmax,10.474519729614258,25.535058975219727,0.04010384902358055,32.98506546020508,41.13533020019531,-0.042694049227151885,0.8324290724486467,0.0,0.9999987483024597,0.05240335687994957,4.0,65536,True
stripe_target,handcrafted,raw,4.916853427886963,6.7224836349487305,0.5501177906990051,14.473785400390625,15.824284553527832,0.21107221220581182,17566.182397372886,-4.5959030103404075e-05,6.415635289158672e-05,9.30938881538168e-08,4.0,65536,True
stripe_target,handcrafted,minmax,4.916854381561279,9.706550598144531,0.2934897840023041,10.272449493408203,15.824284553527832,-0.5962524925755802,1.9344825121052673,0.0,0.9999092221260071,0.4181790053844452,4.0,65536,True
letter_L,handcrafted,raw,7.096932411193848,10.561439514160156,0.8535295128822327,20.264995574951172,19.445024490356445,0.08860901305407896,7335.320574146627,-8.097587851807475e-05,0.00015559003804810345,-9.793538424673898e-08,4.0,65536,True
letter_L,handcrafted,minmax,7.096932411193848,10.366600036621094,0.08255418390035629,12.571878433227539,19.445024490356445,-0.5053750145915182,1.7353601669865377,0.0,0.9999577403068542,0.34186887741088867,4.0,65536,True
ring,handcrafted,raw,5.874825954437256,8.824416160583496,0.767923891544342,17.81016731262207,17.674022674560547,0.1303713770560753,10784.758717654258,-5.630935265799053e-05,0.00010414318239782006,6.788637563204247e-08,4.0,65536,True
ring,handcrafted,minmax,5.874826431274414,10.574739456176758,0.12871883809566498,11.686491966247559,17.674022674560547,-0.47691140496623047,1.7305496540134062,0.0,0.9999377131462097,0.3513420820236206,4.0,65536,True
heldout_0,mnist,raw,4.547189235687256,11.803590774536133,0.7195141911506653,20.59328269958496,20.665645599365234,0.09645883026135912,8136.264697317072,-5.872450492461212e-05,0.00011989807535428554,1.420525990170063e-07,4.0,65536,True
heldout_0,mnist,minmax,4.5471906661987305,11.582292556762695,0.1471017450094223,14.531867980957031,20.665645599365234,-0.3813392858282456,1.4534019039163115,0.0,0.9999440312385559,0.32953986525535583,4.0,65536,True
heldout_1,mnist,raw,4.250080585479736,9.332905769348145,0.6953755021095276,17.546768188476562,18.24250030517578,0.14370527135781724,11945.524377763208,-5.2895302360411733e-05,8.376711048185825e-05,7.265605006523401e-08,4.0,65536,True
heldout_1,mnist,minmax,4.2500810623168945,10.469778060913086,0.14182639122009277,12.407183647155762,18.24250030517578,-0.488156852886536,1.6326236937200538,0.0,0.9999268651008606,0.3875541090965271,4.0,65536,True
heldout_2,mnist,raw,4.314095497131348,9.357994079589844,0.6902356743812561,17.62883758544922,18.400365829467773,0.14462335862614747,11935.91440924745,-5.100609996588901e-05,9.062491153599694e-05,6.070438018923596e-08,4.0,65536,True
heldout_2,mnist,minmax,4.3140950202941895,11.098731994628906,0.14623187482357025,12.573219299316406,18.400365829467773,-0.4641810843259191,1.6906149537443624,0.0,0.9999294281005859,0.3605368733406067,4.0,65536,True
heldout_3,mnist,raw,4.399621486663818,11.090072631835938,0.7245238423347473,19.817296981811523,20.010009765625,0.10724206766422197,8932.586801463094,-5.597206109086983e-05,0.00011413675383664668,1.048618116783473e-07,4.0,65536,True
heldout_3,mnist,minmax,4.399621486663818,11.657557487487793,0.1495119333267212,13.983943939208984,20.010009765625,-0.39273322594888366,1.5196010861304186,0.0,0.9999412298202515,0.3296338617801666,4.0,65536,True
letter_A,handcrafted,raw,10.498345375061035,32.11799240112305,0.9905030727386475,44.86460876464844,44.11747360229492,0.0011044272775562458,123.45575331126823,-0.00023816792236175388,0.007176812272518873,-1.4288414149632445e-06,8.0,131072,True
letter_A,handcrafted,minmax,10.498345375061035,29.853729248046875,0.10031600296497345,34.16265869140625,44.11747360229492,-0.028298772438134383,0.9154231715737028,0.0,0.9999986886978149,0.031927093863487244,8.0,131072,True
stripe_target,handcrafted,raw,6.960428714752197,6.72248649597168,0.5501177906990051,16.466611862182617,18.7637996673584,0.2113492819346003,19321.21965933494,-3.8758233131375164e-05,5.819617581437342e-05,7.029754556242551e-08,8.0,131072,True
stripe_target,handcrafted,minmax,6.960428714752197,10.647467613220215,0.3268144428730011,11.02448844909668,18.7637996673584,-0.5375070537497301,1.8734705181410525,0.0,0.9998968839645386,0.40044111013412476,8.0,131072,True
letter_L,handcrafted,raw,9.927889823913574,10.561436653137207,0.853529691696167,23.370790481567383,22.296724319458008,0.08812863806459724,8166.12930862848,-5.678788875229657e-05,0.0001305826153839007,-2.9146178803785006e-08,8.0,131072,True
letter_L,handcrafted,minmax,9.927888870239258,11.95600700378418,0.09637519717216492,13.557632446289062,22.296724319458008,-0.37560860452082256,1.5301734027983434,0.0,0.999946653842926,0.3029063642024994,8.0,131072,True
ring,handcrafted,raw,8.250157356262207,8.824413299560547,0.7679240107536316,20.46947479248047,20.56142807006836,0.13076969917622067,12036.192583485523,-4.3132858991157264e-05,9.415639942744747e-05,2.7734387231248547e-08,8.0,131072,True
