image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std
32,1024,hadamard_paired,0.003,0.05,0.02,41,0.0014717003978148568,0.0001317919428648103,0.7121909093111753,0.08655233390003994
32,1024,hadamard_paired,0.003,0.05,0.03,61,0.002127430783730233,0.00019097178613275127,0.6462367540225387,0.0982203700789599
32,1024,hadamard_paired,0.003,0.05,0.045,92,0.003147327355691232,0.000281035978965061,0.5701412884518504,0.11881071237619455
32,1024,hadamard_paired,0.003,0.05,0.067,137,0.00448712343495572,0.00038319823741948166,0.49800066463649273,0.14970576347109044
32,1024,hadamard_paired,0.003,0.05,0.1,205,0.0064797306404216215,0.0005227355708719362,0.42218458448769525,0.18997632711761553
32,1024,hadamard_paired,0.003,0.05,0.15,307,0.009288039698731154,0.0007456273183109074,0.3518035658635199,0.2257889008434968
32,1024,hadamard_paired,0.003,0.05,0.22,451,0.012916814157506451,0.0010656429976058314,0.28811482695891755,0.25165921594629653
32,1024,hadamard_paired,0.003,0.05,0.33,676,0.017789829144021496,0.0017018167199840863,0.22935923479963094,0.2822197632141478
32,1024,hadamard_paired,0.003,0.05,0.5,1024,0.02354466653196141,0.0026705811090295016,0.18349924011272378,0.32710295830379527
32,1024,hadamard_paired,0.003,0.1,0.0015,3,0.0005483450086103403,9.377167346317053e-05,0.9542967583984137,0.022616505881679575
32,1024,hadamard_paired,0.003,0.1,0.0025,5,0.00043923331941186916,7.152686001054683e-05,0.9627881124615669,0.018087355284935044
32,1024,hadamard_paired,0.003,0.1,0.004,8,0.0005157398563824245,8.505131461737956e-05,0.9567318428307772,0.020429341259876926
32,1024,hadamard_paired,0.003,0.1,0.006,12,0.0006501581356133102,0.00010779764934400497,0.9463360290974379,0.024885395676763938
32,1024,hadamard_paired,0.003,0.1,0.009,18,0.0008688213565619662,0.00014472332165824502,0.9300663769245148,0.03186055631618487
32,1024,hadamard_paired,0.003,0.1,0.013,27,0.0011701354324031854,0.00019243227723869747,0.9088958017528057,0.04052620445475715
32,1024,hadamard_paired,0.003,0.1,0.02,41,0.0017047541186911985,0.00027519325024946386,0.8747655507177114,0.052469830955824706
32,1024,hadamard_paired,0.003,0.1,0.03,61,0.0024719314897083677,0.00039658744905375306,0.8311506006866693,0.06511158833554365
32,1024,hadamard_paired,0.003,0.1,0.045,92,0.0036638454112107866,0.0005859530018650919,0.7715941071510315,0.08292285995669349
32,1024,hadamard_paired,0.003,0.1,0.067,137,0.005221234700002242,0.0007984308215498542,0.7038262952119112,0.10896365445309387
32,1024,hadamard_paired,0.003,0.1,0.1,205,0.007541731247329153,0.0010915287683693486,0.6188348596915603,0.14735510443583946
32,1024,hadamard_paired,0.003,0.1,0.15,307,0.010820302908541635,0.0015811971862836898,0.5250498887617141,0.1852781748270511
32,1024,hadamard_paired,0.003,0.1,0.22,451,0.015132188447751105,0.0022943769228144987,0.4265485328505747,0.21626018295948013
