basis,lower_bound,interior,upper_bound,total_cells,interior_frac,boundary_frac
hadamard_paired,25,20,0,45,0.4444444444444444,0.5555555555555556
random_binary,19,26,0,45,0.5777777777777777,0.4222222222222223
random_uniform,25,20,0,45,0.4444444444444444,0.5555555555555556
srht_paired,25,20,0,45,0.4444444444444444,0.5555555555555556
