image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std,boundary_status
32,1024,hadamard_paired,0.0003,0.05,0.0025,5,0.0003899575149262091,3.247523756981573e-05,0.6550593767315149,0.11636068297070744,interior
32,1024,hadamard_paired,0.0003,0.1,0.0025,5,0.00039804221432859777,4.329552825699595e-05,0.854588532820344,0.0681023314692778,interior
32,1024,hadamard_paired,0.0003,0.15,0.0025,5,0.00040786873614706565,5.7958173699556606e-05,0.9234746396541595,0.03965338891950966,interior
32,1024,hadamard_paired,0.0003,0.3,0.0025,5,0.00044800692649005214,0.00011418385066517776,0.976937972009182,0.01286546056125514,interior
32,1024,hadamard_paired,0.0003,0.5,0.0025,5,0.0005271053914839285,0.00021119251893886139,0.9901164695620537,0.005733262226475264,interior
32,1024,hadamard_paired,0.001,0.05,0.0025,5,0.00039699950502836145,3.863787038731694e-05,0.8123500254005194,0.07804731862409567,interior
32,1024,hadamard_paired,0.001,0.1,0.0025,5,0.0004156210598011967,6.038181147159744e-05,0.935776824131608,0.03334587452683454,interior
32,1024,hadamard_paired,0.001,0.15,0.0025,5,0.0004395605210447684,8.808665152570793e-05,0.9679369982331991,0.017577679520684,interior
32,1024,hadamard_paired,0.001,0.3,0.0025,5,0.0005443116242531687,0.00019733732674672255,0.9897455219179392,0.0059758279275527425,interior
32,1024,hadamard_paired,0.001,0.5,0.0025,5,0.0007637524640813353,0.00040429111029759374,0.9947122912853956,0.003292130907417525,interior
32,1024,hadamard_paired,0.003,0.05,0.0025,5,0.0004046923804708058,4.30206157030853e-05,0.8839266132563353,0.047041729204719836,interior
32,1024,hadamard_paired,0.003,0.1,0.0025,5,0.00043923331941186916,7.152686001054683e-05,0.9627881124615669,0.018087355284935044,interior
32,1024,hadamard_paired,0.003,0.15,0.0025,5,0.0004873602219959139,0.00010750719085924497,0.9808755610138178,0.009979687226204337,interior
32,1024,hadamard_paired,0.003,0.3,0.0025,5,0.0007147362075556885,0.0002524510543302874,0.9926372617483139,0.0042713984444390325,interior
32,1024,hadamard_paired,0.003,0.5,0.0015,3,0.0010364305726398015,0.0004697245743141423,0.9958737287670374,0.002565810555619967,lower_bound
32,1024,hadamard_paired,0.01,0.05,0.0025,5,0.00041962426439567935,4.516565391100234e-05,0.909115344285965,0.02774562080278647,interior
32,1024,hadamard_paired,0.01,0.1,0.0025,5,0.0004970991349182441,7.639310149432641e-05,0.9697611797600985,0.010668870517999677,interior
32,1024,hadamard_paired,0.01,0.15,0.0025,5,0.0006161565215734299,0.00011558926407560467,0.98285879381001,0.006361150921846278,interior
32,1024,hadamard_paired,0.01,0.3,0.0015,3,0.001003054194370634,0.00024966535581714305,0.9927121847867966,0.0029182827168591687,lower_bound
32,1024,hadamard_paired,0.01,0.5,0.0015,3,0.001794250048988033,0.0004882893972377116,0.9948836155235767,0.00196409683217179,lower_bound
32,1024,hadamard_paired,0.03,0.05,0.0025,5,0.00045969598795636557,4.642498830869567e-05,0.9078218806535006,0.018314127419059717,interior
32,1024,hadamard_paired,0.03,0.1,0.0025,5,0.0006576959967787843,7.972790256919866e-05,0.9639105908572674,0.008085763202705154,interior
32,1024,hadamard_paired,0.03,0.15,0.0015,3,0.0008501052489009453,0.00012577179581882845,0.9791050255298615,0.005181377577330973,lower_bound
32,1024,hadamard_paired,0.03,0.3,0.0015,3,0.001800110905605834,0.00025758013711458464,0.9885236527770758,0.002692461325371844,lower_bound
32,1024,hadamard_paired,0.03,0.5,0.0015,3,0.004014452963019721,0.0005467240234136932,0.9900389276444912,0.0021494130279580415,lower_bound
32,1024,hadamard_paired,0.1,0.05,0.0025,5,0.0005990306035528192,4.889905200671042e-05,0.8793514668941498,0.013707664890678123,interior
32,1024,hadamard_paired,0.1,0.1,0.0015,3,0.0009791643806238426,9.734443021423553e-05,0.9491712842136621,0.007087509472139497,lower_bound
32,1024,hadamard_paired,0.1,0.15,0.0015,3,0.0015490027726627886,0.00013045325986786233,0.9638473149389029,0.004695322896945309,lower_bound
32,1024,hadamard_paired,0.1,0.3,0.0015,3,0.004604531677614432,0.0003411039050953962,0.9724455829709768,0.0031967501705066027,lower_bound
32,1024,hadamard_paired,0.1,0.5,0.0015,3,0.011872606031829491,0.0009668573037009193,0.9723845981061459,0.003231983955358913,lower_bound
32,1024,hadamard_paired,0.3,0.05,0.0015,3,0.0008484943518851651,7.976457808177484e-05,0.8301326893270016,0.015649497118711112,lower_bound
32,1024,hadamard_paired,0.3,0.1,0.0015,3,0.0018415478079987224,0.00011380433302176927,0.9027247484773397,0.007697713097274339,lower_bound
32,1024,hadamard_paired,0.3,0.15,0.0015,3,0.0034898423837148584,0.00019185902058687108,0.9182142335921526,0.005886337441511356,lower_bound
32,1024,hadamard_paired,0.3,0.3,0.0015,3,0.01244348325417377,0.0007412881361970031,0.9252003245055676,0.005158794092915645,lower_bound
32,1024,hadamard_paired,0.3,0.5,0.0015,3,0.034121827920898795,0.0026583192273974044,0.9195459708571434,0.005966807812228542,lower_bound
32,1024,hadamard_paired,1.0,0.05,0.0015,3,0.0014501583282253705,9.126639156535558e-05,0.6754641700536013,0.01876602964897976,lower_bound
32,1024,hadamard_paired,1.0,0.1,0.0015,3,0.00423594505264191,0.00020989279840535083,0.7582296300679445,0.012789544555433869,lower_bound
32,1024,hadamard_paired,1.0,0.15,0.0015,3,0.008864328556228429,0.0004433242564372291,0.7761674504727125,0.011615120364388715,lower_bound
32,1024,hadamard_paired,1.0,0.3,0.0015,3,0.03375830821460113,0.001818001339516326,0.7797368932515383,0.011428080996359693,lower_bound
32,1024,hadamard_paired,1.0,0.5,0.0015,3,0.09136940236203372,0.005541896036822449,0.7638791408389807,0.012421131659027102,lower_bound
32,1024,hadamard_paired,3.0,0.05,0.0015,3,0.0020809540910704527,0.00011517564738784352,0.49021820444613695,0.021716901731068806,lower_bound
32,1024,hadamard_paired,3.0,0.1,0.0015,3,0.006730783032253385,0.00034803270053089535,0.5735620334744453,0.019454610851279606,lower_bound
32,1024,hadamard_paired,3.0,0.15,0.0015,3,0.014410265372134745,0.0007506598441106607,0.5937563590705395,0.018914510912648806,lower_bound
32,1024,hadamard_paired,3.0,0.3,0.0015,3,0.05471345467958599,0.002812776372009064,0.6016767639666796,0.0179834113569433,lower_bound
32,1024,hadamard_paired,3.0,0.5,0.0015,3,0.14224067004397511,0.00736773568532231,0.5946966949850321,0.016475032251188675,lower_bound
32,1024,random_binary,0.0003,0.05,0.067,137,5.518885677702201e-05,2.628071403707846e-05,0.894274365156889,0.08651734057832938,interior
32,1024,random_binary,0.0003,0.1,0.045,92,9.478487118030898e-05,2.122876974988174e-05,0.9514099936932325,0.033056064937767776,interior
32,1024,random_binary,0.0003,0.15,0.03,61,0.0001350613322301797,2.1110237199082187e-05,0.9695491939783096,0.020083895478328215,interior
32,1024,random_binary,0.0003,0.3,0.013,27,0.00025490323969279416,3.622369505435652e-05,0.9855358358472586,0.00973352252456309,interior
32,1024,random_binary,0.0003,0.5,0.006,12,0.0004061298286615056,5.4428308753820404e-05,0.9916199613362551,0.005552205875339633,interior
32,1024,random_binary,0.001,0.05,0.045,92,8.704828826466837e-05,2.1057990397413873e-05,0.9376429934054613,0.03991469542417174,interior
32,1024,random_binary,0.001,0.1,0.02,41,0.00016050078829721315,2.5355995887001686e-05,0.9712769109755754,0.0190840063973236,interior
32,1024,random_binary,0.001,0.15,0.013,27,0.00023421045943905483,3.4951205354222306e-05,0.9812317676842213,0.012746258760928235,interior
32,1024,random_binary,0.001,0.3,0.006,12,0.00043766973067249637,5.383248951150824e-05,0.9912020396441221,0.005784984305377383,interior
32,1024,random_binary,0.001,0.5,0.004,8,0.0007099054419086315,8.254333941039229e-05,0.9947142042219639,0.0033728838300805773,interior
32,1024,random_binary,0.003,0.05,0.03,61,0.0001428786235919688,2.1289665917597712e-05,0.9474529381841421,0.02790293043801429,interior
32,1024,random_binary,0.003,0.1,0.013,27,0.0002681921660041553,3.504743697213746e-05,0.9753079935908318,0.013639859886843712,interior
32,1024,random_binary,0.003,0.15,0.006,12,0.00038931902599870227,5.112901524054733e-05,0.98417510651052,0.008653550242713231,interior
32,1024,random_binary,0.003,0.3,0.004,8,0.0007391932740574703,7.89333786202499e-05,0.9922732021659613,0.004169558368532095,interior
32,1024,random_binary,0.003,0.5,0.0025,5,0.0012083930960216094,0.00012609637576411554,0.9951325505971909,0.002536006945885575,interior
32,1024,random_binary,0.01,0.05,0.013,27,0.00024532484530936927,3.382114251443103e-05,0.9375649224966764,0.024245242561587714,interior
32,1024,random_binary,0.01,0.1,0.006,12,0.00045999643043614924,5.022186194061007e-05,0.9708361010998487,0.010926109791679779,interior
32,1024,random_binary,0.01,0.15,0.004,8,0.0006740203789377119,7.228381426394044e-05,0.9808911364525557,0.00722356395083154,interior
32,1024,random_binary,0.01,0.3,0.0025,5,0.0013322743943717796,0.00011985467317423682,0.9902235437184572,0.003586640407398454,interior
32,1024,random_binary,0.01,0.5,0.0015,3,0.002124728176568169,0.00018640595376858728,0.9938982482999563,0.0020713118235216256,lower_bound
32,1024,random_binary,0.03,0.05,0.006,12,0.00040530404658056796,5.015729629001366e-05,0.9099034927785397,0.021692038196354086,interior
32,1024,random_binary,0.03,0.1,0.004,8,0.00078474564361386,7.317659800429226e-05,0.9559242893010378,0.010158887362312774,interior
32,1024,random_binary,0.03,0.15,0.0025,5,0.0011498745407152455,0.00011507150067924668,0.9713943880051374,0.006802086192452245,interior
32,1024,random_binary,0.03,0.3,0.0015,3,0.0022145412913232576,0.0001809607694248154,0.9858409892767668,0.0031351703759845907,lower_bound
32,1024,random_binary,0.03,0.5,0.0015,3,0.00436363343760604,0.00024796999332294545,0.9891422726213932,0.002151063128233525,lower_bound
32,1024,random_binary,0.1,0.05,0.004,8,0.0007018410033197142,7.244469749313673e-05,0.8494351357221603,0.02117575948556433,interior
32,1024,random_binary,0.1,0.1,0.0025,5,0.0014042830152902752,0.00011691859266580198,0.9256203435361385,0.009802552957825337,interior
32,1024,random_binary,0.1,0.15,0.0015,3,0.0020094575083930977,0.00017903326741586462,0.9531452897936106,0.006340608401131825,lower_bound
32,1024,random_binary,0.1,0.3,0.0015,3,0.005019540520152077,0.0002453759639926117,0.9698734674602747,0.0031143457398503977,lower_bound
32,1024,random_binary,0.1,0.5,0.0015,3,0.01223274864605628,0.0006965392130175538,0.9715125039219856,0.002978549162067312,lower_bound
32,1024,random_binary,0.3,0.05,0.0025,5,0.0011728630852303468,0.00011484255042025402,0.7544178403913975,0.02381033020382092,interior
32,1024,random_binary,0.3,0.1,0.0015,3,0.0023113694624044,0.00018232828480567865,0.8783188704401255,0.011543018574412093,lower_bound
32,1024,random_binary,0.3,0.15,0.0015,3,0.003942442512197886,0.000207877239511369,0.906852338463068,0.0070373581208801085,lower_bound
32,1024,random_binary,0.3,0.3,0.0015,3,0.012846558674937114,0.0006022331187256696,0.9224662613123655,0.00483432730395112,lower_bound
32,1024,random_binary,0.3,0.5,0.0015,3,0.03446345025440678,0.0022661095988405224,0.9186318200081587,0.0053911164024252065,lower_bound
32,1024,random_binary,1.0,0.05,0.0015,3,0.0019308521950733848,0.00017997712349128808,0.6038051042705774,0.02732688467378143,lower_bound
32,1024,random_binary,1.0,0.1,0.0015,3,0.004692180940764956,0.00023486285532737608,0.7303490247577429,0.0156346652734166,lower_bound
32,1024,random_binary,1.0,0.15,0.0015,3,0.009296513919252902,0.00041741273423625305,0.7629328183829784,0.012256658147990651,lower_bound
32,1024,random_binary,1.0,0.3,0.0015,3,0.034121649456210434,0.0016631531955570433,0.7766789272427559,0.011031033087440833,lower_bound
32,1024,random_binary,1.0,0.5,0.0015,3,0.09165959991514683,0.005107708267177755,0.7629016824066639,0.01183385179540894,lower_bound
32,1024,random_binary,3.0,0.05,0.004,8,0.0025224609271390364,9.940825904018582e-05,0.24663086468353868,0.02313356153560428,interior
32,1024,random_binary,3.0,0.1,0.0015,3,0.007174821919761598,0.0003529915092151369,0.5455600265413523,0.020766400701620356,lower_bound
32,1024,random_binary,3.0,0.15,0.0015,3,0.014823873207205907,0.0007234646383251815,0.580110939219594,0.019192116725392942,lower_bound
32,1024,random_binary,3.0,0.3,0.0015,3,0.05504413100425154,0.0026942313958954515,0.598606126382947,0.017959130428481605,lower_bound
32,1024,random_binary,3.0,0.5,0.0015,3,0.1425114693120122,0.0070520108950579774,0.5936785191297531,0.016466292927509632,lower_bound
32,1024,random_uniform,0.0003,0.05,0.045,92,2.9089828160522302e-05,8.699393831922138e-06,0.9429452084004879,0.03727360700410429,interior
32,1024,random_uniform,0.0003,0.1,0.02,41,5.034556488681119e-05,7.847233389758748e-06,0.9747537653893232,0.01632393156705331,interior
32,1024,random_uniform,0.0003,0.15,0.013,27,7.312177842777601e-05,9.76725498734093e-06,0.983621021732688,0.010524876306640998,interior
32,1024,random_uniform,0.0003,0.3,0.006,12,0.00014442466363107087,1.791051791967419e-05,0.9918321054428816,0.005320495871152252,interior
32,1024,random_uniform,0.0003,0.5,0.004,8,0.00023406732179864775,2.6061875274733002e-05,0.9951528124511242,0.0031604711471944448,interior
32,1024,random_uniform,0.001,0.05,0.02,41,4.6912756829442515e-05,7.640984312879349e-06,0.9664939232170582,0.022548133732341283,interior
32,1024,random_uniform,0.001,0.1,0.013,27,8.796301904112624e-05,1.0463316271421373e-05,0.9841024782508612,0.010753253288071763,interior
32,1024,random_uniform,0.001,0.15,0.009,18,0.0001313897166710376,1.3548063260806607e-05,0.9894479364156723,0.007120155425839574,interior
32,1024,random_uniform,0.001,0.3,0.004,8,0.00025631188736952026,2.6538879953053476e-05,0.9948234893381596,0.0034321581209888893,interior
32,1024,random_uniform,0.001,0.5,0.0025,5,0.0004153043028054526,4.386712986543302e-05,0.9969026073813438,0.001966982941876346,interior
32,1024,random_uniform,0.003,0.05,0.013,27,7.66449727507279e-05,9.826100731912014e-06,0.9719384461641312,0.01543282751220907,interior
32,1024,random_uniform,0.003,0.1,0.006,12,0.00015103020950846258,1.7788418360062454e-05,0.9861750025302172,0.007693321499585378,interior
32,1024,random_uniform,0.003,0.15,0.004,8,0.00022279229096966446,2.5593909766445982e-05,0.9908947944641113,0.00509965124384063,interior
32,1024,random_uniform,0.003,0.3,0.0025,5,0.00043138811270182487,4.363560779821945e-05,0.995499337092042,0.0024224952164529088,interior
32,1024,random_uniform,0.003,0.5,0.0015,3,0.0006846751002740348,6.972707869726301e-05,0.9972490835934877,0.001436482690240227,lower_bound
32,1024,random_uniform,0.01,0.05,0.009,18,0.00013935334027337376,1.3439490873356654e-05,0.9645271152257919,0.013310139151332875,interior
32,1024,random_uniform,0.01,0.1,0.004,8,0.0002712996943046164,2.6235010540695133e-05,0.9827976915985346,0.006466455752238943,interior
32,1024,random_uniform,0.01,0.15,0.0025,5,0.00039592921166331507,4.211251891512515e-05,0.9888367895036936,0.004091272187317805,interior
32,1024,random_uniform,0.01,0.3,0.0015,3,0.0007535930326412199,6.51217354024736e-05,0.9945031329989433,0.0019547963530320614,lower_bound
32,1024,random_uniform,0.01,0.5,0.0015,3,0.0014647905736637767,8.075921120376127e-05,0.9958069156855345,0.0013600350474490674,lower_bound
32,1024,random_uniform,0.03,0.05,0.004,8,0.00023385287931887433,2.5222342696849454e-05,0.9476215522736311,0.012499968868112195,interior
32,1024,random_uniform,0.03,0.1,0.0025,5,0.000456085577752674,4.209867976975321e-05,0.9746278561651707,0.005567873277162956,interior
32,1024,random_uniform,0.03,0.15,0.0015,3,0.0006535573320434196,6.386120867652856e-05,0.9838404878973961,0.0035844452208893124,lower_bound
32,1024,random_uniform,0.03,0.3,0.0015,3,0.001555043796543032,7.86447679439252e-05,0.9901068992912769,0.0019221814732262317,lower_bound
32,1024,random_uniform,0.03,0.5,0.0015,3,0.003699587621667888,0.00017844160699877218,0.990830423310399,0.0017091674886695154,lower_bound
32,1024,random_uniform,0.1,0.05,0.0025,5,0.0004140967721468769,4.1344392530886934e-05,0.912998178973794,0.011497619189976513,interior
32,1024,random_uniform,0.1,0.1,0.0015,3,0.0007954580923978938,6.422249326720826e-05,0.9584423657506704,0.00499334854759948,lower_bound
32,1024,random_uniform,0.1,0.15,0.0015,3,0.0013487385585904121,7.210846850603178e-05,0.968606423586607,0.0031553655841367926,lower_bound
32,1024,random_uniform,0.1,0.3,0.0015,3,0.004347843918367289,0.000198329733308917,0.9740850497037172,0.002399778736223845,lower_bound
32,1024,random_uniform,0.1,0.5,0.0015,3,0.011530801624758169,0.0006740497877452552,0.9732335899025202,0.0027695662039230904,lower_bound
32,1024,random_uniform,0.3,0.05,0.0015,3,0.0006776810969313374,6.3922391845975e-05,0.859505120664835,0.013825264695389222,lower_bound
32,1024,random_uniform,0.3,0.1,0.0015,3,0.0016512791225977708,7.89373996226453e-05,0.9131675120443106,0.00562755202919371,lower_bound
32,1024,random_uniform,0.3,0.15,0.0015,3,0.0032773291241028346,0.00013829916982677698,0.9237277768552303,0.004415326610765392,lower_bound
32,1024,random_uniform,0.3,0.3,0.0015,3,0.012147760367952287,0.0006071128639425271,0.927255691960454,0.004406835296477565,lower_bound
32,1024,random_uniform,0.3,0.5,0.0015,3,0.03368148289155215,0.002301463806640903,0.9207155629992485,0.005427023586887643,lower_bound
32,1024,random_uniform,1.0,0.05,0.0015,3,0.0012732113609672524,7.170721535112484e-05,0.7090248037129641,0.017272845208003117,lower_bound
32,1024,random_uniform,1.0,0.1,0.0015,3,0.004030736185086425,0.00017507643526019537,0.7718399669975042,0.010687137713296458,lower_bound
32,1024,random_uniform,1.0,0.15,0.0015,3,0.008625762624433264,0.0003920324159187176,0.7837862465530634,0.010206388610314043,lower_bound
32,1024,random_uniform,1.0,0.3,0.0015,3,0.03339413594221696,0.0016761848530105418,0.7828256729990244,0.010702210992876956,lower_bound
32,1024,random_uniform,1.0,0.5,0.0015,3,0.09080482181161642,0.005186700205486125,0.7656431570649147,0.01198310323081567,lower_bound
32,1024,random_uniform,3.0,0.05,0.0015,3,0.0018961855930683669,9.394275560239172e-05,0.5232626050710678,0.021126065577792105,lower_bound
32,1024,random_uniform,3.0,0.1,0.0015,3,0.006507851561764255,0.0003142006198258447,0.5890468098223209,0.017815557629796988,lower_bound
32,1024,random_uniform,3.0,0.15,0.0015,3,0.01414223582833074,0.0007006072637666339,0.6028794310986996,0.017817478355412683,lower_bound
32,1024,random_uniform,3.0,0.3,0.0015,3,0.054277902585454285,0.0026850225313151533,0.6055167689919472,0.017522709412961236,lower_bound
32,1024,random_uniform,3.0,0.5,0.0015,3,0.14155854051932693,0.0070895456325809495,0.5967955347150564,0.016344437151325605,lower_bound
32,1024,srht_paired,0.0003,0.05,0.013,27,1.3558743518160554e-05,5.931989984713941e-06,0.973199525848031,0.01996382979267613,interior
32,1024,srht_paired,0.0003,0.1,0.009,18,2.2533182800543727e-05,5.134973661169396e-06,0.9886511638760567,0.007340770834861121,interior
32,1024,srht_paired,0.0003,0.15,0.009,18,3.4463615179447515e-05,5.263829253266521e-06,0.9922365173697472,0.004917375140699743,interior
32,1024,srht_paired,0.0003,0.3,0.006,12,8.053576107158733e-05,6.279658023545399e-06,0.995416060090065,0.002898098564605514,interior
32,1024,srht_paired,0.0003,0.5,0.004,8,0.0001532204069008003,1.1062927205984497e-05,0.9968255255371332,0.0019966964603934205,interior
32,1024,srht_paired,0.001,0.05,0.009,18,2.096715149946249e-05,5.164193423216051e-06,0.984957430511713,0.009944244832616673,interior
