method,threshold,target_free_threshold,cnr,psnr,ssim,min,max,mean,note,foreground_fraction,target_foreground_fraction,iou,false_positive_pixels,false_negative_pixels
raw_best_final,,True,9.364781379699707,7.604989528656006,0.17761968076229095,0.19731120765209198,0.7772225141525269,0.48401594161987305,Continuous URED output.,,0.21270751953125,,,
minmax_best_final,,True,9.364781379699707,8.477119445800781,0.27434489130973816,0.0,1.0,0.49439406394958496,Linear display scaling only.,,0.21270751953125,,,
raw_otsu_binary,0.5495619773864746,True,15.288484573364258,25.423221588134766,0.987058162689209,0.0,1.0,0.211669921875,Otsu threshold from reconstruction histogram only.,0.211669921875,0.21270751953125,0.9865714285714285,15,32
minmax_otsu_binary,0.607421875,True,15.288484573364258,25.423221588134766,0.987058162689209,0.0,1.0,0.211669921875,Otsu threshold after min-max scaling; same mask as raw Otsu.,0.211669921875,0.21270751953125,0.9865714285714285,15,32
raw_mean_binary,0.48401594161987305,True,10.001019477844238,17.61101531982422,0.9285544157028198,0.0,1.0,0.22894287109375,Simple target-free mean threshold.,0.22894287109375,0.21270751953125,0.924468085106383,275,9
raw_mean_plus_std_binary,0.5802592039108276,True,14.121397018432617,24.435680389404297,0.985699474811554,0.0,1.0,0.2093505859375,Simple target-free mean plus one standard deviation threshold.,0.2093505859375,0.21270751953125,0.9830800114711786,2,57
target_fraction_upper_bound,0.5396404586135759,False,16.46921730041504,25.709671020507812,0.9869329929351807,0.0,1.0,0.21270751953125,Upper bound using the true target foreground fraction; not deployable.,0.21270751953125,0.21270751953125,0.9874536641003707,22,22
