epoch,train_mse,val_mse
1.0,0.0770610076142475,0.07157794386148453
2.0,0.08358548954129219,0.07153022289276123
3.0,0.08326027449220419,0.07155466079711914
4.0,0.08179372735321522,0.07083812355995178
5.0,0.0797391808591783,0.0703655257821083
6.0,0.08021866157650948,0.07085111737251282
7.0,0.07557183504104614,0.0681920051574707
8.0,0.0710033904761076,0.06632505357265472
9.0,0.07187477499246597,0.06465231627225876
10.0,0.0664640637114644,0.06679868698120117
11.0,0.0618031769990921,0.05606155842542648
12.0,0.058023819234222174,0.05323498323559761
13.0,0.05340340780094266,0.04999407008290291
14.0,0.049364917911589146,0.045910079032182693
15.0,0.040555243380367756,0.03541367128491402
16.0,0.032071563648059964,0.03054465353488922
17.0,0.027245224569924176,0.02434912510216236
18.0,0.027657858561724424,0.02335735782980919
19.0,0.0282248561270535,0.02742026001214981
20.0,0.024489401606842875,0.02136852964758873
