method,photon_budget,lambda_bar,gain_rel_mse_mean,gain_rel_mse_std,zero_fraction_mean,fisher_reference
anscombe,0.25,0.250001460313797,0.005771807610072416,,0.77978515625,0.06249963492368325
anscombe,0.25,0.250002384185791,0.0062635429593940126,,0.7802734375,0.06249940395923653
anscombe,0.5,0.500002920627594,0.011611483418243782,,0.6015625,0.031249817461841627
anscombe,0.5,0.500004768371582,0.01093764611666511,,0.60693359375,0.031249701979618266
anscombe,1.0,1.000005841255188,0.010377362466765057,,0.349609375,0.015624908730920813
anscombe,1.0,1.000009536743164,0.008686852081939471,,0.35302734375,0.015624850989809133
anscombe,2.0,2.000011682510376,0.008233103250448019,,0.14794921875,0.007812454365460407
anscombe,2.0,2.000019073486328,0.01156584545115396,,0.15576171875,0.0078124254949045666
anscombe,4.0,4.000023365020752,0.003845358783771989,,0.02685546875,0.0039062271827302033
anscombe,4.0,4.000038146972656,0.004847680264417815,,0.03076171875,0.0039062127474522833
anscombe,8.0,8.000046730041504,0.0019196439932888914,,0.00048828125,0.0019531135913651017
anscombe,8.0,8.000076293945312,0.002475468069064392,,0.0009765625,0.0019531063737261416
anscombe,16.0,16.000093460083008,0.0011911431086188058,,0.0,0.0009765567956825508
anscombe,16.0,16.000152587890625,0.0014012565575995562,,0.0,0.0009765531868630708
anscombe,32.0,32.000186920166016,0.0005084894368034738,,0.0,0.0004882783978412754
anscombe,32.0,32.00030517578125,0.0007812386645259764,,0.0,0.0004882765934315354
anscombe,64.0,64.00037384033203,0.000428874803423514,,0.0,0.0002441391989206377
anscombe,64.0,64.0006103515625,0.00046669669484049493,,0.0,0.0002441382967157677
anscombe,128.0,128.00074768066406,0.00023519749157130594,,0.0,0.00012206959946031885
anscombe,128.0,128.001220703125,0.00033177565980636447,,0.0,0.00012206914835788385
naive_log,0.25,0.250001460313797,0.11956959643779165,,0.77978515625,0.06249963492368325
naive_log,0.25,0.250002384185791,0.12149408870088482,,0.7802734375,0.06249940395923653
naive_log,0.5,0.500002920627594,0.41036687610920347,,0.6015625,0.031249817461841627
naive_log,0.5,0.500004768371582,0.32937586614196324,,0.60693359375,0.031249701979618266
naive_log,1.0,1.000005841255188,0.17062447171624745,,0.349609375,0.015624908730920813
naive_log,1.0,1.000009536743164,0.20199960793120822,,0.35302734375,0.015624850989809133
naive_log,2.0,2.000011682510376,0.08235839955874255,,0.14794921875,0.007812454365460407
naive_log,2.0,2.000019073486328,0.12046477530108866,,0.15576171875,0.0078124254949045666
naive_log,4.0,4.000023365020752,0.0301967085025611,,0.02685546875,0.0039062271827302033
naive_log,4.0,4.000038146972656,0.03638712546234241,,0.03076171875,0.0039062127474522833
naive_log,8.0,8.000046730041504,0.003034135684299775,,0.00048828125,0.0019531135913651017
naive_log,8.0,8.000076293945312,0.004517982862727067,,0.0009765625,0.0019531063737261416
naive_log,16.0,16.000093460083008,0.0012957980756415225,,0.0,0.0009765567956825508
naive_log,16.0,16.000152587890625,0.001515544037452981,,0.0,0.0009765531868630708
naive_log,32.0,32.000186920166016,0.0005211405679890647,,0.0,0.0004882783978412754
naive_log,32.0,32.00030517578125,0.0008132851012545086,,0.0,0.0004882765934315354
naive_log,64.0,64.00037384033203,0.00043154283310980877,,0.0,0.0002441391989206377
naive_log,64.0,64.0006103515625,0.00047741278738789195,,0.0,0.0002441382967157677
naive_log,128.0,128.00074768066406,0.00023733462557030727,,0.0,0.00012206959946031885
naive_log,128.0,128.001220703125,0.00033277392016233133,,0.0,0.00012206914835788385
soft_log,0.25,0.250001460313797,0.0034411583446718507,,0.77978515625,0.06249963492368325
soft_log,0.25,0.250002384185791,0.0035655077053532514,,0.7802734375,0.06249940395923653
soft_log,0.5,0.500002920627594,0.008419229256108345,,0.6015625,0.031249817461841627
soft_log,0.5,0.500004768371582,0.007944859291739728,,0.60693359375,0.031249701979618266
soft_log,1.0,1.000005841255188,0.00860832906535471,,0.349609375,0.015624908730920813
soft_log,1.0,1.000009536743164,0.007604685493408891,,0.35302734375,0.015624850989809133
soft_log,2.0,2.000011682510376,0.008246925484829186,,0.14794921875,0.007812454365460407
soft_log,2.0,2.000019073486328,0.011989187029203431,,0.15576171875,0.0078124254949045666
soft_log,4.0,4.000023365020752,0.0050262282409269015,,0.02685546875,0.0039062271827302033
soft_log,4.0,4.000038146972656,0.00587220559008509,,0.03076171875,0.0039062127474522833
soft_log,8.0,8.000046730041504,0.0020491519902888547,,0.00048828125,0.0019531135913651017
soft_log,8.0,8.000076293945312,0.0027660204000328524,,0.0009765625,0.0019531063737261416
soft_log,16.0,16.000093460083008,0.001240178070496496,,0.0,0.0009765567956825508
soft_log,16.0,16.000152587890625,0.0014431485322514675,,0.0,0.0009765531868630708
soft_log,32.0,32.000186920166016,0.0005115198470548846,,0.0,0.0004882783978412754
soft_log,32.0,32.00030517578125,0.000792121570547066,,0.0,0.0004882765934315354
soft_log,64.0,64.00037384033203,0.00042689217955797223,,0.0,0.0002441391989206377
soft_log,64.0,64.0006103515625,0.0004688813570307502,,0.0,0.0002441382967157677
soft_log,128.0,128.00074768066406,0.000236003898029487,,0.0,0.00012206959946031885
soft_log,128.0,128.001220703125,0.00033056169067109757,,0.0,0.00012206914835788385
