sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-2.4468205764248694,-23.48768057003112,7
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-1.7328275704491265,-23.422050594663027,7
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.9592000682580295,-18.553758378906537,7
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.193310750373504,-2.916066798510684,7
0.1,reference_k32,srht_paired,hadamard_paired,0.3,observed,0.08707362149954712,-0.12106876465260541,7
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-2.3302950695858087,-23.837837789258884,7
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-1.5052973062712063,-23.897788687258412,7
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.9670815568012952,-19.08605590106521,7
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.2276533795902953,-3.008192025385398,7
0.1,reference_k8,srht_paired,hadamard_paired,0.1,observed,0.12215773931317209,-0.03217034254286233,7
0.1,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-2.1705032482422784,-21.676829845745317,7
0.1,scgi_frozen,random_binary,hadamard_paired,,not_reached,-1.287864850603679,-20.51586379044938,7
0.1,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.9748729678886932,-14.044406632244787,7
0.1,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.40731017206155684,-2.3279740140884897,7
0.1,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.2402698056415602,-0.12124288802526806,7
0.1,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-2.1835221456849805,-23.34951749570837,7
0.1,scgi_proxy,random_binary,hadamard_paired,,not_reached,-1.328235262653772,-23.230302545060322,7
0.1,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.1274486783065552,-17.262484425839553,7
0.1,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.2051084499466214,-2.796955718551793,7
0.1,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.11857695496637,-0.12244705047660887,7
0.15,agc,random_uniform,hadamard_paired,,not_reached,-0.8531168612222153,-10.222977206993761,7
0.15,agc,random_binary,hadamard_paired,,not_reached,-0.32707546486538064,-9.693984972065188,7
0.15,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.5408508837958532,-2.884767323391813,7
0.15,agc,dct_paired,hadamard_paired,,not_reached,-0.61527712690385,-2.291509124281969,7
0.15,agc,srht_paired,hadamard_paired,0.001,left_censored,10.079373980663,0.421790340799749,7
0.15,none,random_uniform,hadamard_paired,,not_reached,-1.153826226482325,-19.03655784221528,7
0.15,none,random_binary,hadamard_paired,,not_reached,-0.6081144461718946,-17.93039353013034,7
0.15,none,fourier_fourstep,hadamard_paired,,not_reached,-0.5146705671777116,-10.496723505281839,7
0.15,none,dct_paired,hadamard_paired,,not_reached,-0.41465783762133057,-2.1164756121173163,7
0.15,none,srht_paired,hadamard_paired,0.03,observed,0.12633136108393295,-0.1492691450617194,7
0.15,pairwise,dct_paired,hadamard_paired,,not_reached,-0.7094851163634264,-3.000764860572822,7
0.15,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.09972002091119059,0.017457477894843976,7
0.15,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.4243101099082462,-22.769453893510054,7
0.15,reference_k2,random_binary,hadamard_paired,,not_reached,-0.4697102343338795,-22.86216311574711,7
0.15,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.37488301711359107,-18.052546162118105,7
0.15,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.0002095059291634,-3.0059226475141045,7
0.15,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.07966642726332651,0.016140259471384866,7
0.15,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.291503840250213,-20.277155869218774,7
0.15,reference_k32,random_binary,hadamard_paired,,not_reached,-0.8913571836553338,-20.02932340113246,7
0.15,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.49621577593009825,-15.16881989393524,7
0.15,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.6631239930964039,-2.904727208285294,7
0.15,reference_k32,srht_paired,hadamard_paired,0.3,observed,0.08660896169280896,-0.11723944161924749,7
0.15,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.230721566497662,-20.408912637076966,7
0.15,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7368276115961816,-20.411447835467634,7
0.15,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.5103054426423927,-15.671737668046795,7
0.15,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.6906481164677416,-3.0010039974409253,7
0.15,reference_k8,srht_paired,hadamard_paired,0.03,observed,0.12008733494385737,-0.028717135422944295,7
0.15,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-1.1533498300864693,-18.937340979870534,7
