object,family,K_eff,treatment,cnr_mean,cnr_std,psnr_mean,psnr_std
letter_A,binary_letter,101.21359062702473,blind_agc,3.699459171295166,0.013021567607777519,13.712352752685547,0.020903443837174494
letter_A,binary_letter,101.21359062702473,metered_noisy,3.7002717018127442,0.037738507918588494,13.571535110473633,0.045138674109074135
letter_A,binary_letter,101.21359062702473,no_correction,2.966432571411133,0.35507835651486375,11.053154945373535,1.1659718658783236
letter_A,binary_letter,101.21359062702473,oracle,3.734581136703491,1.3058723391239046e-07,13.677341842651368,8.529922398527058e-07
letter_A,binary_letter,101.21359062702473,static_reference,3.734581232070923,0.0,13.67734146118164,0.0
letter_L,binary_letter,59.80235255589372,blind_agc,5.3991645812988285,0.012602102188380869,16.00406379699707,0.03244481782595089
letter_L,binary_letter,59.80235255589372,metered_noisy,5.490442848205566,0.04341210521802105,15.843517303466797,0.06362971398792348
letter_L,binary_letter,59.80235255589372,no_correction,4.590317058563232,0.4797395862606041,14.065677452087403,0.8567042745001509
letter_L,binary_letter,59.80235255589372,oracle,5.536261367797851,4.2649611998841626e-07,15.934247398376465,5.223489356495618e-07
letter_L,binary_letter,59.80235255589372,static_reference,5.536261558532715,0.0,15.934247016906738,0.0
ring,ring,220.0,blind_agc,3.006088972091675,0.02312109389468963,9.826619529724121,0.07169107843836615
ring,ring,220.0,metered_noisy,3.0150506496429443,0.016014656848037302,9.634795188903809,0.1192675742848885
ring,ring,220.0,no_correction,1.7869090557098388,0.33645464024039207,4.99271559715271,1.5639315459338674
ring,ring,220.0,oracle,3.1184932708740236,1.0662402995055655e-07,9.934486389160156,0.0
ring,ring,220.0,static_reference,3.1184935569763184,0.0,9.934486389160156,0.0
stripe,stripe,512.0,blind_agc,1.8769193172454834,0.03448528214233223,6.131881046295166,0.14372707918331357
stripe,stripe,512.0,metered_noisy,1.862509536743164,0.036422742945504426,5.818068408966065,0.16839638242319374
stripe,stripe,512.0,no_correction,0.8188938140869141,0.17719545538800485,-1.3446351647377015,1.9589438368605592
stripe,stripe,512.0,oracle,2.024100828170776,1.9947529467752076e-07,6.552498054504395,2.611744678247809e-07
stripe,stripe,512.0,static_reference,2.0241007804870605,0.0,6.552497863769531,0.0
