object,family,K_eff,treatment,seed,agc_window,cnr,psnr
letter_A,binary_letter,101.21359062702473,oracle,0,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,metered_noisy,0,32,3.6538589000701904,13.527141571044922
letter_A,binary_letter,101.21359062702473,blind_agc,0,32,3.694166898727417,13.737384796142578
letter_A,binary_letter,101.21359062702473,no_correction,0,32,3.0569398403167725,11.387228965759277
letter_A,binary_letter,101.21359062702473,static_reference,0,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,oracle,1,32,3.7345809936523438,13.677343368530273
letter_A,binary_letter,101.21359062702473,metered_noisy,1,32,3.737203598022461,13.580501556396484
letter_A,binary_letter,101.21359062702473,blind_agc,1,32,3.701061725616455,13.728448867797852
letter_A,binary_letter,101.21359062702473,no_correction,1,32,3.306450128555298,12.374810218811035
letter_A,binary_letter,101.21359062702473,static_reference,1,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,oracle,2,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,metered_noisy,2,32,3.6658427715301514,13.523870468139648
letter_A,binary_letter,101.21359062702473,blind_agc,2,32,3.6999359130859375,13.684541702270508
letter_A,binary_letter,101.21359062702473,no_correction,2,32,2.439969539642334,9.326902389526367
letter_A,binary_letter,101.21359062702473,static_reference,2,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,oracle,3,32,3.7345809936523438,13.67734146118164
letter_A,binary_letter,101.21359062702473,metered_noisy,3,32,3.718400478363037,13.59939193725586
letter_A,binary_letter,101.21359062702473,blind_agc,3,32,3.7189860343933105,13.70567798614502
letter_A,binary_letter,101.21359062702473,no_correction,3,32,3.2366106510162354,11.634836196899414
letter_A,binary_letter,101.21359062702473,static_reference,3,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,oracle,4,32,3.734581232070923,13.67734146118164
letter_A,binary_letter,101.21359062702473,metered_noisy,4,32,3.726052761077881,13.62677001953125
letter_A,binary_letter,101.21359062702473,blind_agc,4,32,3.68314528465271,13.705710411071777
letter_A,binary_letter,101.21359062702473,no_correction,4,32,2.7921926975250244,10.541996955871582
letter_A,binary_letter,101.21359062702473,static_reference,4,32,3.734581232070923,13.67734146118164
letter_L,binary_letter,59.80235255589372,oracle,0,32,5.536261081695557,15.934247016906738
letter_L,binary_letter,59.80235255589372,metered_noisy,0,32,5.492778778076172,15.874189376831055
letter_L,binary_letter,59.80235255589372,blind_agc,0,32,5.393467426300049,15.994319915771484
letter_L,binary_letter,59.80235255589372,no_correction,0,32,4.741781234741211,14.388006210327148
letter_L,binary_letter,59.80235255589372,static_reference,0,32,5.536261558532715,15.934247016906738
