object,family,K_eff,basis,requested_basis,num_frames,window,carrier_mean,carrier_cv,adjacent_window_ks_d_mean,adjacent_window_ks_p_median,levene_p,ks_absdev_p,local_std_envelope_cv,running_mean_cv,running_mean_cv_incl_transient
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,2048,64,40.1905632019043,0.05762071534991264,0.06752232142857142,0.7357588823428847,0.4867581511207858,0.5523812727345379,0.03873181844091308,0.007424458861351013,0.007297680247575045
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,2048,64,67.53927612304688,0.04795040190219879,0.05747767857142857,0.9300863762681126,0.5141671108662809,0.5523812727345379,0.037371662898721646,0.00532996840775013,0.0054221320897340775
digit_2,synthetic_digit,210.00167616690024,random_uniform,random_uniform,2048,64,102.87250518798828,0.039791807532310486,0.08705357142857142,0.2532801553643755,0.5086827499266858,0.5523812727345379,0.0409179010139186,0.004752269480377436,0.004857232328504324
digit_3,synthetic_digit,135.81257584160795,random_uniform,random_uniform,2048,64,65.70948791503906,0.049510929733514786,0.08203125,0.4882102774911077,0.18761598094350243,0.3013522815409377,0.04772359897676284,0.006810993421822786,0.007095970679074526
digit_4,synthetic_digit,107.61184657281635,random_uniform,random_uniform,2048,64,42.96030807495117,0.054555442184209824,0.07868303571428571,0.35718226922487123,0.7539407590001195,0.3013522815409377,0.03222509755195151,0.005995452869683504,0.006693597417324781
letter_A,binary_letter,101.21359062702473,random_uniform,random_uniform,2048,64,44.59601593017578,0.05669568479061127,0.07979910714285714,0.4192227743021956,0.07899241432203834,0.6259619399099061,0.05422291300509708,0.006343873683363199,0.006422672886401415
letter_L,binary_letter,59.80235255589372,random_uniform,random_uniform,2048,64,27.741893768310547,0.07444398105144501,0.07142857142857142,0.5641259033876309,0.05375752270656786,0.25309913262062794,0.06862881931043753,0.010164552368223667,0.010343051515519619
stripe,stripe,512.0,random_uniform,random_uniform,2048,64,255.73599243164062,0.025432942435145378,0.06584821428571429,0.7357588823428847,0.4326027916105962,0.5523812727345379,0.03737114236913686,0.0029405243694782257,0.0030851121991872787
ring,ring,220.0,random_uniform,random_uniform,2048,64,109.9689712524414,0.038876403123140335,0.06696428571428571,0.8304736573636826,0.959632743056663,0.8970067986441256,0.029437039744640202,0.005610540509223938,0.005760509055107832
natural_patch,procedural_natural,864.2560692486833,random_uniform,random_uniform,2048,64,209.14566040039062,0.02003413811326027,0.07589285714285714,0.35718226922487123,0.9681505327816513,0.8970067986441256,0.02252565124801677,0.0023556977976113558,0.0024963037576526403
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,2048,64,40.11618423461914,0.10192890465259552,0.06584821428571429,0.7357588823428847,0.48507515506720267,0.41602853123497785,0.03816146153917233,0.014433815144002438,0.014866705052554607
digit_1,synthetic_digit,139.48966292397157,random_binary,random_binary,2048,64,67.65369415283203,0.08369830250740051,0.09654017857142858,0.21079844912372867,0.36133966987462923,0.3013522815409377,0.04702103366169969,0.012737833894789219,0.012833989225327969
digit_2,synthetic_digit,210.00167616690024,random_binary,random_binary,2048,64,103.08260345458984,0.06924863904714584,0.07589285714285714,0.4192227743021956,0.1909108982329779,0.48189738517204367,0.055154233233804646,0.01200096495449543,0.012459135614335537
digit_3,synthetic_digit,135.81257584160795,random_binary,random_binary,2048,64,65.8096923828125,0.0847066193819046,0.08203125,0.4192227743021956,0.16888167501992515,0.41602853123497785,0.049351672494386094,0.008334710262715816,0.008460985496640205
digit_4,synthetic_digit,107.61184657281635,random_binary,random_binary,2048,64,43.10421371459961,0.094676673412323,0.07756696428571429,0.4192227743021956,0.4884288693374542,0.5523812727345379,0.03832902047902306,0.013805187307298183,0.013549239374697208
letter_A,binary_letter,101.21359062702473,random_binary,random_binary,2048,64,44.48772430419922,0.10059482604265213,0.08705357142857142,0.35718226922487123,0.12818138891119202,0.6259619399099061,0.05508400205917013,0.013370145112276077,0.01412374246865511
