config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,source_file
cfg0013,2,13,20240709,stripe_target,scgi_ured,300,0.001,0.05,0.5,0.25,24,3,0.3,avg_pool,3,0.08,2.1826696395874023,7.135715961456299,0.0645691901445388,0.0046857297420501,0.9740339702575446,2.765028953552246,0.0002877255901694,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard3of5\ured_sweep_metrics.csv
cfg0014,2,14,20240709,stripe_target,scgi_ured,300,0.001,0.05,0.5,0.5,24,3,0.1,avg_pool,3,0.08,2.522180557250977,7.226002693176269,0.098154604434967,0.0046857297420501,0.9740339702575446,2.6602299213409424,0.0002126463223248,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard4of5\ured_sweep_metrics.csv
cfg0015,3,15,20240709,stripe_target,scgi_ured,300,0.001,0.05,0.5,0.5,24,3,0.3,avg_pool,3,0.08,2.3675014972686768,7.269346237182617,0.0445269756019115,0.0046811699867248,0.975398130512143,2.6862218379974365,0.0002056135999737,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard0of5\artifacts\ured_sweep_metrics.csv
cfg0016,3,16,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.25,0.25,24,3,0.1,avg_pool,3,0.08,1.9393175840377808,6.936425685882568,0.0655329376459121,0.0046811699867248,0.975398130512143,3.0968003273010254,0.0005589426727965,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard1of5\artifacts\ured_sweep_metrics.csv
cfg0017,3,17,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.25,0.25,24,3,0.3,avg_pool,3,0.08,1.7855709791183472,7.21622371673584,0.0357568897306919,0.0046857297420501,0.9740339702575446,3.549769163131714,0.0008372069569304,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard2of5\ured_sweep_metrics.csv
cfg0018,3,18,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.25,0.5,24,3,0.1,avg_pool,3,0.08,2.795684337615967,7.15925407409668,0.0843197479844093,0.0046857297420501,0.9740339702575446,3.052747964859009,0.0002962558064609,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard3of5\ured_sweep_metrics.csv
cfg0019,3,19,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.25,0.5,24,3,0.3,avg_pool,3,0.08,2.4495229721069336,7.204977035522461,0.0384215712547302,0.0046857297420501,0.9740339702575446,3.1447458267211914,0.0002469089522492,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard4of5\ured_sweep_metrics.csv
cfg0020,4,20,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.5,0.25,24,3,0.1,avg_pool,3,0.08,2.3910672664642334,7.192899703979492,0.0877748355269432,0.0046811699867248,0.975398130512143,2.8569130897521973,0.0003005104663316,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard0of5\artifacts\ured_sweep_metrics.csv
cfg0021,4,21,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.5,0.25,24,3,0.3,avg_pool,3,0.08,2.678105115890503,7.196247577667236,0.0568307749927043,0.0046811699867248,0.975398130512143,2.9354305267333984,0.000277370942058,E:\GAN_FCC_WORK\scgi-repro\results\colab_imports\pro1_stage4_ured_sweep_r2_stripe_shard1of5\artifacts\ured_sweep_metrics.csv
cfg0022,4,22,20240709,stripe_target,scgi_ured,300,0.001,0.1,0.5,0.5,24,3,0.1,avg_pool,3,0.08,2.647597074508667,7.194642543792725,0.0921235084533691,0.0046857297420501,0.9740339702575446,2.824251890182495,0.000229940720601,E:\GAN_FCC_WORK\scgi-repro\results\stage4_ured_sweep_r2_stripe_shard2of5\ured_sweep_metrics.csv
