basis,fit,slope,intercept,r2,points
dct_paired,log_rel_mse_vs_log_sigma_delta,0.9335562245621946,0.7276118824307054,0.912899904481996,4
fourier_fourstep,log_rel_mse_vs_log_sigma_delta,0.7491313849393872,0.5148293929638674,0.9792351978593119,4
hadamard_paired,log_rel_mse_vs_log_sigma_delta,1.1816197826246564,0.8681304010194091,0.9460851453230038,4
random_binary,log_rel_mse_vs_log_sigma_delta,0.39468878331737334,0.20612739729510127,0.9886544670283716,4
random_gaussian,log_rel_mse_vs_log_sigma_delta,0.010348915532486283,-0.4647841089759187,0.7626471990842674,4
random_uniform,log_rel_mse_vs_log_sigma_delta,0.3822221733230279,0.271125658042656,0.9726163720090034,4
srht_paired,log_rel_mse_vs_log_sigma_delta,1.1790593877417437,0.865407026955078,0.9462216338025173,4
