experiment,basis,correction,channel,rho,sigma_a,window_frac,agc_window,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,0,2048,1024,0.0311987175192898,0.3690160488150007,15.058632580887096,0.617998728815731,0.00040242692921310663,0.98558509349823,1.0000741481781006
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,1,2048,1024,0.030518487397208104,0.3826544341023816,15.154369953346231,0.6418543501490436,0.00039759272476658225,0.9857471585273743,1.0000276565551758
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,2,2048,1024,0.029442563511970613,0.41665526013439785,15.310243794352738,0.6422685993398327,0.00040521592018194497,0.9854782819747925,1.0000571012496948
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,3,2048,1024,0.039075376023903256,0.41446939336477195,14.080968340555318,0.6327973966709017,0.0004107873828615993,0.9852824211120605,1.0000724792480469
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,4,2048,1024,0.013135912379288172,0.3711285248732439,18.815397570972408,0.6200430529196358,0.00042794167529791594,0.9847028255462646,1.0001425743103027
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,5,2048,1024,0.047486195594900825,0.4110492851506147,13.234326229706214,0.6167928100305813,0.0003916120622307062,0.9859884977340698,1.0001018047332764
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,6,2048,1024,0.0535011450819394,0.4019173666994374,12.716369226994127,0.6166951105446135,0.00038932065945118666,0.9861395359039307,1.000188946723938
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,7,2048,1024,0.05478201480112152,0.42681799715113894,12.61361999082457,0.594586531081228,0.00038654747186228633,0.9861443638801575,1.0000131130218506
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,8,2048,1024,0.04439660939477619,0.39189253023410253,13.526501960422813,0.613259852133036,0.00038199449772946537,0.9863245487213135,1.0000786781311035
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,0,9,2048,1024,0.03192685602045791,0.4017541410154243,14.958438462646042,0.5955207686318099,0.00038877836777828634,0.9862112998962402,1.0002342462539673
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,0,2048,1024,0.029668305145855334,0.35091444810807426,15.277072628111254,0.6432920838591274,0.0003868343774229288,0.9698822498321533,1.0000437498092651
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,1,2048,1024,0.03135344325555248,0.39312348380713413,15.037147577113817,0.6368028187650645,0.00039116613334044814,0.9696846008300781,1.0001128911972046
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,2,2048,1024,0.02917485817927467,0.41286683882426145,15.349912464088348,0.6525105003244699,0.0003855558461509645,0.9699650406837463,1.000022292137146
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,3,2048,1024,0.03931740912986048,0.41703661919361407,14.054151082782887,0.6316656594443054,0.0003922795003745705,0.9694804549217224,1.0000642538070679
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,4,2048,1024,0.013629143348191933,0.3850637641337979,18.655314406323157,0.6275376701582928,0.0004074685857631266,0.968316376209259,1.0000840425491333
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,5,2048,1024,0.04934324645195386,0.42712426057698794,13.067722802660874,0.6226677986074118,0.0003877849958371371,0.9702276587486267,1.0001808404922485
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,6,2048,1024,0.05169457618056005,0.3883458550151278,12.865550208987306,0.630157249895555,0.00038314226549118757,0.970373809337616,1.0001295804977417
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,7,2048,1024,0.05422200089433759,0.4224548130853822,12.658244601724267,0.6063624349064901,0.0003765778965316713,0.9706926941871643,1.0000429153442383
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,8,2048,1024,0.047156100490313296,0.41625078556780276,13.264621154844855,0.6088456352007611,0.00038126608706079423,0.9706907868385315,1.0001702308654785
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,1,9,2048,1024,0.030269996038268084,0.3809049111851844,15.18987635883811,0.6128308006387886,0.00036933424416929483,0.9713398814201355,1.0000865459442139
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,0,2048,1024,0.030728071762906484,0.3634492867420169,15.124646915823394,0.6225936747852645,0.0004175639187451452,0.9783233404159546,1.000185489654541
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,1,2048,1024,0.032189599714358655,0.403607587177041,14.922844238402051,0.6023007701849159,0.0004168596351519227,0.9781792759895325,1.0000619888305664
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,2,2048,1024,0.029897734139768935,0.4230965890714566,15.243617243138079,0.6240616606442625,0.000410719309002161,0.9785583019256592,1.0001140832901
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,3,2048,1024,0.04000632095770268,0.42434385194277313,13.978713851677078,0.6206186341574259,0.0004286983166821301,0.9775353074073792,1.0000309944152832
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,4,2048,1024,0.013413068479842492,0.3789590075826542,18.724718581349034,0.6172076386274441,0.0004290329816285521,0.9775511026382446,1.0000821352005005
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,5,2048,1024,0.048553818140337435,0.4202908232147742,13.137766126750307,0.6122471435420865,0.0004045418172609061,0.9788380265235901,1.0000702142715454
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,6,2048,1024,0.053862982484009794,0.4046356026472992,12.687096026421775,0.6101462696583705,0.00040197980706579983,0.9789567589759827,1.000044822692871
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,7,2048,1024,0.056723028147576335,0.4419408332130304,12.462405924815698,0.567504762891262,0.0004083923122379929,0.9786627888679504,1.0000993013381958
agc_window_sweep,random_uniform,agc,ou,0.01,0.1,0.01,21,2,8,2048,1024,0.046883015625426294,0.41384024295817284,13.28984461252749,0.5916426422194497,0.000399911921704188,0.9790585041046143,1.0000252723693848
