experiment,basis,correction,channel,rho,sigma_delta,seed,object,num_frames,num_pixels,mse,rel_mse,psnr,recon_scale
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,0,2048,1024,0.025759008873478387,0.304675590270799,15.89070851291267,0.6581279507151031
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,1,2048,1024,0.02642256288687106,0.3312979020688681,15.780250597857071,0.6669651172273581
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,2,2048,1024,0.02418061533324958,0.34219101090802356,16.165326516789456,0.6871310953796356
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,3,2048,1024,0.03292237398921003,0.34920499209243416,14.825088559251165,0.6683124488425041
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,4,2048,1024,0.01152291488793953,0.3255565567979739,19.384376459459972,0.6371958887073932
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,5,2048,1024,0.03860570499750615,0.3341781173066736,14.133485122749128,0.6715493607847058
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,6,2048,1024,0.04249071070881373,0.319203533515379,13.717060047463365,0.6698252475912905
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,7,2048,1024,0.0432977035622963,0.33734135523844777,13.635351372879889,0.651620282602216
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,8,2048,1024,0.0365596293875612,0.32271486179749154,14.369982154478592,0.658798185345694
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,0,9,2048,1024,0.025404724661295314,0.31968238048532027,15.950855076510717,0.6560872750656633
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,0,2048,1024,0.025759008873478387,0.304675590270799,15.89070851291267,0.6581279507151031
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,1,2048,1024,0.02642256288687106,0.3312979020688681,15.780250597857071,0.6669651172273581
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,2,2048,1024,0.02418061533324958,0.34219101090802356,16.165326516789456,0.6871310953796356
error_propagation,random_uniform,synthetic_residual_gain,residual,,0.0,1,3,2048,1024,0.03292237398921003,0.34920499209243416,14.825088559251165,0.6683124488425041
