object,family,K_eff,basis,requested_basis,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,4,2048,40.1905632019043,0.05762071534991264,0.025940185137672992,0.0008300367093589146
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,8,2048,40.1905632019043,0.05762071534991264,0.019328562800343684,0.0004150183546794573
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,16,2048,40.1905632019043,0.05762071534991264,0.014786764131383462,0.00020750917733972866
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,32,2048,40.1905632019043,0.05762071534991264,0.012337941338804483,0.00010375458866986433
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,64,2048,40.1905632019043,0.05762071534991264,0.012781325595802471,5.1877294334932164e-05
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,128,2048,40.1905632019043,0.05762071534991264,0.015378735332192953,2.5938647167466082e-05
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,256,2048,40.1905632019043,0.05762071534991264,0.02089440019144637,1.2969323583733041e-05
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,512,2048,40.1905632019043,0.05762071534991264,0.03386150163770277,6.4846617918665206e-06
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,0.001,0.1,0,1024,2048,40.1905632019043,0.05762071534991264,0.04582968765111035,3.2423308959332603e-06
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,4,2048,67.53927612304688,0.04795040190219879,0.02163384551286798,0.0005748102606455974
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,8,2048,67.53927612304688,0.04795040190219879,0.01648728564366121,0.0002874051303227987
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,16,2048,67.53927612304688,0.04795040190219879,0.01292002171347196,0.00014370256516139934
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,32,2048,67.53927612304688,0.04795040190219879,0.010668650113214499,7.185128258069967e-05
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,64,2048,67.53927612304688,0.04795040190219879,0.011647091477768315,3.5925641290349836e-05
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,128,2048,67.53927612304688,0.04795040190219879,0.015105456752799609,1.7962820645174918e-05
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,256,2048,67.53927612304688,0.04795040190219879,0.021090287474350083,8.981410322587459e-06
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,512,2048,67.53927612304688,0.04795040190219879,0.03362568266756772,4.4907051612937295e-06
digit_1,synthetic_digit,139.48966292397157,random_uniform,random_uniform,0.001,0.1,0,1024,2048,67.53927612304688,0.04795040190219879,0.044011060967012024,2.2453525806468647e-06
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,4,2048,39.98847961425781,0.10378516465425491,0.0465265517066959,0.002692840100577701
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,8,2048,39.98847961425781,0.10378516465425491,0.03451852592463846,0.0013464200502888504
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,16,2048,39.98847961425781,0.10378516465425491,0.025087452624739066,0.0006732100251444252
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,32,2048,39.98847961425781,0.10378516465425491,0.01911593015410556,0.0003366050125722126
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,64,2048,39.98847961425781,0.10378516465425491,0.017400891269561534,0.0001683025062861063
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,128,2048,39.98847961425781,0.10378516465425491,0.018070370012798535,8.415125314305315e-05
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,256,2048,39.98847961425781,0.10378516465425491,0.023327063121288398,4.2075626571526576e-05
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,512,2048,39.98847961425781,0.10378516465425491,0.035390739904083306,2.1037813285763288e-05
digit_0,synthetic_digit,97.19698546760661,random_binary,random_binary,0.001,0.1,0,1024,2048,39.98847961425781,0.10378516465425491,0.05018897185405719,1.0518906642881644e-05
digit_1,synthetic_digit,139.48966292397157,random_binary,random_binary,0.001,0.1,0,4,2048,67.6655502319336,0.08538927137851715,0.039209921116195014,0.001822831916638512
digit_1,synthetic_digit,139.48966292397157,random_binary,random_binary,0.001,0.1,0,8,2048,67.6655502319336,0.08538927137851715,0.02912160097719382,0.000911415958319256
