basis,correction,reference_period,rho,sigma_a,seed,object,num_frames,reference_frames,total_physical_frames,num_coefficients,num_pixels,shard,unit_index,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
random_uniform,none,0,3.0,0.05,0,4,2048,0,2048,2048,1024,4/5,4,0.019345190392457814,0.5465590639189369,17.134269916606513,0.4166615543208136,,,
random_uniform,oracle,0,3.0,0.05,0,4,2048,0,2048,2048,1024,4/5,4,0.011522915022021667,0.32555656058619237,19.3843764089249,0.6371958854924146,1.4173141420258453e-14,0.9999999403953552,1.0000001192092896
random_uniform,agc,0,3.0,0.05,0,4,2048,0,2048,2048,1024,4/5,4,0.019413026574213302,0.5484756374572656,17.119067509582436,0.4183455267569838,0.0026639990974217653,0.04952167347073555,0.999972939491272
random_uniform,scgi_proxy,0,3.0,0.05,0,4,2048,0,2048,2048,1024,4/5,4,0.01940448123172334,0.54823420616104,17.120979633960882,0.4182981854243908,0.0026618214324116707,0.051957082003355026,0.9999744892120361
random_uniform,scgi_frozen,0,3.0,0.05,0,4,2048,0,2048,2048,1024,4/5,4,0.03494321296233681,0.9872495116130202,14.566371649609708,1.2312548467214584,,,
random_uniform,reference_k2,2,3.0,0.05,0,4,2048,1025,3073,2048,1024,4/5,4,0.017180604714336856,0.48540309191737013,17.649615541556663,0.46294156261270414,0.0016661571571603417,0.6563149094581604,0.9994217753410339
random_uniform,reference_k8,8,3.0,0.05,0,4,2048,257,2305,2048,1024,4/5,4,0.021339914294961113,0.6029159364444193,16.708073291149322,0.35599740654475975,0.0037745926529169083,0.16286027431488037,0.9985157251358032
random_uniform,reference_k32,32,3.0,0.05,0,4,2048,65,2113,2048,1024,4/5,4,0.022887170452038856,0.6466305166423442,16.40407895967863,0.322569939471223,0.0043358709663152695,0.05113186314702034,0.9981980323791504
random_uniform,none,0,3.0,0.05,0,9,2048,0,2048,2048,1024,4/5,9,0.04772197552947987,0.6005132880644444,13.212815862968899,0.3748410417980305,,,
random_uniform,oracle,0,3.0,0.05,0,9,2048,0,2048,2048,1024,4/5,9,0.025404725699938797,0.31968239355517347,15.950854898954326,0.6560872749020135,1.4173141420258453e-14,0.9999999403953552,1.0000001192092896
random_uniform,agc,0,3.0,0.05,0,9,2048,0,2048,2048,1024,4/5,9,0.04799714093248235,0.6039758538757973,13.187846316708159,0.37500689902243617,0.0026550120674073696,0.05578388646245003,0.9999817609786987
