unit_index,object,family,K_eff,arm,perm,perm_seed,num_frames,chunks,levene_p,levene_reject,walsh_flatness_ratio,walsh_S2,shard
0,digit_0,synthetic_digit,359.91159294611685,ordered,-1,-1,8192,8,0.00013408335099610302,True,0.9992717949517477,273.92274913948097,0/1
1,digit_0,synthetic_digit,359.91159294611685,random,0,20240708,8192,8,0.2952211997509993,False,0.18982793668485776,273.92274913948097,0/1
2,digit_0,synthetic_digit,359.91159294611685,random,1,20240809,8192,8,0.10705490523358639,False,0.18369611237918948,273.92274913948097,0/1
3,digit_0,synthetic_digit,359.91159294611685,random,2,20240910,8192,8,0.18937069322185723,False,0.19751975578390407,273.92274913948097,0/1
4,digit_0,synthetic_digit,359.91159294611685,random,3,20241011,8192,8,0.031210973835268364,False,0.22336545322230963,273.92274913948097,0/1
5,digit_0,synthetic_digit,359.91159294611685,random,4,20241112,8192,8,0.10009823839584811,False,0.21063461826248145,273.92274913948097,0/1
6,digit_0,synthetic_digit,359.91159294611685,random,5,20241213,8192,8,0.036814023368726245,False,0.2287669271801337,273.92274913948097,0/1
7,digit_0,synthetic_digit,359.91159294611685,random,6,20241314,8192,8,0.03369256470539262,False,0.20771345978687877,273.92274913948097,0/1
8,digit_0,synthetic_digit,359.91159294611685,random,7,20241415,8192,8,0.004027414821230861,False,0.21834372287553344,273.92274913948097,0/1
9,digit_0,synthetic_digit,359.91159294611685,random,8,20241516,8192,8,0.004473408029464649,False,0.23965172998872375,273.92274913948097,0/1
10,digit_0,synthetic_digit,359.91159294611685,random,9,20241617,8192,8,0.0014282453781766617,False,0.1851347182165427,273.92274913948097,0/1
11,digit_0,synthetic_digit,359.91159294611685,random,10,20241718,8192,8,0.12266916766767146,False,0.22569248195293687,273.92274913948097,0/1
12,digit_0,synthetic_digit,359.91159294611685,random,11,20241819,8192,8,0.00023919748810957836,True,0.20029286700343152,273.92274913948097,0/1
13,digit_0,synthetic_digit,359.91159294611685,random,12,20241920,8192,8,0.022836384801033904,False,0.22089417431504516,273.92274913948097,0/1
14,digit_0,synthetic_digit,359.91159294611685,random,13,20242021,8192,8,0.8240056015516086,False,0.1887888574228433,273.92274913948097,0/1
