postprocess_method,object,source_config,rule,selected_step,selected_cnr,selected_psnr,selected_ssim,selected_iou,hits_apl_min,peak_step,peak_cnr,regret_to_peak
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,final_step,200,9.794158935546875,25.806392669677734,0.9768904447555542,0.9567567567567568,False,61,24.606287002563477,14.812128067016602
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_loss,3,8.021096229553223,21.925193786621094,0.8467785120010376,0.9180221210149642,False,61,24.606287002563477,16.585190773010254
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_25,25,8.275967597961426,24.160024642944336,0.9467635750770569,0.9409395973154362,False,61,24.606287002563477,16.33031940460205
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_36,36,10.02518367767334,25.70005226135254,0.9761868119239807,0.956844234659474,False,61,24.606287002563477,14.581103324890137
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_40,40,14.576568603515625,22.241180419921875,0.9554383158683777,0.92,True,61,24.606287002563477,10.029718399047852
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_50,50,4.171994209289551,14.629600524902344,0.8410726189613342,0.6932923707117256,False,61,24.606287002563477,20.434292793273926
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_64,64,14.161495208740234,18.01620864868164,0.9049586057662964,0.8325688073394495,True,61,24.606287002563477,10.444791793823242
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_75,75,0.37409543991088867,10.646564483642578,0.7919377088546753,0.06994328922495274,False,61,24.606287002563477,24.232191562652588
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_100,100,0.9860029816627502,10.858295440673828,0.759234607219696,0.2668067226890756,False,61,24.606287002563477,23.620284020900726
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_117,117,17.339508056640625,23.706647872924805,0.9658950567245483,0.940337224383917,True,61,24.606287002563477,7.266778945922852
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_125,125,6.215927600860596,19.289958953857422,0.8961188197135925,0.8587291795188156,False,61,24.606287002563477,18.39035940170288
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_150,150,8.586808204650879,25.110145568847656,0.9742920994758606,0.9473328831870358,False,61,24.606287002563477,16.019478797912598
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_175,175,9.22750473022461,25.95249366760254,0.9771856665611267,0.9533468559837728,False,61,24.606287002563477,15.378782272338867
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,fixed_step_200,200,9.794158935546875,25.806392669677734,0.9768904447555542,0.9567567567567568,False,61,24.606287002563477,14.812128067016602
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_mean,76,0.10511766374111176,10.739946365356445,0.8341368436813354,0.0027548209366391185,False,61,24.606287002563477,24.501169338822365
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_mean,64,14.161495208740234,18.01620864868164,0.9049586057662964,0.8325688073394495,True,61,24.606287002563477,10.444791793823242
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_std,76,0.10511766374111176,10.739946365356445,0.8341368436813354,0.0027548209366391185,False,61,24.606287002563477,24.501169338822365
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_std,1,4.207657814025879,10.761594772338867,0.13059793412685394,0.5062166962699822,False,61,24.606287002563477,20.398629188537598
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_min,100,0.9860029816627502,10.858295440673828,0.759234607219696,0.2668067226890756,False,61,24.606287002563477,23.620284020900726
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_min,89,13.920303344726562,17.860126495361328,0.8591387271881104,0.8278221208665907,True,61,24.606287002563477,10.685983657836914
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_max,101,0.2659054100513458,10.393257141113281,0.7558849453926086,0.05275924802910855,False,61,24.606287002563477,24.34038159251213
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_max,68,11.857001304626465,25.510372161865234,0.9751222729682922,0.9572763684913218,True,61,24.606287002563477,12.749285697937012
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_range,101,0.2659054100513458,10.393257141113281,0.7558849453926086,0.05275924802910855,False,61,24.606287002563477,24.34038159251213
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_range,1,4.207657814025879,10.761594772338867,0.13059793412685394,0.5062166962699822,False,61,24.606287002563477,20.398629188537598
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_tv_l1,76,0.10511766374111176,10.739946365356445,0.8341368436813354,0.0027548209366391185,False,61,24.606287002563477,24.501169338822365
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_tv_l1,1,4.207657814025879,10.761594772338867,0.13059793412685394,0.5062166962699822,False,61,24.606287002563477,20.398629188537598
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,min_proxy_roughness_l2,101,0.2659054100513458,10.393257141113281,0.7558849453926086,0.05275924802910855,False,61,24.606287002563477,24.34038159251213
minmax_otsu_binary,letter_A,nlm_allobjects/cfg0001,max_proxy_roughness_l2,1,4.207657814025879,10.761594772338867,0.13059793412685394,0.5062166962699822,False,61,24.606287002563477,20.398629188537598
