postprocess_method,rule,observations,mean_selected_cnr,min_selected_cnr,all_hit_apl_min,mean_regret_to_peak,max_regret_to_peak,mean_selected_step
minmax_otsu_binary,fixed_step_117,4,23.866270303726196,15.211417198181152,True,11.561651468276978,30.49734115600586,97.0
raw_otsu_binary,fixed_step_117,4,23.866270303726196,15.211417198181152,True,11.561651468276978,30.49734115600586,97.0
minmax_otsu_binary,fixed_step_64,4,24.009933471679688,14.161495208740234,True,11.417988300323486,32.69609451293945,57.25
raw_otsu_binary,fixed_step_64,4,24.009933471679688,14.161495208740234,True,11.417988300323486,32.69609451293945,57.25
raw_mean_plus_std_binary,fixed_step_117,4,22.910283088684082,13.509355545043945,True,20.12241840362549,73.55112075805664,97.0
raw_mean_plus_std_binary,fixed_step_40,4,22.533585786819458,13.509355545043945,True,20.499115705490112,60.46420669555664,39.25
raw_mean_plus_std_binary,fixed_step_64,4,20.06578540802002,13.509355545043945,True,22.96691608428955,77.55438804626465,57.25
minmax_otsu_binary,fixed_step_40,4,28.501668453216553,12.757461547851562,True,6.926253318786621,10.936441421508789,39.25
raw_otsu_binary,fixed_step_40,4,28.501668453216553,12.757461547851562,True,6.926253318786621,10.936441421508789,39.25
raw_mean_plus_std_binary,min_proxy_net_delta_mse,4,11.629183053970337,9.885323524475098,False,31.403518438339233,95.83082962036133,33.25
raw_mean_plus_std_binary,fixed_step_36,4,17.704923629760742,9.526214599609375,False,25.327777862548828,75.4171028137207,36.0
raw_mean_plus_std_binary,final_step,4,16.395825147628784,9.331894874572754,False,26.636876344680786,77.69179725646973,159.25
raw_mean_plus_std_binary,fixed_step_200,4,16.395825147628784,9.331894874572754,False,26.636876344680786,77.69179725646973,159.25
minmax_otsu_binary,final_step,4,17.5082905292511,9.206984519958496,False,17.919631242752075,42.379478454589844,159.25
minmax_otsu_binary,fixed_step_200,4,17.5082905292511,9.206984519958496,False,17.919631242752075,42.379478454589844,159.25
raw_otsu_binary,final_step,4,17.5082905292511,9.206984519958496,False,17.919631242752075,42.379478454589844,159.25
raw_otsu_binary,fixed_step_200,4,17.5082905292511,9.206984519958496,False,17.919631242752075,42.379478454589844,159.25
minmax_otsu_binary,min_proxy_net_delta_mse,4,11.728504419326782,8.471315383911133,False,23.69941735267639,64.27191543579102,33.25
raw_otsu_binary,min_proxy_net_delta_mse,4,11.728504419326782,8.471315383911133,False,23.69941735267639,64.27191543579102,33.25
raw_mean_plus_std_binary,fixed_step_175,4,14.84542179107666,8.08573055267334,False,28.18727970123291,81.83937454223633,140.5
minmax_otsu_binary,fixed_step_175,4,19.289073824882507,7.838830471038818,False,16.138847947120667,33.321537017822266,140.5
raw_otsu_binary,fixed_step_175,4,19.289073824882507,7.838830471038818,False,16.138847947120667,33.321537017822266,140.5
raw_mean_binary,fixed_step_40,4,10.414963364601135,7.195028781890869,False,3.3038302659988403,7.325608730316162,39.25
raw_mean_binary,fixed_step_117,4,9.162490487098694,6.484665870666504,False,4.556303143501282,8.035971641540527,97.0
raw_mean_plus_std_binary,fixed_step_150,4,15.667831301689148,6.385573863983154,False,27.364870190620422,76.25787734985352,121.75
minmax_otsu_binary,fixed_step_150,4,17.245057582855225,6.376402854919434,False,18.18286418914795,39.39447784423828,121.75
raw_otsu_binary,fixed_step_150,4,17.245057582855225,6.376402854919434,False,18.18286418914795,39.39447784423828,121.75
raw_mean_binary,final_step,4,7.251868367195129,6.245055675506592,False,6.466925263404846,8.71626091003418,159.25
raw_mean_binary,fixed_step_200,4,7.251868367195129,6.245055675506592,False,6.466925263404846,8.71626091003418,159.25
raw_mean_binary,fixed_step_150,4,6.940171599388123,5.950133800506592,False,6.778622031211853,9.382967472076416,121.75
minmax_otsu_binary,min_proxy_data_loss,4,15.5577152967453,5.683640480041504,False,19.870206475257874,42.43253707885742,24.75
raw_otsu_binary,min_proxy_data_loss,4,15.5577152967453,5.683640480041504,False,19.870206475257874,42.43253707885742,24.75
minmax_otsu_binary,fixed_step_125,4,13.993897199630737,5.5241780281066895,False,21.434024572372437,49.1760139465332,103.0
raw_otsu_binary,fixed_step_125,4,13.993897199630737,5.5241780281066895,False,21.434024572372437,49.1760139465332,103.0
raw_mean_plus_std_binary,fixed_step_125,4,11.778611660003662,5.505234718322754,False,31.254089832305908,86.89855766296387,103.0
minmax_otsu_binary,max_proxy_denoiser_mse,4,9.410642504692078,5.458713531494141,False,26.017279267311096,69.40138006210327,25.5
raw_otsu_binary,max_proxy_denoiser_mse,4,9.410642504692078,5.458713531494141,False,26.017279267311096,69.40138006210327,25.5
raw_mean_plus_std_binary,max_proxy_denoiser_mse,4,9.086700081825256,5.452310562133789,False,33.946001410484314,101.53898763656616,25.5
raw_mean_binary,fixed_step_175,4,7.034206390380859,5.246658802032471,False,6.684587240219116,10.086442470550537,140.5
minmax_otsu_binary,min_proxy_denoiser_mse,4,13.508130073547363,5.1797895431518555,False,21.91979169845581,47.437482833862305,153.0
