object,source_config,step,postprocess_method,target_free_threshold,threshold,cnr,psnr,ssim,foreground_fraction,target_foreground_fraction,iou,false_positive_pixels,false_negative_pixels,proxy_mean,proxy_std,proxy_min,proxy_max,proxy_range,proxy_tv_l1,proxy_roughness_l2,proxy_otsu_score,proxy_otsu_threshold,proxy_otsu_fg_fraction,proxy_hist_entropy,loss,proxy_data_loss,proxy_aug_loss,proxy_denoiser_mse,proxy_net_delta_mse,proxy_dual_abs_mean
letter_A,nlm_allobjects/cfg0001,1,continuous,True,,3.5788261890411377,9.064852714538574,0.07237059623003006,0.11688232421875,0.088623046875,0.6962216624685138,533,70,0.3750865161418915,0.12466511130332947,0.02957676723599434,0.9894368648529053,0.95986008644104,0.19271638989448547,0.029537159949541092,0.009947768412530422,0.4516128897666931,0.182861328125,2.6734061241149902,0.0009258148493245244,0.000563348934520036,0.0003624659148044884,0.006575827021151781,0.00031790038337931037,0.015301109291613102
letter_A,nlm_allobjects/cfg0001,1,raw_otsu_binary,True,0.4588891863822937,4.207657814025879,10.761594772338867,0.13059793412685394,0.170166015625,0.088623046875,0.5062166962699822,1363,27,0.3750865161418915,0.12466511130332947,0.02957676723599434,0.9894368648529053,0.95986008644104,0.19271638989448547,0.029537159949541092,0.009947768412530422,0.4516128897666931,0.182861328125,2.6734061241149902,0.0009258148493245244,0.000563348934520036,0.0003624659148044884,0.006575827021151781,0.00031790038337931037,0.015301109291613102
letter_A,nlm_allobjects/cfg0001,1,minmax_otsu_binary,True,0.447265625,4.207657814025879,10.761594772338867,0.13059793412685394,0.170166015625,0.088623046875,0.5062166962699822,1363,27,0.3750865161418915,0.12466511130332947,0.02957676723599434,0.9894368648529053,0.95986008644104,0.19271638989448547,0.029537159949541092,0.009947768412530422,0.4516128897666931,0.182861328125,2.6734061241149902,0.0009258148493245244,0.000563348934520036,0.0003624659148044884,0.006575827021151781,0.00031790038337931037,0.015301109291613102
letter_A,nlm_allobjects/cfg0001,1,raw_mean_binary,True,0.3750865161418915,2.319141149520874,4.750210762023926,0.07871774584054947,0.4246826171875,0.088623046875,0.20781272440040213,5511,5,0.3750865161418915,0.12466511130332947,0.02957676723599434,0.9894368648529053,0.95986008644104,0.19271638989448547,0.029537159949541092,0.009947768412530422,0.4516128897666931,0.182861328125,2.6734061241149902,0.0009258148493245244,0.000563348934520036,0.0003624659148044884,0.006575827021151781,0.00031790038337931037,0.015301109291613102
letter_A,nlm_allobjects/cfg0001,1,raw_mean_plus_std_binary,True,0.49975162744522095,4.6219801902771,14.504141807556152,0.29896894097328186,0.1170654296875,0.088623046875,0.6968781470292045,534,68,0.3750865161418915,0.12466511130332947,0.02957676723599434,0.9894368648529053,0.95986008644104,0.19271638989448547,0.029537159949541092,0.009947768412530422,0.4516128897666931,0.182861328125,2.6734061241149902,0.0009258148493245244,0.000563348934520036,0.0003624659148044884,0.006575827021151781,0.00031790038337931037,0.015301109291613102
letter_A,nlm_allobjects/cfg0001,2,continuous,True,,4.074000358581543,8.973228454589844,0.07309460639953613,0.1082763671875,0.088623046875,0.7783902976846747,362,40,0.3829416036605835,0.11742750555276871,0.07051164656877518,0.9738595485687256,0.903347909450531,0.164597749710083,0.021726883947849274,0.009324364364147186,0.4838709533214569,0.12158203125,2.548086404800415,0.0008838060311973095,0.0005593943642452359,0.0003244116378482431,0.006207725033164024,0.00012787873856723309,0.01903272420167923
letter_A,nlm_allobjects/cfg0001,2,raw_otsu_binary,True,0.49924904108047485,5.960476398468018,16.283275604248047,0.44146597385406494,0.10845947265625,0.088623046875,0.7771051183269125,365,40,0.3829416036605835,0.11742750555276871,0.07051164656877518,0.9738595485687256,0.903347909450531,0.164597749710083,0.021726883947849274,0.009324364364147186,0.4838709533214569,0.12158203125,2.548086404800415,0.0008838060311973095,0.0005593943642452359,0.0003244116378482431,0.006207725033164024,0.00012787873856723309,0.01903272420167923
letter_A,nlm_allobjects/cfg0001,2,minmax_otsu_binary,True,0.474609375,5.960476398468018,16.283275604248047,0.44146597385406494,0.10845947265625,0.088623046875,0.7771051183269125,365,40,0.3829416036605835,0.11742750555276871,0.07051164656877518,0.9738595485687256,0.903347909450531,0.164597749710083,0.021726883947849274,0.009324364364147186,0.4838709533214569,0.12158203125,2.548086404800415,0.0008838060311973095,0.0005593943642452359,0.0003244116378482431,0.006207725033164024,0.00012787873856723309,0.01903272420167923
letter_A,nlm_allobjects/cfg0001,2,raw_mean_binary,True,0.3829416036605835,2.5371358394622803,5.01295280456543,0.07835327088832855,0.40521240234375,0.088623046875,0.2183406113537118,5189,2,0.3829416036605835,0.11742750555276871,0.07051164656877518,0.9738595485687256,0.903347909450531,0.164597749710083,0.021726883947849274,0.009324364364147186,0.4838709533214569,0.12158203125,2.548086404800415,0.0008838060311973095,0.0005593943642452359,0.0003244116378482431,0.006207725033164024,0.00012787873856723309,0.01903272420167923
letter_A,nlm_allobjects/cfg0001,2,raw_mean_plus_std_binary,True,0.500369131565094,5.995126724243164,16.36856460571289,0.4479171335697174,0.10797119140625,0.088623046875,0.7805417357656164,357,40,0.3829416036605835,0.11742750555276871,0.07051164656877518,0.9738595485687256,0.903347909450531,0.164597749710083,0.021726883947849274,0.009324364364147186,0.4838709533214569,0.12158203125,2.548086404800415,0.0008838060311973095,0.0005593943642452359,0.0003244116378482431,0.006207725033164024,0.00012787873856723309,0.01903272420167923
