config_id,object,object_index,step,loss,cnr,proxy_mean,proxy_std,proxy_min,proxy_max,proxy_range,proxy_tv_l1,proxy_roughness_l2,proxy_otsu_score,proxy_otsu_threshold,proxy_otsu_fg_fraction,proxy_hist_entropy,proxy_data_loss,proxy_aug_loss,proxy_denoiser_mse,proxy_net_delta_mse,proxy_dual_abs_mean
cfg0000,stripe_target,1,1,0.00043818686390295625,2.773134469985962,0.5032376646995544,0.14497870206832886,0.027176927775144577,1.0,0.9728230834007263,0.25187259912490845,0.05333968624472618,0.015065853483974934,0.5483871102333069,0.3143310546875,2.898341178894043,0.0002284239453729242,0.00020976291853003204,0.004146358463913202,0.0004966710694134235,0.01773771643638611
cfg0000,stripe_target,1,2,0.0006756663206033409,3.1117310523986816,0.5097708702087402,0.14334149658679962,0.06343623995780945,1.0,0.9365637302398682,0.2370438277721405,0.04908481985330582,0.015153810381889343,0.5483871102333069,0.3082275390625,2.852231502532959,0.00022832155809737742,0.00044734476250596344,0.004218407906591892,0.000270841148449108,0.028317946940660477
cfg0000,stripe_target,1,3,0.0008357521146535873,3.522731065750122,0.5073220729827881,0.13977310061454773,0.0890573263168335,1.0,0.9109426736831665,0.2171507477760315,0.043729156255722046,0.01513059251010418,0.5806452035903931,0.23663330078125,2.7706055641174316,0.00022821580932941288,0.0006075362907722592,0.004233302548527718,0.00016146307461895049,0.03449941426515579
cfg0000,stripe_target,1,4,0.0009436731343157589,4.023543357849121,0.49704939126968384,0.13476186990737915,0.10009053349494934,1.0,0.899909496307373,0.1938265860080719,0.03804999962449074,0.0149009944871068,0.5483871102333069,0.24407958984375,2.650678873062134,0.00022812017414253205,0.0007155529456213117,0.0042121135629713535,0.00016904412768781185,0.03994037210941315
cfg0000,stripe_target,1,5,0.0011445095296949148,4.626286029815674,0.48106545209884644,0.12887105345726013,0.10312327742576599,0.9970952868461609,0.8939720392227173,0.16914740204811096,0.032704487442970276,0.014515340328216553,0.5483871102333069,0.22235107421875,2.489471673965454,0.00022802312741987407,0.0009164863731712103,0.004178094677627087,0.00027233213768340647,0.04781150817871094
cfg0000,stripe_target,1,6,0.0016164375701919198,5.314804553985596,0.4629310965538025,0.12272641062736511,0.09003101289272308,0.947499692440033,0.8574686646461487,0.1459636390209198,0.028139090165495872,0.013793133199214935,0.5161290168762207,0.22283935546875,2.3078103065490723,0.00022793150856159627,0.001388506032526493,0.0041527412831783295,0.0003912299871444702,0.05944240838289261
cfg0000,stripe_target,1,7,0.0024062839802354574,5.994214057922363,0.44687971472740173,0.11691515892744064,0.08098362386226654,0.8937957882881165,0.8128121495246887,0.12846946716308594,0.024555515497922897,0.012956910766661167,0.5161290168762207,0.21466064453125,2.1396031379699707,0.0002278652973473072,0.00217841868288815,0.0041473666206002235,0.0004310077929403633,0.07324160635471344
cfg0000,stripe_target,1,8,0.003325240220874548,6.482892990112305,0.4361134171485901,0.11178038269281387,0.0786551833152771,0.8463748693466187,0.7677196860313416,0.1200939416885376,0.021900823339819908,0.012017348781228065,0.4838709533214569,0.2181396484375,2.0473508834838867,0.00022783137683290988,0.0030974089168012142,0.004165460355579853,0.000384646060410887,0.08599480241537094
cfg0000,stripe_target,1,9,0.004103993531316519,6.646877765655518,0.4324229955673218,0.10740912705659866,0.08425860106945038,0.8126289248466492,0.7283703088760376,0.11860449612140656,0.019954673945903778,0.011074447073042393,0.4838709533214569,0.21502685546875,2.0309817790985107,0.00022782843734603375,0.003876165021210909,0.0042014275677502155,0.0002960324927698821,0.09541516751050949
cfg0000,stripe_target,1,10,0.004553463775664568,6.542108058929443,0.43645888566970825,0.10371146351099014,0.09784235060214996,0.7874181866645813,0.6895758509635925,0.1191059947013855,0.01842658780515194,0.010193725116550922,0.4838709533214569,0.2154541015625,2.052286148071289,0.0002278525207657367,0.004325611051172018,0.0042456830851733685,0.0002083747531287372,0.10041548311710358
cfg0000,stripe_target,1,11,0.0046215238980948925,6.325276851654053,0.4479716718196869,0.1005367711186409,0.11856643855571747,0.7724146842956543,0.6538482308387756,0.11867030709981918,0.01705178990960121,0.009461498819291592,0.4838709533214569,0.21923828125,2.0724644660949707,0.00022789138893131167,0.004393632523715496,0.004283777438104153,0.00015341374091804028,0.10117120295763016
cfg0000,stripe_target,1,12,0.004398813005536795,6.117018222808838,0.4659469425678253,0.09778118133544922,0.1448630839586258,0.7698765993118286,0.625013530254364,0.11606442928314209,0.01566438563168049,0.008858979679644108,0.5161290168762207,0.21490478515625,2.074725389480591,0.0002279382897540927,0.00417087459936738,0.004301632288843393,0.00015068725042510778,0.0989735871553421
cfg0000,stripe_target,1,13,0.004081904888153076,5.962334156036377,0.48865771293640137,0.09545706957578659,0.17082282900810242,0.8004282712936401,0.6296054124832153,0.11099111288785934,0.014237895607948303,0.008410057052969933,0.5483871102333069,0.21240234375,2.067359447479248,0.00022799248108640313,0.003853912465274334,0.004287761636078358,0.0002041690022451803,0.0960262194275856
cfg0000,stripe_target,1,14,0.0038965523708611727,5.83799934387207,0.5136778950691223,0.09371010959148407,0.18562635779380798,0.8368985652923584,0.651272177696228,0.10405373573303223,0.012890970334410667,0.008141467347741127,0.5483871102333069,0.2178955078125,2.0444748401641846,0.00022805090702604502,0.0036685015074908733,0.004235925152897835,0.00029535312205553055,0.09463325142860413
cfg0000,stripe_target,1,15,0.003992139361798763,5.666801929473877,0.5380100011825562,0.09277854859828949,0.19919165968894958,0.8773508071899414,0.6781591176986694,0.09668228030204773,0.011859257705509663,0.007975802756845951,0.5806452035903931,0.21453857421875,2.014878988265991,0.00022809943766333163,0.0037640398368239403,0.00415056711062789,0.00038287232746370137,0.09602009505033493
cfg0000,stripe_target,1,16,0.004344755318015814,5.359872817993164,0.5585247278213501,0.09291770309209824,0.20888814330101013,0.9172831773757935,0.7083950042724609,0.09146725386381149,0.011439071036875248,0.0079388078302145,0.6129032373428345,0.2130126953125,2.01517391204834,0.00022812309907749295,0.004116632044315338,0.0040421271696686745,0.00042435817886143923,0.10024892538785934
cfg0000,stripe_target,1,17,0.00474720261991024,4.8990678787231445,0.5725659132003784,0.09430954605340958,0.2123236507177353,0.9498522877693176,0.7375286221504211,0.09199047088623047,0.011915406212210655,0.008015948347747326,0.6129032373428345,0.2198486328125,2.0610029697418213,0.00022812823590356857,0.004519074223935604,0.003925529308617115,0.00040498297312296927,0.10512353479862213
cfg0000,stripe_target,1,18,0.004919831641018391,4.367499828338623,0.5783405303955078,0.09697756916284561,0.20837560296058655,0.9739844799041748,0.7656089067459106,0.10074098408222198,0.013483474031090736,0.008167929947376251,0.6129032373428345,0.22967529296875,2.168201208114624,0.00022810451628174633,0.004691726993769407,0.0038180500268936157,0.0003395340754650533,0.10764719545841217
cfg0000,stripe_target,1,19,0.004655079450458288,3.8678324222564697,0.5750159621238708,0.10073956847190857,0.1789184808731079,0.9952564239501953,0.8163379430770874,0.11633329093456268,0.01618480123579502,0.00846713874489069,0.6129032373428345,0.23583984375,2.2947726249694824,0.00022805811022408307,0.004427021369338036,0.003734054509550333,0.0002564344904385507,0.10506144911050797
cfg0000,stripe_target,1,20,0.003909459803253412,3.4541573524475098,0.5626702904701233,0.10522224009037018,0.12806148827075958,1.0,0.8719385266304016,0.1348491609096527,0.019868753850460052,0.008829716593027115,0.6129032373428345,0.23236083984375,2.411830425262451,0.00022800418082624674,0.0036814557388424873,0.003684038296341896,0.00018501270096749067,0.09567104279994965
cfg0000,stripe_target,1,21,0.0028263647109270096,3.1370179653167725,0.5422000885009766,0.10993613302707672,0.08091551810503006,1.0,0.9190844893455505,0.15327109396457672,0.024195697158575058,0.00926677230745554,0.5806452035903931,0.2569580078125,2.5082292556762695,0.00022793782409280539,0.0025984267704188824,0.0036731837317347527,0.0001491797447670251,0.07940034568309784
cfg0000,stripe_target,1,22,0.0016974695026874542,2.908918857574463,0.5152273178100586,0.11436337232589722,0.040715768933296204,1.0,0.959284245967865,0.1698254942893982,0.028682515025138855,0.009761325083673,0.5483871102333069,0.277587890625,2.580264091491699,0.00022786967747379094,0.0014695997815579176,0.0037011257372796535,0.00016334475367330015,0.058270230889320374
cfg0000,stripe_target,1,23,0.0008759752963669598,2.7593882083892822,0.48401254415512085,0.11803767085075378,0.01007544994354248,1.0,0.9899245500564575,0.18323718011379242,0.03277680277824402,0.010173211805522442,0.5161290168762207,0.28704833984375,2.631319522857666,0.00022779662685934454,0.0006481786840595305,0.0037644405383616686,0.00022783048916608095,0.038485147058963776
cfg0000,stripe_target,1,24,0.0006603995570912957,2.6811296939849854,0.45135822892189026,0.12059757113456726,0.0,0.9961496591567993,0.9961496591567993,0.19256168603897095,0.03594895452260971,0.010514252819120884,0.4838709533214569,0.29058837890625,2.661268949508667,0.00022773195814806968,0.00043266761349514127,0.003853798843920231,0.0003245669067837298,0.03486844152212143
cfg0000,stripe_target,1,25,0.0011759342160075903,2.671673536300659,0.4204277992248535,0.12183050811290741,0.0,0.981094241142273,0.981094241142273,0.19728046655654907,0.03779132291674614,0.01071377843618393,0.4516128897666931,0.29461669921875,2.6714468002319336,0.00022767120390199125,0.0009482630412094295,0.003958836197853088,0.0004188502498436719,0.054184556007385254
cfg0000,stripe_target,1,26,0.002296418882906437,2.7338366508483887,0.39440852403640747,0.12169641256332397,0.0,0.9583930969238281,0.9583930969238281,0.19719910621643066,0.038095202296972275,0.010745655745267868,0.4516128897666931,0.24700927734375,2.6617724895477295,0.00022763331071473658,0.002068785484880209,0.0040657310746610165,0.00047365203499794006,0.08136303722858429
cfg0000,stripe_target,1,27,0.0036623352207243443,2.874126434326172,0.37603840231895447,0.12040983885526657,0.0,0.9304517507553101,0.9304517507553101,0.1925366222858429,0.036978740245103836,0.010783039033412933,0.4193548262119293,0.26300048828125,2.63411283493042,0.00022760780120734125,0.0034347274340689182,0.004160923417657614,0.00046944484347477555,0.10515326261520386
