lambda,m_alpha
0.00024999999999999995,-0.692872545855035
0.00025148415215253624,-0.6928709155659613
0.0002529771151355201,-0.6928692755998054
0.0002544789412554033,-0.6928676258991339
0.00025598968312916075,-0.6928659664061726
0.0002575093936861337,-0.6928642970628043
0.00025903812616988407,-0.6928626178105671
0.0002605759341400601,-0.6928609285906523
0.0002621228714742726,-0.6928592293439023
0.0002636789923699828,-0.6928575200108081
0.00026524435134640085,-0.6928558005315083
0.00026681900324639627,-0.6928540708457857
0.0002684030032384192,-0.6928523308930661
0.0002699964068184332,-0.6928505806124159
0.00027159926981185984,-0.6928488199425398
0.00027321164837553407,-0.6928470488217792
0.0002748335989996722,-0.6928452671881091
0.0002764651785098509,-0.6928434749791372
0.0002781064440689978,-0.6928416721321004
0.0002797574531793947,-0.6928398585838635
0.0002814182636846918,-0.6928380342709166
0.0002830889337719345,-0.6928361991293733
0.00028476952197360175,-0.6928343530949679
0.0002864600871696569,-0.6928324961030532
0.00028816068858961125,-0.692830628088599
0.0002898713858145977,-0.6928287489861886
0.0002915922387794594,-0.6928268587300181
0.000293323307774849,-0.6928249572538921
0.0002950646534493415,-0.6928230444912234
0.0002968163368115584,-0.6928211203750293
0.00029857841923230564,-0.6928191848379296
0.00030035096244672367,-0.6928172378121445
0.0003021340285564503,-0.6928152792294924
0.0003039276800317964,-0.6928133090213866
0.00030573197971393466,-0.692811327118834
0.0003075469908171011,-0.6928093334524318
0.0003093727769308102,-0.6928073279523657
0.0003112094020220822,-0.692805310548407
0.0003130569304376846,-0.6928032811699105
0.00031491542690638663,-0.692801239745812
0.0003167849565412267,-0.6927991862046254
0.0003186655848417938,-0.692797120474441
0.00032055737769652256,-0.6927950424829218
0.0003224604013850013,-0.6927929521573022
0.00032437472258029437,-0.6927908494243846
0.00032630040835127805,-0.6927887342105374
0.00032823752616499015,-0.6927866064416922
0.000330186143888994,-0.692784466043341
0.00033214632979375607,-0.6927823129405337
0.0003341181525550378,-0.6927801470578757
0.00033610168125630186,-0.6927779683195254
0.0003380969853911323,-0.6927757766491911
0.00034010413486566945,-0.692773571970128
0.00034212320000105896,-0.6927713542051367
0.0003441542515359157,-0.6927691232765598
0.0003461973606288019,-0.6927668791062789
0.0003482525988607204,-0.6927646216157122
0.0003503200382376224,-0.6927623507258119
0.00035239975119293027,-0.6927600663570611
0.0003544918105900753,-0.6927577684294716
0.0003565962897250503,-0.6927554568625802
0.00035871326232897786,-0.6927531315754468
0.0003608428025706934,-0.6927507924866506
0.0003629849850593435,-0.6927484395142887
0.00036513988484700025,-0.6927460725759714
0.0003673075774312904,-0.6927436915888208
0.00036948813875804017,-0.6927412964694671
0.0003716816452239381,-0.6927388871340463
0.0003738881736792071,-0.6927364634981968
0.00037610780143030253,-0.6927340254770564
0.00037834060624261645,-0.6927315729852596
0.00038058666634320395,-0.6927291059369347
0.0003828460604235235,-0.6927266242457004
0.000385118867642194,-0.692724127824663
0.000387405167627768,-0.6927216165864134
0.00038970504048152174,-0.6927190904430245
0.00039201856678026134,-0.6927165493060468
0.0003943458275791459,-0.6927139930865065
0.00039668690441452704,-0.6927114216949025
0.00039904187930680623,-0.6927088350412025
0.0004014108347633075,-0.6927062330348395
0.000403793853781169,-0.6927036155847103
0.00040619101985025,-0.6927009825991709
0.00040860241695605664,-0.6926983339860336
0.0004110281295826841,-0.6926956696525645
0.0004134682427157766,-0.6926929895054785
0.0004159228418455047,-0.6926902934509384
0.00041839201296956077,-0.6926875813945494
0.0004208758425961719,-0.6926848532413578
0.0004233744177471304,-0.692682108895846
0.0004258878259608433,-0.6926793482619302
0.0004284161552953985,-0.6926765712429566
0.00043095949433165045,-0.6926737777416979
0.00043351793217632356,-0.6926709676603504
0.0004360915584651339,-0.6926681409005305
0.00043868046336592966,-0.6926652973632705
0.0004412847375818503,-0.6926624369490165
0.0004439044723545044,-0.6926595595576232
0.00044653975946716616,-0.6926566650883522
0.0004491906912479911,-0.6926537534398672
0.000451857360573251,-0.6926508245102309
0.0004545398608705877,-0.6926478781969014
0.00045723828612228624,-0.6926449143967288
0.00045995273086856783,-0.6926419330059514
0.000462683290210902,-0.692638933920192
0.00046543005981533836,-0.6926359170344544
0.00046819313591585853,-0.6926328822431197
0.0004709726153177475,-0.6926298294399427
0.00047376859540098547,-0.6926267585180483
0.0004765811741236589,-0.6926236693699268
0.00047941045002539503,-0.6926205618874316
0.0004822565222308089,-0.6926174359617745
0.0004851194904529835,-0.6926142914835225
0.00048799945499695545,-0.6926111283425928
0.000490896516763237,-0.6926079464282503
0.0004938107772513435,-0.6926047456291035
0.0004967423385633564,-0.6926015258330998
0.0004996913034074952,-0.692598286927522
0.0005026577751017189,-0.692595028798985
0.0005056418575773442,-0.6925917513334309
0.0005086436553826877,-0.6925884544161254
0.0005116632736867283,-0.692585137931654
0.000514700818282792,-0.6925818017639177
0.0005177563955922585,-0.6925784457961293
0.0005208301126682892,-0.692575069910808
