photon_budget,soft_log/fisher,soft_log_calibrated/fisher,soft_log_calibrated_carrier_oracle/fisher,anscombe/fisher
0.25,0.0748542181120789,1.0235668381246872,1.0229300526363931,0.11436308350363349
0.5,0.1931860393576062,1.0247445297093005,1.026283349660963,0.2852568792394434
1.0,0.5399639034856287,1.1877970298682379,1.1835514298022234,0.640986951333923
2.0,0.959099988676001,1.1970357571976566,1.1879264316771763,0.8889875996843213
4.0,1.3003737839213991,1.3156907639615565,1.310766817051454,1.075240063719955
8.0,1.1743497138133907,1.1705873104840165,1.1375749417322432,1.0651943451110673
16.0,1.2364087010970548,1.2354376150737783,1.199372655138077,1.1837189799616432
32.0,1.2978096000496906,1.297691152325049,1.2404085607546607,1.2759333982983707
64.0,1.5617796269386095,1.5617282258550185,1.440410153696143,1.5417492691258194
128.0,1.9933986130181633,1.9933889911936018,1.775675232306399,1.9885265347959287
