photon_budget,naive/soft,naive/anscombe,anscombe/soft,naive/carrier,anscombe/carrier,carrier/soft,meanpois/carrier
0.25,24.385152028266493,15.922884378868444,1.5314531870009984,2.076829796788799,0.13043050162098763,11.741526467874687,1.0012702145548755
0.5,26.219953271823297,17.888752720259003,1.4657228305319023,5.448313894085373,0.3045664490579692,4.812489475007558,0.9978309318080808
1.0,23.397210482252554,19.917877148616054,1.1746839438598633,11.017693349634738,0.5531560049008675,2.123603347794049,1.0030549372104187
2.0,13.324057992009754,14.393722130406482,0.9256853697253832,10.885305034048379,0.7562536594376355,1.2240408468419717,1.006990648711767
4.0,5.12854868946535,6.130857245429761,0.8365141258652563,5.096117443225783,0.8312242871133032,1.0063639126454351,1.0035916442964377
8.0,1.2770978948842935,1.4063178232239795,0.908114704794504,1.3180526598158273,0.9372366886414023,0.9689278234624886,1.0288605640252146
16.0,1.06907079442242,1.1162988261813869,0.9576923036634164,1.1028425083847189,0.9879455953181469,0.9693775732205293,1.0308336301207035
32.0,1.0188102427827048,1.0363516594846398,0.9830738759943145,1.066318923684309,1.0289161154183624,0.9554460866759695,1.0465354841087429
64.0,1.0125085871189332,1.025550882994908,0.9872826438041888,1.0983173978131828,1.0709535879933867,0.9218724834322936,1.084714521828402
128.0,1.003540010748679,1.0062636758005763,0.9972932889088635,1.1319027183033916,1.1248569788657607,0.8865956362865571,1.1279048996989958
