method,photon_budget,gain_rel_mse_mean,gain_rel_mse_std,gain_rel_mse_count,log_gain_mse_mean,log_gain_mse_std,lambda_bar_mean,zero_fraction_mean,fisher_reference_mean,fisher_reference_nominal_mean
anscombe,0.25,0.007064790005739396,0.0010615564160725624,50,0.007150111121753334,0.001202222746703961,0.25000273287296293,0.783857421875,0.06252114670837958,0.062499316880002355
anscombe,0.5,0.008822624975227152,0.0014054289669919824,50,0.008917293598251878,0.0014834640103558352,0.5000054657459259,0.611796875,0.03126057335418979,0.031249658440001177
anscombe,1.0,0.009850571547271952,0.000959591976376683,50,0.01001880980562629,0.000801244809241953,1.0000109314918517,0.369423828125,0.015630286677094894,0.015624829220000589
anscombe,2.0,0.0068228478151067095,0.0016364077073715189,50,0.006947565517724208,0.0015483893051428082,2.0000218629837034,0.13673828125,0.007815143338547447,0.007812414610000294
anscombe,4.0,0.004098465395954285,0.0007585779709294768,50,0.00420157761066017,0.0007754173699209425,4.000043725967407,0.022607421875,0.0039075716692737236,0.003906207305000147
anscombe,8.0,0.0020674481366171897,0.00029141918128976164,50,0.002081161622613292,0.00027706189733904296,8.000087451934814,0.000302734375,0.0019537858346368618,0.0019531036525000736
anscombe,16.0,0.001134927918196324,0.00020083625800090916,50,0.001156366687619927,0.00019158864825625997,16.000174903869627,0.0,0.0009768929173184309,0.0009765518262500368
anscombe,32.0,0.0006098634089232617,0.0001024183639219539,50,0.0006232251498838574,0.0001074878452423634,32.000349807739255,0.0,0.0004884464586592154,0.0004882759131250184
anscombe,64.0,0.00037505877870301597,7.806013046517871e-05,50,0.0003765309853224701,7.657570840197944e-05,64.00069961547851,0.0,0.0002442232293296077,0.0002441379565625092
anscombe,128.0,0.0002405028099473138,3.1991189109569346e-05,50,0.00024282218596773813,3.3279101536470615e-05,128.00139923095702,0.0,0.00012211161466480386,0.0001220689782812546
naive_log,0.25,0.11249183442237375,0.014520635489729105,50,0.11659766698386646,0.012719446410831106,0.25000273287296293,0.783857421875,0.06252114670837958,0.062499316880002355
naive_log,0.5,0.15782575652541975,0.027937195470488656,50,0.173168104181802,0.04126068845479054,0.5000054657459259,0.611796875,0.03126057335418979,0.031249658440001177
naive_log,1.0,0.19620247392221551,0.06904923491953799,50,0.21040330482310746,0.029467751569950885,1.0000109314918517,0.369423828125,0.015630286677094894,0.015624829220000589
naive_log,2.0,0.09820617558869696,0.011324391078086278,50,0.11957962962108294,0.018186815899259752,2.0000218629837034,0.13673828125,0.007815143338547447,0.007812414610000294
naive_log,4.0,0.02512710626792948,0.005562746233962018,50,0.03074169670815931,0.009030175879953976,4.000043725967407,0.022607421875,0.0039075716692737236,0.003906207305000147
naive_log,8.0,0.0029074891631159588,0.0004833211750583435,50,0.0029763494628758085,0.0004914708481585327,8.000087451934814,0.000302734375,0.0019537858346368618,0.0019531036525000736
