object,family,K_eff,basis,rho,s,seed,W,photon_budget,lambda_bar,zero_fraction,method,gain_rel_mse,log_gain_mse,fisher_reference,fisher_reference_nominal
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log,0.003248489392416388,0.0032371513543207253,0.06240938171274934,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log_calibrated,0.05490773100584397,0.061711793230689385,0.06240938171274934,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,soft_log_calibrated_carrier_oracle,0.05471102476313402,0.061385911712618,0.06240938171274934,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,naive_log,0.11828897181341565,0.11952976736196672,0.06240938171274934,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.25,0.250002384185791,0.7802734375,anscombe,0.005816061427807211,0.005765474114811369,0.06240938171274934,0.06249940395923653
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log,0.006891792837196336,0.00684700992086793,0.03120469085637467,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log_calibrated,0.026359829887734408,0.026747715399407873,0.03120469085637467,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,soft_log_calibrated_carrier_oracle,0.025819210205929692,0.026275537417240247,0.03120469085637467,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,naive_log,0.13230037737668615,0.1363868203324573,0.03120469085637467,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,0.5,0.500004768371582,0.60693359375,anscombe,0.009669415994499749,0.009588778154848524,0.03120469085637467,0.031249701979618266
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log,0.0073769524114502185,0.007531059428677115,0.015602345428187335,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log_calibrated,0.015152245367705663,0.01599326118500255,0.015602345428187335,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,soft_log_calibrated_carrier_oracle,0.014939754093885992,0.015691715113121993,0.015602345428187335,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,naive_log,0.15927365523047898,0.19096127091122506,0.015602345428187335,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,1.0,1.000009536743164,0.35302734375,anscombe,0.008671752375607402,0.008917319523995758,0.015602345428187335,0.015624850989809133
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log,0.011752115679294647,0.011952312547086542,0.007801172714093667,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log_calibrated,0.014622749480852277,0.015116015521208974,0.007801172714093667,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,soft_log_calibrated_carrier_oracle,0.01419846355083397,0.014685327028472868,0.007801172714093667,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,naive_log,0.12047085297691149,0.1665119744207432,0.007801172714093667,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,2.0,2.000019073486328,0.15576171875,anscombe,0.011259002634822338,0.011371463391405684,0.007801172714093667,0.0078124254949045666
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log,0.0044688907693794504,0.004964658716839917,0.0039005863570468337,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log_calibrated,0.004553706085221619,0.0050872027937028,0.0039005863570468337,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,soft_log_calibrated_carrier_oracle,0.004534553387435967,0.0051123082580481405,0.0039005863570468337,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,naive_log,0.033596920290912845,0.043990426072296925,0.0039005863570468337,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,4.0,4.000038146972656,0.03076171875,anscombe,0.0034176036377874643,0.0036990910634918735,0.0039005863570468337,0.0039062127474522833
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log,0.0021875207756559085,0.002222137580626475,0.0019502931785234168,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log_calibrated,0.002180112131050411,0.0022146309573033095,0.0019502931785234168,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,soft_log_calibrated_carrier_oracle,0.002087872364700833,0.002117907106989771,0.0019502931785234168,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,naive_log,0.0037838246806046402,0.004108371234492235,0.0019502931785234168,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,8.0,8.000076293945312,0.0009765625,anscombe,0.00192006802714965,0.0019395402014606928,0.0019502931785234168,0.0019531063737261416
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,soft_log,0.001269633116514921,0.0012639244231787022,0.0009751465892617084,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,soft_log_calibrated,0.0012690717203799576,0.0012633947529211167,0.0009751465892617084,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,soft_log_calibrated_carrier_oracle,0.0011990476838661611,0.001190240664966245,0.0009751465892617084,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,naive_log,0.0013248781115233667,0.00131596972243845,0.0009751465892617084,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,16.0,16.000152587890625,0.0,anscombe,0.0012335790245533158,0.0012288037621027462,0.0009751465892617084,0.0009765531868630708
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,soft_log,0.000601504722927789,0.0006094614144933823,0.0004875732946308542,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,soft_log_calibrated,0.000601450053146195,0.000609402849792263,0.0004875732946308542,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,soft_log_calibrated_carrier_oracle,0.0005325521245139878,0.0005445542877354605,0.0004875732946308542,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,naive_log,0.0006122760647255979,0.0006208514894517087,0.0004875732946308542,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,32.0,32.00030517578125,0.0,anscombe,0.0005913679419492492,0.0005997073810764687,0.0004875732946308542,0.0004882765934315354
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,64.0,64.0006103515625,0.0,soft_log,0.00031211578306251464,0.0003119479298979547,0.0002437866473154271,0.0002441382967157677
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,64.0,64.0006103515625,0.0,soft_log_calibrated,0.00031210504028144525,0.0003119370545381061,0.0002437866473154271,0.0002441382967157677
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,64.0,64.0006103515625,0.0,soft_log_calibrated_carrier_oracle,0.00027210100657663845,0.00027432288387753694,0.0002437866473154271,0.0002441382967157677
digit_0,synthetic_digit,97.19698546760661,random_uniform,0.001,0.1,0,64,64.0,64.0006103515625,0.0,naive_log,0.0003163620760643463,0.00031622965505519,0.0002437866473154271,0.0002441382967157677
