photon_budget,naive/soft,naive/anscombe,anscombe/soft,naive/carrier,anscombe/carrier,carrier/soft,meanpois/carrier
0.25,24.914182849232894,16.307112574674875,1.5278108086360362,1.8231272727536105,0.11179951474578934,13.665630053135606,1.0006225112720593
0.5,28.674458441561413,19.41935658771507,1.476591580778801,5.397637074478044,0.2779513857782836,5.312409494359022,0.9985005895767766
1.0,24.92992002129674,21.000828332418358,1.1870922244916007,11.373613845013354,0.5415792970154535,2.1919084260300443,1.0035871699016272
2.0,15.953514455574773,17.211731118766515,0.9268977272239707,12.880440341815959,0.748352402959165,1.238584553959865,1.0076682572906634
4.0,6.049962406336865,7.316703285490196,0.8268699946237518,6.001992425020061,0.8203137657533076,1.0079923428621527,1.003756539184581
8.0,1.2972077031535552,1.4301385488448701,0.9070503722882767,1.3391429778113626,0.9363728982013629,0.9686849908093126,1.0290199507221067
16.0,1.0729673596712914,1.1207273026353817,0.9573848670842737,1.1061000714060727,0.9869484474993041,0.970045466417281,1.0300698534197859
32.0,1.0186638277184625,1.0361290774263705,0.9831437510167268,1.0658034269225494,1.028639626222909,0.9557708316436925,1.0461804226306997
64.0,1.0129824574748443,1.0261430935702358,0.9871746580200603,1.0983367206005934,1.0703543467599397,0.9222877087464801,1.0842246715961903
128.0,1.0038074060233413,1.0062668291774337,0.9975558936429388,1.1268886643788087,1.1198706264619462,0.8907778006416318,1.1226089968064812
