basis,N,N_factor,v,rel_mse_mean,rel_mse_std,theory_rel_mse_mean,measured_leverage_mean,C0_measured_mean
orthogonal_inverse,1024,1,0.0,3.176545482386456e-13,1.918706167641795e-13,0.0,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.0001,8.105303899660172e-05,3.646358298268452e-05,0.0001,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.0003,0.00023245355005586962,0.00011574258794948023,0.0003,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.001,0.0009345435320928124,0.00045977556327472574,0.001,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.003,0.002540934532792384,0.001239653278992566,0.003,1.0,3.252782573963731e-10
orthogonal_inverse,1024,1,0.01,0.00840655329615406,0.004056030835640558,0.01,1.0,3.252782573963731e-10
orthogonal_inverse,2048,1,0.0,8.246102142735073e-13,4.2297458762421864e-13,0.0,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.0001,7.940695270705546e-05,4.0091048802391984e-05,0.0001,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.0003,0.00027823814441166935,0.00013344181684055696,0.0003,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.001,0.0007665234607470499,0.0003694166778058723,0.001,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.003,0.0024501894402880605,0.0011842015300401903,0.003,1.0,1.688801718832143e-09
orthogonal_inverse,2048,1,0.01,0.008215071002734508,0.0037933461700538013,0.01,1.0,1.688801718832143e-09
orthogonal_inverse,4096,1,0.0,1.3850179600741842e-13,1.0862080974732214e-13,0.0,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.0001,8.467200377363397e-05,3.756757469847591e-05,0.0001,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.0003,0.00025343866799245723,0.00011822379575186543,0.0003,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.001,0.0008428570187536363,0.0003994535945323575,0.001,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.003,0.0027315519757673988,0.0012730134025844288,0.003,1.0,5.673033564463858e-10
orthogonal_inverse,4096,1,0.01,0.008216013750774121,0.004628346888169113,0.01,1.0,5.673033564463858e-10
