object,family,K_eff,basis,N,N_factor,seed,v,rel_mse,measured_leverage,C0_measured,theory_rel_mse,target_energy
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0001,9.469612558137322e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.0003,0.00022764033856036435,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.001,0.0011520487946055278,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.003,0.0026576674828897883,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,0,0.01,0.01164639077211705,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0001,0.00014754960009380082,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.0003,0.00030790522765457913,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.001,0.0011770391873424505,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.003,0.002491458106895731,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,1,0.01,0.010188297284929763,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.0001,9.778401328490273e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.0003,0.00025696943635965345,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.001,0.0009233636577414919,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.003,0.005117360905497605,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,2,0.01,0.012750585359934109,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.0001,8.961465684455517e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.0003,0.00029481005454836653,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.001,0.0014181568412908521,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.003,0.0027051979998937038,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,3,0.01,0.009207139243864296,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,4,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,4,0.0001,8.737515516432666e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,4,0.0003,0.00024812971468633993,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,4,0.001,0.0010729433043398455,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,4,0.003,0.0025559939496079464,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,4,0.01,0.005980600901647512,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,5,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,5,0.0001,7.440605489950117e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,5,0.0003,0.0002586306274845429,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,5,0.001,0.0012473847562316598,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,5,0.003,0.005207424604528288,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,5,0.01,0.007719440471878312,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,6,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,6,0.0001,8.668902765327935e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,6,0.0003,0.00025296822057059825,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,6,0.001,0.0010750697104804274,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,6,0.003,0.0031664340162900284,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,6,0.01,0.007609875161869467,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,7,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,7,0.0001,8.387750398807126e-05,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,7,0.0003,0.0002480987724690421,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,7,0.001,0.0008511322564755982,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,7,0.003,0.004368631746398376,1.0,3.791129985109778e-10,0.003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,7,0.01,0.007841673955183245,1.0,3.791129985109778e-10,0.01,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,8,0.0,3.7022753760837674e-13,1.0,3.791129985109778e-10,0.0,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,8,0.0001,0.00010683856235680261,1.0,3.791129985109778e-10,0.0001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,8,0.0003,0.00031514226497158967,1.0,3.791129985109778e-10,0.0003,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,8,0.001,0.0008609194652232852,1.0,3.791129985109778e-10,0.001,0.06494319704508411
digit_0,synthetic_digit,97.19698546760661,orthogonal_inverse,1024,1,8,0.003,0.0027290246650707047,1.0,3.791129985109778e-10,0.003,0.06494319704508411
