basis,rho,estimator,statistic,n_cells,median,ci_lo_naive,ci_hi_naive,ci_lo_seed_cluster,ci_hi_seed_cluster,ci_lo_two_way,ci_hi_two_way
hadamard_paired,0.001,gain_rel_err_ratio,slope_wle16,200,0.029076083099523014,-0.006066663776324961,0.03887071001377914,0.0060813211316027415,0.0331469658116015,-0.05865359695058035,0.1670256114401352
hadamard_paired,0.001,gain_rel_err_ratio,log10_best_err,200,-1.7733634300941832,-1.7779373639239553,-1.7674826191305606,-1.7808606021701758,-1.7657061739952273,-1.8453448023420125,-1.753547582739421
hadamard_paired,0.001,gain_rel_err_log,slope_wle16,200,-0.22145862306246972,-0.22754387156718603,-0.20692068416250878,-0.2264237455171032,-0.2146934322395622,-0.306220090654073,-0.05420865686163601
hadamard_paired,0.001,gain_rel_err_log,log10_best_err,200,-1.653322998512083,-1.6671506668041236,-1.6354845780840168,-1.6641769327174163,-1.6421334956441274,-1.7155627747394377,-1.6050327961311113
hadamard_paired,0.01,gain_rel_err_ratio,slope_wle16,200,0.13069616198804257,0.11009136736737338,0.16482211720814963,0.11445309898719873,0.14150320800825442,0.05965592169503328,0.2589254974101955
hadamard_paired,0.01,gain_rel_err_ratio,log10_best_err,200,-1.698970688343378,-1.7092654343445777,-1.6931311153708508,-1.7076559549886416,-1.6909361002551568,-1.7609033554971425,-1.6731378907658254
hadamard_paired,0.01,gain_rel_err_log,slope_wle16,200,-0.11741338896151568,-0.12651820183740944,-0.10280992188172357,-0.12631869862696768,-0.11166197980945528,-0.17936382689371283,0.06211830209428536
hadamard_paired,0.01,gain_rel_err_log,log10_best_err,200,-1.5794749207108247,-1.5959115791213043,-1.5669806936818937,-1.583807760032732,-1.5722619643321907,-1.6325339969571988,-1.5380890397030322
hadamard_random_paired,0.001,gain_rel_err_ratio,slope_wle16,200,-0.6149852515658298,-0.6369486645358086,-0.6052558706898987,-0.6211883187959722,-0.6098944739143156,-0.6683259153202223,-0.44055351770910917
hadamard_random_paired,0.001,gain_rel_err_ratio,log10_best_err,200,-2.1347783151763244,-2.1487941507415123,-2.1283253563740496,-2.140117795083605,-2.1305153771928165,-2.1988413125188986,-2.1040810819391664
hadamard_random_paired,0.001,gain_rel_err_log,slope_wle16,200,-0.4485684513068039,-0.4548260675629837,-0.4353710970209883,-0.45102111906347436,-0.44299089923601287,-0.4972886276588973,-0.3598261359319311
hadamard_random_paired,0.001,gain_rel_err_log,log10_best_err,200,-1.922930423130312,-1.9364630153877818,-1.910194526905721,-1.9318367704643231,-1.9174697073710714,-2.0463421796392387,-1.8753037672940276
hadamard_random_paired,0.01,gain_rel_err_ratio,slope_wle16,200,-0.0662058879279504,-0.08668601825652639,-0.04976255333675901,-0.074789292494914,-0.05912961508756856,-0.14425012252525088,0.10851224809163629
hadamard_random_paired,0.01,gain_rel_err_ratio,log10_best_err,200,-1.8107159015936127,-1.8203641993317738,-1.8040673392849746,-1.81493791116141,-1.8068401161051133,-1.8620681508860228,-1.7843171167502905
hadamard_random_paired,0.01,gain_rel_err_log,slope_wle16,200,-0.20564567562398867,-0.21473168097552062,-0.1922945566812349,-0.20925927382537965,-0.19852690679366747,-0.24312074986244087,-0.05018982125473315
hadamard_random_paired,0.01,gain_rel_err_log,log10_best_err,200,-1.6644892075352433,-1.6717263514381848,-1.6538738863825295,-1.6700530347894234,-1.6561898399653598,-1.7771343828888164,-1.6307321491902507
hadamard_raw_ordered_1024,0.001,gain_rel_err_ratio,slope_wle16,200,0.020237846475908983,0.014040616667504627,0.02825927707425207,0.020235900004619806,0.02098713443220512,0.002017847039846378,0.03478908759643571
hadamard_raw_ordered_1024,0.001,gain_rel_err_ratio,log10_best_err,200,-0.04780357384987342,-0.04827533229349202,-0.04682685711847376,-0.04964506547234521,-0.045177981813694576,-0.049887078943596744,-0.04451274587838031
hadamard_raw_ordered_1024,0.001,gain_rel_err_log,slope_wle16,200,-0.052707176182984046,-0.05657638921699535,-0.04706778552619228,-0.0555068315746096,-0.04979396628473722,-0.09407988055062129,-0.008630600745231306
hadamard_raw_ordered_1024,0.001,gain_rel_err_log,log10_best_err,200,-0.139562775851361,-0.14818834213669319,-0.12711347737116185,-0.14097343086422492,-0.13707113965233514,-0.18192960506581143,-0.06351156007813542
hadamard_raw_ordered_1024,0.01,gain_rel_err_ratio,slope_wle16,200,0.02008133135567454,0.013594850144640274,0.028476811113253807,0.019738982938261554,0.021009347943740674,0.0020201421333334705,0.03508247494495821
hadamard_raw_ordered_1024,0.01,gain_rel_err_ratio,log10_best_err,200,-0.04536042402725528,-0.04725552920700013,-0.043761298612917825,-0.04859128838868343,-0.04289664717135645,-0.04865296665791601,-0.042619911861353665
hadamard_raw_ordered_1024,0.01,gain_rel_err_log,slope_wle16,200,-0.05232335486122017,-0.057138103265090265,-0.04469637490631332,-0.055512397462435095,-0.04936859818221594,-0.09525484662448534,-0.009336579503074583
hadamard_raw_ordered_1024,0.01,gain_rel_err_log,log10_best_err,200,-0.13816539770869452,-0.1481923606684341,-0.12746372270746983,-0.1409559968709149,-0.13672738918480692,-0.17954474941026047,-0.06509345093256835
