basis,n_fits,median_slope,slope_q25,slope_q75,iqr_slope,n_fits_slowdrift,median_slope_slowdrift,in_variance_band,collapse_arm,collapse_minW,collapse_median_err_over_floor_minW,collapse_cross_obj_dev_minW
hadamard_paired,0,,,,,0,,False,False,,,
hadamard_random_paired,10,-0.6180885707484072,-0.6678844450223276,-0.5247695593767335,0.14311488564559405,9,-0.6200589310547278,True,True,4.0,0.4042609569861113,0.062308446252034175
hadamard_raw_ordered_1024,20,0.0051693329796094435,-0.00531791548007581,0.010757694803734544,0.016075610283810354,10,0.005015152117672742,False,False,,,
hadamard_raw_ordered_2048,15,-0.0009312447885447402,-0.004917082452079084,0.010580775597605448,0.015497858049684532,8,0.0021952961990969666,False,False,,,
hadamard_raw_shuffled_1024,20,-0.024725749139130497,-0.03526810022559472,-0.016801906459909175,0.018466193765685545,10,-0.024462571721108325,False,False,,,
hadamard_raw_shuffled_2048,20,-0.02286637522326529,-0.027678049456817854,-0.007479916352683513,0.02019813310413434,10,-0.02340089370504115,False,False,,,
random_binary,18,-0.3528561209086617,-0.39903276000752347,-0.2987529417066005,0.10027981830092297,10,-0.39563707107984686,True,True,4.0,0.8938445066680097,0.05063927636016947
random_uniform,15,-0.3273256792711903,-0.4015291462349259,-0.18764611247816326,0.21388303375676265,10,-0.3843812129029295,False,True,4.0,0.9001776584634862,0.04981107087744019
srht_paired,10,-0.5696448931187611,-0.6529583409773966,-0.517511123408006,0.1354472175693906,9,-0.5957740418606219,True,True,4.0,0.4057924839875784,0.07611825267082645
