sigma_a,correction,challenger,baseline,rho_star_log_interp,boundary_status,max_margin_db,min_margin_db,points,rho_min,rho_max
0.1,none,srht_paired,hadamard_paired,0.046420407824143556,observed,0.12818122886316807,-0.18252473076460163,9,0.001,10.0
0.1,pairwise,dct_paired,hadamard_paired,,not_reached,-0.9227320191125603,-3.0099475931132886,9,0.001,10.0
0.1,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.10975360105931742,0.01442912009532904,9,0.001,10.0
0.1,reference_k2,random_uniform,hadamard_paired,,not_reached,-1.6805926355092904,-26.271275122916705,9,0.001,10.0
0.1,reference_k2,random_binary,hadamard_paired,,not_reached,-0.6330064872347752,-26.37357972350521,9,0.001,10.0
0.1,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-0.23715763201985496,-21.53189686541928,9,0.001,10.0
0.1,reference_k2,dct_paired,hadamard_paired,,not_reached,-1.136175261366958,-3.007882720051967,9,0.001,10.0
0.1,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.09010355489360933,0.014711243980393363,9,0.001,10.0
0.1,reference_k32,random_uniform,hadamard_paired,,not_reached,-1.6157242553926068,-23.48768057003112,9,0.001,10.0
0.1,reference_k32,random_binary,hadamard_paired,,not_reached,-0.9059862138097312,-23.422050594663027,9,0.001,10.0
0.1,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-0.3127813641305277,-18.55375837890654,9,0.001,10.0
0.1,reference_k32,dct_paired,hadamard_paired,,not_reached,-0.8834548878522916,-2.916066798510684,9,0.001,10.0
0.1,reference_k32,srht_paired,hadamard_paired,0.17490124693549938,observed,0.08852445279462451,-0.12106876465260541,9,0.001,10.0
0.1,reference_k8,random_uniform,hadamard_paired,,not_reached,-1.5397233315036871,-23.837837789258884,9,0.001,10.0
0.1,reference_k8,random_binary,hadamard_paired,,not_reached,-0.7759943956105122,-23.897788687258412,9,0.001,10.0
0.1,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-0.3659191530626149,-19.08605590106521,9,0.001,10.0
0.1,reference_k8,dct_paired,hadamard_paired,,not_reached,-0.9068331203556532,-3.008192025385398,9,0.001,10.0
0.1,reference_k8,srht_paired,hadamard_paired,0.03137733773610111,observed,0.12215773931317209,-0.03217034254286233,9,0.001,10.0
