correction,challenger,baseline,observed_points,left_censored_points,not_reached_points,law,fit_status,n,intercept,sigma_a_exponent,r2,rmse_log10
agc,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
agc,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
agc,random_binary,hadamard_paired,3,0,2,rho_star ~ sigma_a^a,ok,3,0.13808234806815475,-0.35266576993357884,0.9950057472285436,0.005353831533799548
agc,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
agc,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
none,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
none,fourier_fourstep,hadamard_paired,1,0,4,rho_star ~ sigma_a^a,insufficient_observed_points,1,,,,
none,random_binary,hadamard_paired,2,0,3,rho_star ~ sigma_a^a,insufficient_observed_points,2,,,,
none,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
none,srht_paired,hadamard_paired,3,2,0,rho_star ~ sigma_a^a,ok,3,-2.2981717210019457,-0.9417758722549051,0.992130595121955,0.016523218306728333
pairwise,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
pairwise,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k2,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k2,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k2,random_binary,hadamard_paired,1,0,4,rho_star ~ sigma_a^a,insufficient_observed_points,1,,,,
reference_k2,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k2,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k32,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k32,fourier_fourstep,hadamard_paired,1,0,4,rho_star ~ sigma_a^a,insufficient_observed_points,1,,,,
reference_k32,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k32,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k32,srht_paired,hadamard_paired,5,0,0,rho_star ~ sigma_a^a,ok,5,-2.241499020260365,-1.4255903274938966,0.9862845984776658,0.05904749406585908
reference_k8,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k8,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k8,random_binary,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k8,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
reference_k8,srht_paired,hadamard_paired,5,0,0,rho_star ~ sigma_a^a,ok,5,-3.45469324453697,-1.9285399494743396,0.9995089098299588,0.015014798869434392
scgi_frozen,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_frozen,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_frozen,random_binary,hadamard_paired,1,0,4,rho_star ~ sigma_a^a,insufficient_observed_points,1,,,,
scgi_frozen,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_frozen,srht_paired,hadamard_paired,0,5,0,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_proxy,dct_paired,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_proxy,fourier_fourstep,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_proxy,random_binary,hadamard_paired,1,0,4,rho_star ~ sigma_a^a,insufficient_observed_points,1,,,,
scgi_proxy,random_uniform,hadamard_paired,0,0,5,rho_star ~ sigma_a^a,insufficient_observed_points,0,,,,
scgi_proxy,srht_paired,hadamard_paired,5,0,0,rho_star ~ sigma_a^a,ok,5,-2.9920085402255943,-1.5899376696523178,0.988902026284963,0.05916010079475517
