unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
1,64,3,65,-2,1,sparse_spikes,1/2,65,66,False,1,,,1.6872243426471244e-08,False,0.07302919476202446,0.05255912150291203,3.275479351923583e-05,150,8
3,64,3,65,-2,3,random_nonneg,1/2,65,66,False,1,,,9.28164196730323e-08,False,0.11545226297450731,0.13140370108351923,0.00042017297797827596,150,8
5,64,3,65,-2,5,random_nonneg,1/2,65,66,False,1,,,3.444205293827722e-08,False,0.5748907663297425,0.11806593577987584,0.0017371922652341144,150,8
7,64,3,65,-2,7,random_nonneg,1/2,65,66,False,1,,,1.0636378776363106e-07,False,0.10983722988553637,0.09026034830722368,0.0003026739128887243,150,8
9,64,3,65,-2,9,random_nonneg,1/2,65,66,False,1,,,3.388780205954454e-08,False,0.1807432425138257,0.12780499095488015,0.004897535448474586,150,8
11,64,3,65,-2,11,random_nonneg,1/2,65,66,False,1,,,6.5098475326172e-08,False,0.12112234860066864,0.08464411925497134,0.0030932936144233026,150,8
13,64,3,65,-2,13,random_nonneg,1/2,65,66,False,1,,,5.894267342189764e-08,False,0.11036202535432363,0.059511059895086316,0.001234732533337209,150,8
15,64,3,65,-2,15,random_nonneg,1/2,65,66,False,1,,,5.579852140764479e-08,False,0.017413720747815498,0.05091201429964736,0.003168264776372836,150,8
17,64,3,65,-2,17,random_nonneg,1/2,65,66,False,1,,,5.707947177136612e-08,False,0.7337995215525416,0.43086799954007354,3.531940884129044e-09,150,8
19,64,3,65,-2,19,random_nonneg,1/2,65,66,False,1,,,1.0176458414293564e-07,False,0.6626485404005908,0.3257806936103127,0.009530117367825252,150,8
21,64,3,66,-1,1,sparse_spikes,1/2,66,66,True,0,0.0005933404990844069,,5.935373946290888e-08,False,0.0009032239568175516,0.0029439385463532197,0.0002791568814236428,150,8
23,64,3,66,-1,3,random_nonneg,1/2,66,66,True,0,0.00012040510504956522,,6.296451157692754e-08,False,0.22813589497259823,0.10355819027267114,0.001109648003933203,150,8
25,64,3,66,-1,5,random_nonneg,1/2,66,66,True,0,0.0016190410181549514,,3.688218245705414e-08,False,0.022646737837407255,0.045501841456190184,0.002889916873381162,150,8
27,64,3,66,-1,7,random_nonneg,1/2,66,66,True,0,0.00044114406608269685,,6.42360708909756e-08,False,0.010964433337023651,0.007369575478842705,0.0005481933203452728,150,8
29,64,3,66,-1,9,random_nonneg,1/2,66,66,True,0,0.0004638565616909047,,7.674715798376264e-08,False,0.0005978927799954677,0.002247599692800417,7.733325099002119e-05,150,8
31,64,3,66,-1,11,random_nonneg,1/2,66,66,True,0,0.0006808538540158479,,3.099310556213886e-08,False,0.18584760149285412,0.1548299792658305,0.00786992538212621,150,8
