photon_budget,naive/soft,naive/anscombe,anscombe/soft,naive/calibrated,anscombe/calibrated,calibrated/soft
0.25,46.393830487933926,29.989392025904518,1.5470080369705204,3.8416740674228227,0.1281010986853093,12.07646189491997
0.5,33.81872424420553,22.788991986592915,1.4839938626553364,6.925480716395727,0.3038958774688273,4.883231306115891
1.0,22.91962943073305,19.478970687393602,1.1766345254354829,10.693584216455207,0.5489809696862411,2.143306581479435
2.0,12.047876577121967,12.914791595330938,0.9328742541596734,9.711758560076667,0.7519872456623878,1.2405453144859542
4.0,4.7444584008204105,5.568734314307608,0.8519814616816238,4.69229045930867,0.8426134547760499,1.0111177988583908
8.0,1.2656167568635401,1.3873156261818596,0.9122774464429146,1.2696594761447488,0.9151915052229885,0.9968159027226069
16.0,1.0701366207608736,1.0950937894502468,0.9772100171420913,1.0709551443357292,0.9779574632355138,0.9992357069488998
32.0,1.0211954293856542,1.0372748191266463,0.9844984285316688,1.021303821314105,0.9846029253597535,0.999893869066003
64.0,1.013336471396761,1.0256050997635777,0.9880376683290237,1.0133708445245109,0.9880711833025334,0.9999660804058694
128.0,1.0039651980101436,1.0039893772503148,0.9999759168366528,1.00397022580013,0.9999809246485882,0.9999949920925368
