config_id,object,object_index,step,loss,cnr
cfg0000,letter_A,0,1,0.0009258148493245244,3.5128822326660156
cfg0000,letter_A,0,2,0.0008749586995691061,3.8898701667785645
cfg0000,letter_A,0,3,0.0008250479586422443,4.43939733505249
cfg0000,letter_A,0,4,0.0014683305053040385,5.1125946044921875
cfg0000,letter_A,0,5,0.002409632783383131,5.860285758972168
cfg0000,letter_A,0,6,0.002928672358393669,6.608516693115234
cfg0000,letter_A,0,7,0.002921095583587885,7.242420196533203
cfg0000,letter_A,0,8,0.002812864724546671,7.614665508270264
cfg0000,letter_A,0,9,0.0033096689730882645,7.65920877456665
cfg0000,letter_A,0,10,0.004753932822495699,7.486908435821533
cfg0000,letter_A,0,11,0.0065401578322052956,7.284453392028809
cfg0000,letter_A,0,12,0.007661014795303345,7.185696125030518
cfg0000,letter_A,0,13,0.007490449119359255,7.233712673187256
cfg0000,letter_A,0,14,0.006078812293708324,7.373488903045654
cfg0000,letter_A,0,15,0.004169866908341646,7.446341037750244
cfg0000,letter_A,0,16,0.002958505880087614,7.299201488494873
cfg0000,letter_A,0,17,0.0035411259159445763,6.933620929718018
cfg0000,letter_A,0,18,0.006139820441603661,6.567660331726074
cfg0000,letter_A,0,19,0.009708862751722336,6.245294570922852
cfg0000,letter_A,0,20,0.01255105808377266,5.896886825561523
cfg0000,letter_A,0,21,0.013281391933560371,5.438909530639648
cfg0000,letter_A,0,22,0.011428958736360073,4.915416240692139
cfg0000,letter_A,0,23,0.007632300723344088,4.435455799102783
cfg0000,letter_A,0,24,0.003472647164016962,4.045200824737549
cfg0000,letter_A,0,25,0.0009708066936582327,3.7341015338897705
cfg0000,letter_A,0,26,0.001821488025598228,3.4608137607574463
cfg0000,letter_A,0,27,0.006551541853696108,3.248889207839966
cfg0000,letter_A,0,28,0.014026542194187641,3.1405632495880127
cfg0000,letter_A,0,29,0.021805251017212868,3.186511278152466
cfg0000,letter_A,0,30,0.027191270142793655,3.436621904373169
cfg0000,letter_A,0,31,0.02829345129430294,3.9660022258758545
cfg0000,letter_A,0,32,0.024688219651579857,4.890152454376221
cfg0000,letter_A,0,33,0.017583370208740234,6.233047962188721
cfg0000,letter_A,0,34,0.009504813700914383,7.783982753753662
cfg0000,letter_A,0,35,0.0035731298848986626,9.018448829650879
cfg0000,letter_A,0,36,0.0025208923034369946,9.538811683654785
cfg0000,letter_A,0,37,0.0076720151118934155,9.692431449890137
cfg0000,letter_A,0,38,0.018224412575364113,11.472962379455566
cfg0000,letter_A,0,39,0.03131876140832901,12.40100383758545
cfg0000,letter_A,0,40,0.0430227555334568,12.206185340881348
cfg0000,letter_A,0,41,0.04971463978290558,11.887170791625977
cfg0000,letter_A,0,42,0.049272552132606506,11.675368309020996
cfg0000,letter_A,0,43,0.041727498173713684,10.887897491455078
cfg0000,letter_A,0,44,0.02927509695291519,9.089241981506348
