config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss
cfg0000,0,0,20240709,letter_A,0,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,8.424839973449707,9.12310791015625,0.07648204267024994,0.00494229793548584,0.8982973786074485,12.40100383758545,0.0014095910592004657
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,5.535244464874268,6.399226665496826,0.1718102991580963,0.004685699939727783,0.9740428844495653,8.931845664978027,0.005688861012458801
cfg0000,0,0,20240711,letter_L,2,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,12.796236038208008,11.924447059631348,0.07445986568927765,0.004587233066558838,1.0,21.110126495361328,0.005586365237832069
cfg0000,0,0,20240712,ring,3,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06,7.463228702545166,11.391988754272461,0.08265623450279236,0.003703176975250244,1.0,13.54942798614502,0.013823263347148895
cfg0001,1,1,20240709,letter_A,0,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,8.453327178955078,10.252985000610352,0.07514355331659317,0.00494229793548584,0.8982973786074485,13.209966659545898,0.0014328763354569674
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,6.032608985900879,6.317647933959961,0.1185755580663681,0.004685699939727783,0.9740428844495653,8.185490608215332,0.005533680319786072
cfg0001,1,1,20240711,letter_L,2,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,10.270150184631348,12.576421737670898,0.07107144594192505,0.004587233066558838,1.0,19.90381622314453,0.007985991425812244
cfg0001,1,1,20240712,ring,3,scgi_ured,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08,7.8415398597717285,11.404434204101562,0.07432541251182556,0.003703176975250244,1.0,14.29987907409668,0.016882769763469696
