config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0001,4,8.149406552314758,6.032608985900879,10.137872219085693,6.317647933959961,0.08477899245917797,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0000,4,8.554887294769287,5.535244464874268,9.709692597389221,6.399226665496826,0.10135211050510406,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
