arm,pixel_perm,sign_flip,row_perm,object,family,K_eff,draw,num_frames,chunks,levene_p,levene_reject,ks_absdev_p,local_std_envelope_cv,running_mean_cv,walsh_flatness_ratio,walsh_S2
ordered,False,False,False,digit_0,synthetic_digit,359.91159294611685,0,8192,8,0.00013408335099610302,True,0.004495601418364623,0.26327174873990067,0.0007207386661320925,0.9992717949517477,273.92274913948097
ordered,False,False,False,digit_1,synthetic_digit,613.715691926159,0,8192,8,0.00032465295377111437,True,0.01911049009615309,0.3005739535069033,0.0005547170294448733,0.7881399383302821,581.3885129106121
ordered,False,False,False,digit_2,synthetic_digit,948.8780926075453,0,8192,8,4.096999445724498e-14,True,0.19162747608137745,1.2512909090554398,0.0003522637998685241,0.9997825829661462,916.4386222462547
ordered,False,False,False,digit_3,synthetic_digit,638.5224343850998,0,8192,8,1.5689663075204097e-08,True,0.00011354972728176021,0.46167375257162657,0.0005373176536522806,0.9996474910858939,605.1506381772474
ordered,False,False,False,digit_4,synthetic_digit,402.4249507149198,0,8192,8,2.522207545245623e-05,True,0.00949911823212999,0.33621069946700727,0.0006857248372398317,0.9993645093800493,309.43322282460264
ordered,False,False,False,letter_A,binary_letter,391.79043070245797,0,8192,8,0.29627458754776664,False,0.036607186893664635,0.2290777229127632,0.0007161382818594575,0.9937868678782193,341.65088982419024
ordered,False,False,False,letter_L,binary_letter,238.05133542118594,0,8192,8,1.0748250146772912e-20,True,9.32621760074254e-05,0.4080530222151923,0.000820972491055727,1.0,216.3046828621289
ordered,False,False,False,stripe,stripe,2048.0,0,8192,8,0.00021599614175305784,True,1.0,2.6457513110645907,0.0,1.0,2048.0
ordered,False,False,False,ring,ring,868.0,0,8192,8,0.0032103977646529575,False,0.8063492147426665,0.46558687346139843,0.00087641243590042,0.6497695852534562,868.0
ordered,False,False,False,natural_patch,procedural_natural,3237.768951772969,0,8192,8,0.032386103752608725,False,0.0010333143727997978,1.216296220855394,0.00010708712216001004,0.46921083248271644,553.1527528411744
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,0,8192,8,0.46592569181748245,False,0.2761807002659681,0.1729083241395966,0.0008086739690043032,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,1,8192,8,0.0014868691821224844,False,0.06676845546321923,0.20486048444014687,0.0009601454366929829,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,2,8192,8,0.00011551158715814879,True,0.19162747608137745,0.22857309474295057,0.0008829295402392745,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,3,8192,8,0.0005113381980208357,True,0.08375446455030607,0.24345030835323153,0.0008071965421549976,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,4,8192,8,0.03485140975251946,False,0.11594604307134228,0.16909684432830838,0.0008185440674424171,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,5,8192,8,0.05390255681395307,False,0.10423872426690864,0.17806132277838066,0.000815697421785444,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,6,8192,8,0.04879019957692628,False,0.11594604307134228,0.15369678106832813,0.0008148993947543204,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,7,8192,8,0.9638939414709838,False,0.15768020016074424,0.11151533334132827,0.0008132370421662927,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,8,8192,8,0.1359724059199143,False,0.23100441666637422,0.1617464538551337,0.0008249179809354246,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,9,8192,8,0.5212580202531385,False,0.35528493510324566,0.1669923231965106,0.0019782090093940496,0.9992717949517477,273.92274913948097
row_perm_only,False,False,True,digit_0,synthetic_digit,359.91159294611685,10,8192,8,0.08761487091612262,False,0.19162747608137745,0.18404442554871464,0.0009184125228784978,0.9992717949517477,273.92274913948097
