config_id,object,step,loss,cnr
cfg0000,stripe_target,1,0.0004591338220052421,2.553245782852173
cfg0000,stripe_target,2,0.000421991222538054,2.642308235168457
cfg0000,stripe_target,3,0.00034740238334052265,2.748009443283081
cfg0000,stripe_target,4,0.0006815310334786773,2.8450844287872314
cfg0000,stripe_target,5,0.0012062658788636327,2.921325922012329
cfg0000,stripe_target,6,0.001450692885555327,2.9749274253845215
cfg0000,stripe_target,7,0.0012862383155152202,3.008633613586426
cfg0000,stripe_target,8,0.0009109650272876024,3.027029514312744
cfg0000,stripe_target,9,0.0007991976453922689,3.035938262939453
cfg0000,stripe_target,10,0.0014267845544964075,3.0478217601776123
cfg0000,stripe_target,11,0.0027457333635538816,3.079334259033203
cfg0000,stripe_target,12,0.004143212456256151,3.1454122066497803
cfg0000,stripe_target,13,0.0049654277972877026,3.2552695274353027
cfg0000,stripe_target,14,0.004820448812097311,3.4064247608184814
cfg0000,stripe_target,15,0.003709506941959262,3.5754923820495605
cfg0000,stripe_target,16,0.0020762791391462088,3.7206954956054688
cfg0000,stripe_target,17,0.0007466661045327783,3.79351806640625
cfg0000,stripe_target,18,0.0007052887231111526,3.7771899700164795
cfg0000,stripe_target,19,0.002669120207428932,3.74658203125
cfg0000,stripe_target,20,0.00658790348097682,3.814474582672119
cfg0000,stripe_target,21,0.011550073511898518,3.825995922088623
cfg0000,stripe_target,22,0.01620657555758953,3.6277148723602295
cfg0000,stripe_target,23,0.019261209294199944,3.3845369815826416
cfg0000,stripe_target,24,0.01982119493186474,3.222921371459961
cfg0000,stripe_target,25,0.01762833632528782,3.1011290550231934
cfg0000,stripe_target,26,0.013170954771339893,2.908308506011963
cfg0000,stripe_target,27,0.007653494831174612,2.637706756591797
cfg0000,stripe_target,28,0.0028032027184963226,2.3906922340393066
cfg0000,stripe_target,29,0.0005092050996609032,2.1887664794921875
cfg0000,stripe_target,30,0.0023239145521074533,1.9921189546585083
cfg0000,stripe_target,31,0.008919046260416508,1.8101032972335815
cfg0000,stripe_target,32,0.019722094759345055,1.5967442989349365
cfg0000,stripe_target,33,0.03299150615930557,1.2230814695358276
cfg0000,stripe_target,34,0.04627051204442978,0.8042552471160889
cfg0000,stripe_target,35,0.05696214362978935,0.5235719084739685
cfg0000,stripe_target,36,0.06287139654159546,0.4315462112426758
cfg0000,stripe_target,37,0.06264817714691162,0.5341565608978271
cfg0000,stripe_target,38,0.05609529837965965,0.8957710266113281
cfg0000,stripe_target,39,0.04429157078266144,1.464845895767212
cfg0000,stripe_target,40,0.029515104368329048,1.879723310470581
cfg0000,stripe_target,41,0.01494054589420557,2.1842312812805176
cfg0000,stripe_target,42,0.004140048753470182,2.5527079105377197
cfg0000,stripe_target,43,0.0004272306396160275,2.903681516647339
cfg0000,stripe_target,44,0.006103143095970154,3.4909770488739014
cfg0000,stripe_target,45,0.021619735285639763,2.231938362121582
