object,family,K_eff,basis,requested_basis,arm_kind,rho,s,seed,W,num_frames,carrier_mean,carrier_cv,gain_rel_err,theory_variance_cv2_over_w,theory_floor,err_over_floor
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,4,2048,40.1905632019043,0.05762071534991264,0.025940185137672992,0.0008300367093589146,0.02881035767495632,0.9003770598871025
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,8,2048,40.1905632019043,0.05762071534991264,0.019328562800343684,0.0004150183546794573,0.02037199928037151,0.9487808503393588
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,16,2048,40.1905632019043,0.05762071534991264,0.014786764131383462,0.00020750917733972866,0.01440517883747816,1.0264894520373828
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,32,2048,40.1905632019043,0.05762071534991264,0.012337941338804483,0.00010375458866986433,0.010185999640185755,1.2112646548826587
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,64,2048,40.1905632019043,0.05762071534991264,0.012781325595802471,5.1877294334932164e-05,0.00720258941873908,1.774545910190176
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,128,2048,40.1905632019043,0.05762071534991264,0.015378735332192953,2.5938647167466082e-05,0.005092999820092877,3.019582932542201
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,256,2048,40.1905632019043,0.05762071534991264,0.02089440019144637,1.2969323583733041e-05,0.00360129470936954,5.801913444374632
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,512,2048,40.1905632019043,0.05762071534991264,0.03386150163770277,6.4846617918665206e-06,0.0025464999100464386,13.297271876630564
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,0,1024,2048,40.1905632019043,0.05762071534991264,0.04582968765111035,3.2423308959332603e-06,0.00180064735468477,25.451784066366237
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,4,2048,40.1905632019043,0.05762071534991264,0.025798331634861636,0.0008300367093589146,0.02881035767495632,0.895453361805608
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,8,2048,40.1905632019043,0.05762071534991264,0.0192474248768623,0.0004150183546794573,0.02037199928037151,0.9447980343984824
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,16,2048,40.1905632019043,0.05762071534991264,0.014835454843868938,0.00020750917733972866,0.01440517883747816,1.0298695358971401
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,32,2048,40.1905632019043,0.05762071534991264,0.012718417267112418,0.00010375458866986433,0.010185999640185755,1.2486174863913977
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,64,2048,40.1905632019043,0.05762071534991264,0.013388112535017234,5.1877294334932164e-05,0.00720258941873908,1.8587915757331925
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,128,2048,40.1905632019043,0.05762071534991264,0.016752416378252363,2.5938647167466082e-05,0.005092999820092877,3.289302369923677
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,256,2048,40.1905632019043,0.05762071534991264,0.021915882529842973,1.2969323583733041e-05,0.00360129470936954,6.08555652855183
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,512,2048,40.1905632019043,0.05762071534991264,0.02938215388058541,6.4846617918665206e-06,0.0025464999100464386,11.538250507949003
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,1,1024,2048,40.1905632019043,0.05762071534991264,0.03472568782444234,3.2423308959332603e-06,0.00180064735468477,19.28511306452983
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,2,4,2048,40.1905632019043,0.05762071534991264,0.025832554817858403,0.0008300367093589146,0.02881035767495632,0.8966412395606459
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,2,8,2048,40.1905632019043,0.05762071534991264,0.01930495208574742,0.0004150183546794573,0.02037199928037151,0.9476218715728999
digit_0,synthetic_digit,97.19698546760661,random_uniform,random_uniform,physical,0.001,0.1,2,16,2048,40.1905632019043,0.05762071534991264,0.015008851569198836,0.00020750917733972866,0.01440517883747816,1.0419066461118893
