target_threshold,cnr,method
0.1,12.796236038208008,best_final
0.2,12.796236038208008,best_final
0.3,12.796236038208008,best_final
0.4,12.796236038208008,best_final
0.5,12.796236038208008,best_final
0.6,12.796236038208008,best_final
0.7,12.796236038208008,best_final
0.8,12.796236038208008,best_final
0.9,12.796236038208008,best_final
