config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.05,24,3,0.3,nlm,3,0.035,2.470975875854492,7.550799369812012,0.18810774385929108,0.004685699939727783,0.9740428844495653,3.2042124271392822,0.0004069973947480321,0.47766098380088806,0.14286501705646515,0.0,0.941759467124939,0.941759467124939,0.25658732652664185,0.05389855429530144,0.014367070980370045,0.4838709533214569,0.42889404296875,2.9084811210632324,0.00022849763627164066,0.00017849975847639143,4.878541949437931e-05,0.00011344534868840128,0.02443891018629074
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.05,24,3,0.3,nlm,3,0.045,2.08455491065979,7.250791549682617,0.18533581495285034,0.004685699939727783,0.9740428844495653,4.178970813751221,0.0014827116392552853,0.4847157597541809,0.16902032494544983,0.0,1.0,1.0,0.3131425976753235,0.0853118821978569,0.019783027470111847,0.4838709533214569,0.469970703125,3.08054256439209,0.00022783721215091646,0.0012548743980005383,0.0010757087729871273,0.00015007791807875037,0.05088072270154953
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.05,24,3,0.3,nlm,3,0.055,4.241145133972168,7.271786212921143,0.14903995394706726,0.004685699939727783,0.9740428844495653,7.197904109954834,0.0018814504146575928,0.49578768014907837,0.09889176487922668,0.0,0.9888204336166382,0.9888204336166382,0.12303335964679718,0.01632103882730007,0.008219366893172264,0.5483871102333069,0.229736328125,2.2853407859802246,0.00022747772163711488,0.0016539726639166474,0.0033458396792411804,0.0008135561947710812,0.06389928609132767
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.08,24,3,0.3,nlm,3,0.035,2.530179262161255,7.047213554382324,0.18605303764343262,0.004685699939727783,0.9740428844495653,3.218503952026367,0.0007045739330351353,0.518423318862915,0.14240175485610962,0.010460752993822098,1.0,0.9895392656326294,0.24867835640907288,0.05161794275045395,0.014332057908177376,0.5483871102333069,0.3560791015625,2.89469838142395,0.0002279515319969505,0.00047662240103818476,3.672257298603654e-05,0.00014283042401075363,0.040915098041296005
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.08,24,3,0.3,nlm,3,0.045,3.020504951477051,7.115813255310059,0.18416954576969147,0.004685699939727783,0.9740428844495653,4.7433061599731445,0.0010928419651463628,0.517841100692749,0.12747414410114288,0.05163036286830902,1.0,0.9483696222305298,0.19441232085227966,0.0361529104411602,0.012272197753190994,0.5806452035903931,0.24517822265625,2.6891000270843506,0.00022685702424496412,0.0008659849409013987,0.0005193153047002852,0.00025317585095763206,0.048069488257169724
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.08,24,3,0.3,nlm,3,0.055,2.319014549255371,7.145852088928223,0.20362935960292816,0.004685699939727783,0.9740428844495653,8.519989013671875,0.0035060348454862833,0.5115314722061157,0.158951073884964,0.0,1.0,1.0,0.3161117434501648,0.08014057576656342,0.017805686220526695,0.5161290168762207,0.44818115234375,3.018765926361084,0.000214190615224652,0.003291844157502055,0.002484086900949478,0.004301812499761581,0.08923088014125824
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.035,2.5126514434814453,7.394439697265625,0.18615129590034485,0.004685699939727783,0.9740428844495653,3.1786341667175293,0.00024031911743804812,0.4909262955188751,0.14034536480903625,0.012876251712441444,0.9915869235992432,0.9787106513977051,0.24654921889305115,0.0506962314248085,0.0138991829007864,0.5161290168762207,0.3665771484375,2.881908893585205,0.00022764310415368527,1.2676016012846958e-05,5.787966802017763e-05,9.883761231321841e-05,0.004610023461282253
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.045,5.637390613555908,7.4361491203308105,0.16324609518051147,0.004685699939727783,0.9740428844495653,6.20819091796875,0.0019228659803047776,0.4896700084209442,0.09687299281358719,0.25317052006721497,0.8962541818618774,0.6430836915969849,0.11424273252487183,0.014170591719448566,0.008592833764851093,0.5483871102333069,0.21441650390625,2.110581398010254,0.0002244972565677017,0.0016983686946332455,0.0021080076694488525,0.0008264754433184862,0.06361955404281616
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055,3.22162127494812,6.693553924560547,0.09053874015808105,0.004685699939727783,0.9740428844495653,8.176018714904785,0.001011317945085466,0.5168454647064209,0.08050508797168732,0.32125791907310486,0.7873038649559021,0.46604594588279724,0.10518556088209152,0.008792423643171787,0.004944740328937769,0.5161290168762207,0.40765380859375,2.2741103172302246,0.00021571798424702138,0.0007956000044941902,0.0012148311361670494,0.008187910541892052,0.04415410757064819
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,400,0.001,0.5,0.75,0.05,24,3,0.3,nlm,3,0.035,2.4381797313690186,7.944554328918457,0.18720483779907227,0.004685699939727783,0.9740428844495653,3.1146154403686523,0.0009341048425994813,0.4454234838485718,0.13937033712863922,0.0,0.9476056098937988,0.9476056098937988,0.24991345405578613,0.051776230335235596,0.013606328517198563,0.4516128897666931,0.422607421875,2.881527900695801,0.00022813987743575126,0.0007059649797156453,4.5173976104706526e-05,0.00014080562687013298,0.0410437285900116
