object,method,lambda_true,lambda_analytic,cnr,psnr,ssim,ks_d,ks_p
letter_A,static,0.9995262026786804,0.9995262026786804,3.309587001800537,8.7587251663208,0.07266108691692352,0.0048809051513671875,0.9162256635269787
letter_A,dynamic,0.9995262026786804,0.9995262026786804,0.010760142467916012,6.005117893218994,0.0021917996928095818,0.278683066368103,0.0
letter_A,scgi,0.9995262026786804,0.9995262026786804,3.309537649154663,8.761033058166504,0.07265590876340866,0.00494229793548584,0.8982973786074485
letter_A,analytic,0.9995262026786804,0.9995262026786804,3.3095335960388184,8.758427619934082,0.07265616208314896,0.004890859127044678,0.9133100495709391
letter_A,oracle,0.9995262026786804,0.9995262026786804,3.3095762729644775,8.758772850036621,0.07266102731227875,0.004882514476776123,0.9157540498257991
letter_A,scgi_unn,0.9995262026786804,0.9995262026786804,2.3263113498687744,8.86750602722168,0.07227641344070435,0.00494229793548584,0.8982973786074485
letter_A,scgi_ured,0.9995262026786804,0.9995262026786804,5.982476711273193,9.123364448547363,0.06342476606369019,0.00494229793548584,0.8982973786074485
stripe_target,static,0.999625027179718,0.999625027179718,2.4918155670166016,7.456350803375244,0.19021835923194885,0.004820406436920166,0.9340171352980762
stripe_target,dynamic,0.999625027179718,0.999625027179718,-0.009432904422283173,5.890067100524902,0.001240841462276876,0.24714422225952148,0.0
stripe_target,scgi,0.999625027179718,0.999625027179718,2.4919238090515137,7.458377361297607,0.19023315608501434,0.004685699939727783,0.9740428844495653
stripe_target,analytic,0.999625027179718,0.999625027179718,2.4919214248657227,7.461617469787598,0.19023048877716064,0.004645496606826782,0.986090455085806
stripe_target,oracle,0.999625027179718,0.999625027179718,2.491786241531372,7.455916881561279,0.1901901662349701,0.004820346832275391,0.9340347226291853
stripe_target,scgi_unn,0.999625027179718,0.999625027179718,2.253976345062256,7.792659282684326,0.22662308812141418,0.004685699939727783,0.9740428844495653
stripe_target,scgi_ured,0.999625027179718,0.999625027179718,2.27030873298645,6.960199356079102,0.03977857157588005,0.004685699939727783,0.9740428844495653
letter_L,static,0.9998273253440857,0.9998273253440857,3.5481929779052734,8.706781387329102,0.059498853981494904,0.004674375057220459,0.9774320713435642
letter_L,dynamic,0.9998273253440857,0.9998273253440857,0.04880339652299881,5.765266418457031,0.002853262471035123,0.14167067408561707,4.757497282031966e-286
letter_L,scgi,0.9998273253440857,0.9998273253440857,3.548128843307495,8.708683967590332,0.05948871374130249,0.004587233066558838,1.0
letter_L,analytic,0.9998273253440857,0.9998273253440857,3.548149585723877,8.707430839538574,0.05949541926383972,0.00459057092666626,1.0
letter_L,oracle,0.9998273253440857,0.9998273253440857,3.548179864883423,8.70711898803711,0.05949241667985916,0.004674375057220459,0.9774320713435642
letter_L,scgi_unn,0.9998273253440857,0.9998273253440857,2.259413242340088,8.919979095458984,0.05127750337123871,0.004587233066558838,1.0
letter_L,scgi_ured,0.9998273253440857,0.9998273253440857,6.2966485023498535,9.03303050994873,0.05512920767068863,0.004587233066558838,1.0
ring,static,0.9998131990432739,0.9998131990432739,2.981825828552246,8.29046630859375,0.08628018200397491,0.0037554502487182617,1.0
ring,dynamic,0.9998131990432739,0.9998131990432739,0.02461627498269081,5.812777519226074,0.0025911477860063314,0.1507192850112915,1e-323
ring,scgi,0.9998131990432739,0.9998131990432739,2.981916666030884,8.29013442993164,0.08629491925239563,0.003703176975250244,1.0
ring,analytic,0.9998131990432739,0.9998131990432739,2.9818837642669678,8.287691116333008,0.08627315610647202,0.0037709474563598633,1.0
ring,oracle,0.9998131990432739,0.9998131990432739,2.9818687438964844,8.290549278259277,0.08629456162452698,0.003755509853363037,1.0
ring,scgi_unn,0.9998131990432739,0.9998131990432739,2.942378520965576,9.90644359588623,0.08734367787837982,0.003703176975250244,1.0
ring,scgi_ured,0.9998131990432739,0.9998131990432739,5.787561893463135,8.596125602722168,0.07467538863420486,0.003703176975250244,1.0
