sigma_a,rho,seed,object,rel_mse_raw
0.1,0.001,4,4,0.5442037825633627
0.1,0.001,4,5,0.4934512367057808
0.1,0.001,4,6,0.4846212367562484
0.1,0.001,4,7,0.526752905087363
0.1,0.001,4,8,0.5043874627163994
0.1,0.001,4,9,0.5066149644285045
0.1,0.003,0,0,0.4923020014214167
0.1,0.003,0,1,0.49802486746131835
0.1,0.003,0,2,0.47856935083138946
0.1,0.003,0,3,0.5095087013362872
0.1,0.003,0,4,0.5442038004632512
0.1,0.003,0,5,0.49345124100535076
0.1,0.003,0,6,0.4846212180786631
0.1,0.003,0,7,0.5267528838471737
0.1,0.003,0,8,0.5043874093625955
0.1,0.003,0,9,0.5066149021222189
0.1,0.003,1,0,0.4923020279665293
0.1,0.003,1,1,0.4980248851376083
0.1,0.003,1,2,0.47856935725688643
0.1,0.003,1,3,0.5095086470346698
0.1,0.003,1,4,0.5442038015592808
0.1,0.003,1,5,0.49345124122598
0.1,0.003,1,6,0.4846212448773653
0.1,0.003,1,7,0.52675284848334
0.1,0.003,1,8,0.5043874516716955
0.1,0.003,1,9,0.5066149354978391
0.1,0.003,2,0,0.4923019670826727
0.1,0.003,2,1,0.49802488234802716
0.1,0.003,2,2,0.4785693323428333
0.1,0.003,2,3,0.5095086482300674
0.1,0.003,2,4,0.5442038052651929
0.1,0.003,2,5,0.49345117416421125
0.1,0.003,2,6,0.4846212421325358
0.1,0.003,2,7,0.5267529304351963
0.1,0.003,2,8,0.5043874839500209
0.1,0.003,2,9,0.5066149148888058
0.1,0.003,3,0,0.4923020259954827
0.1,0.003,3,1,0.4980248837173842
0.1,0.003,3,2,0.47856932011154224
0.1,0.003,3,3,0.5095086555133503
0.1,0.003,3,4,0.5442038070183105
0.1,0.003,3,5,0.4934511980766855
0.1,0.003,3,6,0.4846212698664745
0.1,0.003,3,7,0.5267528681334939
0.1,0.003,3,8,0.5043874934825118
0.1,0.003,3,9,0.5066149327202386
0.1,0.003,4,0,0.4923020050007498
0.1,0.003,4,1,0.4980248935714844
0.1,0.003,4,2,0.478569324712586
0.1,0.003,4,3,0.5095086206490987
0.1,0.003,4,4,0.544203795775892
0.1,0.003,4,5,0.4934512015890112
0.1,0.003,4,6,0.4846212221936857
0.1,0.003,4,7,0.5267529219401603
0.1,0.003,4,8,0.5043874790122481
0.1,0.003,4,9,0.5066149411905652
0.1,0.01,0,0,0.49230197526421693
0.1,0.01,0,1,0.4980248677340294
0.1,0.01,0,2,0.47856937177712744
0.1,0.01,0,3,0.5095086396555869
0.1,0.01,0,4,0.5442037898027424
0.1,0.01,0,5,0.4934511623861879
0.1,0.01,0,6,0.4846212535103293
0.1,0.01,0,7,0.5267529327242164
0.1,0.01,0,8,0.5043874894287401
0.1,0.01,0,9,0.5066149438416386
0.1,0.01,1,0,0.492301976848683
0.1,0.01,1,1,0.498024885127663
0.1,0.01,1,2,0.47856939456028375
0.1,0.01,1,3,0.5095086642368685
